id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2468794137,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-08T13:24:41.218Z,2022-10-08T14:33:14Z,3826993769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826993771,59,"22, 15, 3, 4, 2, 17, 7, 8, 20, 23, 10, 1, 5, 6, 9, 11, 16, 18, 21, 25, 29, 35",3826993775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826993777,194,6m2pk6odyb3atayt6u8cifahh,3827464055,197,457,3826993767,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, 4jqgl7x5ewke1u0sy2cbkqfhl, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 3kx4mltrob4yta5g6kr2u8ic5, 6hrp4zuxh40i3tccmk5s0j5xx, 35qg0rrwtl00pycx468s62m3u, p7vw4thx5wzo49h6hfabcq5m, 7joybllup4h9oe6zfhcepjy6t, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, dafbvyorudvujxw7zswicykmh, baakmd4ndnulbl9npvmq90mvp, 9c2i7ddl2uh7kuhwq62klkyui, 8ty68f4i1lwjdktycd2oy5a6t, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, 1ekkj2b713kjnugsk4dz50q1h, 47l204bkq2qqjhtazusr0019m, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3826993779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826993773,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468797939,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-08T13:30:25.614Z,2022-10-08T14:39:27Z,3827014639,130,4,3827014635,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3827014637,59,"1, 3, 5, 10, 31, 4, 2, 8, 21, 24, 34, 6, 7, 9, 15, 16, 22, 25, 33",3827014633,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, 3kbhgmnf6bhfgut0jxf4m2sfe, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8822s8ns7oyvjqade4oaxzg0l, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, eayvrkzzkk0xu4c5rrxgzlroq, 10ijtddqmzbhx3qtlhbyn4rca, dbkr1w2xlwnyssid1tv0jlujt, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, bdurpi6c2ipwtcuyndq0e6ve2, 792zq4joba1qgt0lusvrjantg, 8oetnmi8kejwwy37rhlelw2ne",3827014641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3827450813,197,2840,3827014643,194,e3akocgpppdty3ayxty1gf6xh,3827014645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884787,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-08T14:30:21.215Z,2022-10-10T13:24:58Z,3827469777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884759,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-08T14:30:21.215Z,2022-10-08T14:30:21Z,3827469641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884963,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50,50,2022-10-08T14:30:21.252Z,2022-10-10T14:01:02Z,3827470727,212,14.3,3827470717,56,Back,3835111389,178,,3827470723,141,53.6,3827470729,213,3.0,3827470731,279,S,3827470719,140,36.6,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884993,4,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,36.3,54.6,2022-10-08T14:30:23.574Z,2022-10-10T14:01:02Z,3827470935,140,22.8,3827470937,141,66.9,3827470941,213,2.6,3827470939,212,16.5,3827470933,56,Back,3835111393,178,,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468885099,5,1,1,0,6,d0zdg647gvgc95xdtk1vpbkys,1,23.1,68.8,2022-10-08T14:30:27.259Z,2022-10-10T14:01:03Z,3827471515,141,89.9,3827471517,212,34.6,3835111401,178,,3827471521,1,,3827471519,213,0.4,3827471509,56,Left,3827471513,140,53.1,,,,3kx4mltrob4yta5g6kr2u8ic5,D. Blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468885205,6,1,1,0,8,d0zdg647gvgc95xdtk1vpbkys,1,55.7,92.1,2022-10-08T14:30:29.716Z,2022-10-10T14:01:03Z,3827472049,141,97.7,3835111405,178,,3827472051,212,4.7,3827472047,140,58.3,3827472045,56,Left,3827472053,213,0.9,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468885271,7,1,1,0,10,d0zdg647gvgc95xdtk1vpbkys,1,58.3,97.7,2022-10-08T14:30:31.706Z,2022-10-10T14:01:04Z,3827472465,140,40.4,3835111417,178,,3827472467,141,95.1,3827472469,212,18.9,3827472471,213,3.2,3827472463,56,Back,,,,,,,6m2pk6odyb3atayt6u8cifahh,D. Tadić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468885423,8,1,1,0,13,d0zdg647gvgc95xdtk1vpbkys,1,39.6,93.6,2022-10-08T14:30:34.993Z,2022-10-10T14:01:04Z,3835111429,178,,3827473323,1,,3827473309,56,Back,3827473313,141,53.4,3827473321,213,3.9,3827473311,140,14.6,3827473317,212,37.9,,,,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
