id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2472736709,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-16T09:19:09.974Z,2022-10-16T10:13:06Z,3848072287,194,9p6nlczeycd0ai4dahjxnf8ph,3848072279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848072285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848072283,130,8,3848072281,59,"22, 28, 16, 20, 4, 24, 7, 71, 19, 14, 11, 1, 2, 3, 9, 10, 21, 31, 32, 34",3848072289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848072277,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, 9p6nlczeycd0ai4dahjxnf8ph, 570htztcvfsu947xw6fvtzmc5, 6dd248q0adq6su677bw2kk2c5, cudl1cjc8kxshfbhatms7aooa, a76yp8gkkg6frtuhh3d6l46i, 76n4eg1xu5qvf9bkwy4p8jsut, 6rfm7p5go1lgv6ccdjqgpallh, 8inyievyp1az6q3dtlkpynf56, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 913pg8qqcjp99h5fjybbenob9, 55njsqpc4izy2wogf188whtrd, 5qvy65ckiigykkowpyco05zv9, 4fiks6jvfxzbs9k0s050vmfbo, 6h0fuh0aamz86pf25qebm0fvu, cp866ucakmwqiwxrstkaxwgt0, bqqq27wy9bk31ssgapksci4t1",3848146629,197,10306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472738505,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-10-16T09:23:26.179Z,2022-10-16T11:38:56Z,3848146687,197,2359,3848079539,194,e8zpc22dwlmgkkwoqpgwxsn2t,3848079529,30,"eamuyjut271ytghb2q4ljqbpx, cixzy9hl7ks4maugc5zc9ievp, 5el82g04yvl9ai8ws8pxbvaad, 6w59kdfilru1152bjutstu2fp, 5gs7jd1eigk4jisxbr9a1yvp, e8zpc22dwlmgkkwoqpgwxsn2t, 7jpreaads35pnnfqbn7hmrmy, 8n9t52eeli3s39r8ujjhjt7je, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, tgu7kztdu9azmvirwu8rrip6, eqt598wenyzrxdl5y39ejab8q, 2i8yhe6uqy0jqixkd6ir727dh, 2nwthqvbk70e2qo35dgp35979, aklhi0hr28nidjlkw1sokp785, 530w8musao16dfntha5ykpuga, ubuh5wgnl0o5bn3wirdmectm, 4cbhx91p3l265b2cejzd07gbu, 49pcpdulrofklvwsde6ohkkq, 673xny9ozqe978emdytscm5pm, 5bm516z74pbsyfemsathj3umt, 6ovzd9akutufagsd8kmxmsei2",3848079535,130,8,3848079537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848079541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848079533,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 12, 30, 17, 15, 13, 14, 16, 20, 18, 19, 21",3848079531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753533,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-10-16T10:15:17.499Z,2022-10-18T07:20:30Z,3848150789,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753541,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-16T10:15:17.499Z,2022-10-16T10:15:19Z,3848150825,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753561,3,1,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,49.8,50.3,2022-10-16T10:15:17.545Z,2022-10-18T08:19:46Z,3848150923,141,59.8,3848150921,140,30.1,3848150927,213,2.8,3848150925,212,21.7,3848150929,279,S,3848150919,56,Back,3853365027,178,,,,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753581,4,1,1,0,3,89w5c6pw7vn0dxypi61tt0g4k,1,30.8,59.4,2022-10-16T10:15:21.045Z,2022-10-18T08:20:00Z,3848151079,56,Center,3848151089,1,,3848808363,157,,3848151087,213,5.8,3848151085,212,50.3,3853365271,178,,3848151081,140,72.2,3848151083,141,22.3,e8zpc22dwlmgkkwoqpgwxsn2t,A. Auassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753587,5,44,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,68.2,23.8,2022-10-16T10:15:24.244Z,2022-10-18T11:37:47Z,3848151111,286,,3848151109,56,Center,3848151203,233,3,,,,,,,,,,,,,,,,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753601,3,44,1,0,6,8iawijq7s9s6d85mjz8wdslki,0,31.8,76.2,2022-10-16T10:15:24.245Z,2022-10-18T08:20:13Z,3848151217,233,5,3848151169,56,Back,3848151171,285,,,,,,,,,,,,,,,,,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753615,6,1,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,64,23.1,2022-10-16T10:15:24.277Z,2022-10-18T11:37:48Z,3848151249,140,70.7,3848151245,168,,3848151253,212,7.5,3848151251,141,26.8,3848151247,56,Center,3853365653,388,,3848151243,3,,3848151255,213,0.3,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472753625,7,1,1,0,8,89w5c6pw7vn0dxypi61tt0g4k,1,68.2,31,2022-10-16T10:15:25.870Z,2022-10-18T08:20:27Z,3848151303,56,Center,3848151307,141,23.3,3848151305,140,67.8,3853365489,178,,3848151309,212,5.3,3848151311,213,4.6,,,,,,,723av2redj2ej6livx0g81wwl,A. Verschueren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
