id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/17/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484832657,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-11-12T16:55:59.884Z,2022-11-12T17:44:43Z,3911686361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911686355,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3911686359,130,4,3911686365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911844753,197,16373,3911686357,59,"22, 15, 5, 4, 2, 3, 23, 8, 9, 10, 7, 1, 6, 11, 16, 17, 18, 19, 20, 21, 29, 35",3911686363,194,6m2pk6odyb3atayt6u8cifahh,3911686353,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, dafbvyorudvujxw7zswicykmh, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, 7joybllup4h9oe6zfhcepjy6t, 35qg0rrwtl00pycx468s62m3u, 9c2i7ddl2uh7kuhwq62klkyui, 6m2pk6odyb3atayt6u8cifahh, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, baakmd4ndnulbl9npvmq90mvp, 8ty68f4i1lwjdktycd2oy5a6t, ddfwtazsntda1pah2l454py3t, 3kx4mltrob4yta5g6kr2u8ic5, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, p7vw4thx5wzo49h6hfabcq5m, 1ekkj2b713kjnugsk4dz50q1h, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484833985,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-11-12T16:57:05.839Z,2022-11-12T17:47:07Z,3911693301,59,"32, 34, 18, 8, 5, 4, 7, 2, 9, 10, 11, 1, 13, 16, 17, 20, 23, 24, 27, 29",3911840473,197,2846,3911693309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911693305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911693297,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, 57wfg8j12hfw3aisrnwtpgmvp, 49x98sk3wf7sjshrlou5vnvje, 9fkdgor4mv7f8eqz65ugnnydx, ew4kbwq27lxqocg0920amphw5, ewbakrn2dqmy062scjnz0pecp, 6ciggfx8p0zkak8qxe1p7yzth, 7wphtxp293kv4o3x1b6zusrmd, 1i3tivo0q0tbzui8egvdlhg45, e605oixdrqumxkqm0y1bijbvt, 3kt58x082lj8650en2mt60xqt, 4l8n194otkmyc3op4u111l5n9, ekltvbrx114dg6b2wj3lpwy96, 5q2z4aezq94ob9qp37i302ns9, cqrk42u0s5w8yuq6mnckug02y, 7myeigeuggkj5ymjw6znedkut, eytcfp4cu6qkar65kf0p5rm96, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp",3911693307,194,ew4kbwq27lxqocg0920amphw5,3911693299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3911693303,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864093,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-11-12T17:45:56.716Z,2022-11-14T06:51:30Z,3911849137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864047,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-11-12T17:45:56.716Z,2022-11-12T17:45:56Z,3911848991,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864103,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50.1,50,2022-11-12T17:45:56.818Z,2022-11-14T12:05:20Z,3916659417,178,,3911849173,141,49.3,3911849177,213,3.2,3911849169,56,Back,3911849175,212,18.4,3911849179,279,S,3911849171,140,32.6,,,,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864139,4,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,32.2,49.6,2022-11-12T17:45:59.317Z,2022-11-14T12:05:39Z,3916660049,178,,3911849299,212,15.0,3911849295,140,30.1,3911849297,141,71.4,3911849293,56,Back,3911849301,213,1.7,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864173,5,1,1,0,3,d0zdg647gvgc95xdtk1vpbkys,1,30.1,71.4,2022-11-12T17:46:00.144Z,2022-11-14T12:05:44Z,3916660145,178,,3911849499,213,3.6,3911849495,141,55.8,3911849487,56,Back,3911849491,140,10.9,3911849497,212,22.8,,,,,,,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864207,6,1,1,0,9,d0zdg647gvgc95xdtk1vpbkys,0,7.6,52.7,2022-11-12T17:46:06.093Z,2022-11-14T12:05:48Z,3911849673,1,,3911849667,141,47.3,3911849663,56,Back,3916660281,178,,3911849665,140,45.1,3911849669,212,39.5,3911849661,155,,3911849671,213,6.2,7w5ivtmbqzi4hfte330r1a505,R. Pasveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864231,3,1,1,0,12,3t0vjqtxc8wpjzv82i3oi2ova,1,53.1,55.4,2022-11-12T17:46:09.049Z,2022-11-14T12:05:52Z,3911849825,140,67.8,3911849829,212,20.1,3916660409,388,,3911849821,3,,3911849831,213,5.6,3911849827,141,36.5,3911849823,56,Center,,,,ew4kbwq27lxqocg0920amphw5,J. Veldmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484864241,4,1,1,0,14,3t0vjqtxc8wpjzv82i3oi2ova,1,67.8,36.5,2022-11-12T17:46:10.806Z,2022-11-14T12:05:56Z,3911849885,213,2.2,3911849881,141,41.3,3911849877,56,Center,3916660547,388,,3911849879,140,65.5,3911849875,3,,3911849883,212,4.1,,,,7wphtxp293kv4o3x1b6zusrmd,R. Živković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
