id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497740549,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-01-15T14:52:35.137Z,2023-01-15T14:56:12Z,3979863939,30,"dxcsuw39xzusjsj5e1jw53y6t, 6gj1r8dnoy17pemp9xtng6sbt, ar7ybu7dordgt2yfx5inux62, am0ea3bvmnin4gco2ndny2noq, 9wwud2tglhtdocmjgl2u5ib6c, 9zcr9l3mfbbstmesdlx298vhm, brqptr56zeku3bgqbixje0hxx, 2fbolmn7pyvn5oto4zoeqguwa, emglxnqrlqskt8krglv7sziwa, 29fr98or3mqippn84z3p9ihhw, 4k9shzwgauyy7w2911uev75yh, 7j5xa2ti4qnvoh74h5twyi6s5, e5kpw4k4tyss5ch8ehfi7nk5x, ait187bpr8we72jvfxxt6ttjp, 4t85yj2ijymrz5vf457jcihre, 3hn1o03lxsjzju3uorl6rnpxw, b4bzaam658g6wf3knwxlghas5, dk56pv43y8zo39ft9xtwyapnu, 3aly8eihwfvtwde7dg0k18w7o, ei9h1loyggj8fnf1q4jfdm710",3979863947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979863953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979863943,59,"20, 19, 18, 34, 42, 12, 2, 21, 9, 40, 23, 1, 4, 5, 7, 15, 22, 25, 39, 55",3979863949,194,dxcsuw39xzusjsj5e1jw53y6t,3979863951,197,477,3979863945,130,8,3979863941,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497742335,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-01-15T14:57:26.298Z,2023-01-15T15:40:56Z,3980076047,197,16630,3979875331,194,djbw3afgcgkbq22soig0xsjfu,3979875327,130,8,3979875333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979875323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979875321,30,"9pgr69ub37hmr76gwbfw7lhw5, e6xexn53yyoxmdt5naduyx8bu, 4fcjml5xkrwp4jykruzrzub1m, djbw3afgcgkbq22soig0xsjfu, 4yyekuopwb7otz18rqfgwjht5, 1vyh50nfaq2kq5pmivpkc1psl, a8cgbwioykhqztfjgztfn7dud, 672cwl9zj2d6lce6jda350vvu, 4j5hfebi948ggjwexpndrub1m, 504o2odlvra056ouwcgreopgp, e0cy0gwf04lohf0xjef0af8fe, bnar4f48vnx4oaz2lzch48es5, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 11ceernyer8po8soj8dmygatx, 1957std7hji9ca7bd29y8at7u, 1qjf9el1a3ct17cb9epxz8xgq, a89554tzfy4nfxrycpr2z0xjp, aboxil79ulfa73pckzsdnwp62, 5vsr5aylntbln91iqj7vh5duy, cec6shf8ln2n1dibq00ez84yc",3979875325,59,"1, 2, 19, 10, 4, 33, 7, 20, 9, 17, 14, 6, 15, 21, 22, 23, 25, 26, 29, 30, 48",3979875329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785551,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-01-15T15:46:42.360Z,2023-01-17T11:33:05Z,3980106033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785525,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-01-15T15:46:42.360Z,2023-01-15T15:46:42Z,3980105909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785575,3,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,50.1,49.9,2023-01-15T15:46:42.390Z,2023-01-17T11:51:21Z,3980106163,279,S,3980106161,213,3.0,3980106157,141,52.8,3982131525,178,,3980106153,56,Back,3980106155,140,32.1,3980106159,212,19.0,,,,4j5hfebi948ggjwexpndrub1m,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785627,4,1,1,0,2,20vymiy7bo8wkyxai3ew494fz,1,35,53.4,2023-01-15T15:46:45.069Z,2023-01-17T11:51:25Z,3980106431,213,5.6,3980106415,155,,3980106419,140,69.5,3982131715,178,,3980106427,212,48.3,3980106433,1,,3980106423,141,6.4,3980106417,56,Right,1vyh50nfaq2kq5pmivpkc1psl,D. Hancko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785633,5,44,1,0,5,20vymiy7bo8wkyxai3ew494fz,1,72.9,8.8,2023-01-15T15:46:48.036Z,2023-01-17T13:12:59Z,3980106543,233,3,3980106457,286,,3980106455,56,Right,,,,,,,,,,,,,,,,a8cgbwioykhqztfjgztfn7dud,A. Jahanbakhsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785643,3,44,1,0,5,cos9hxi16eitbcbthof7zrm4m,0,27.1,91.2,2023-01-15T15:46:48.037Z,2023-01-17T11:51:31Z,3980106497,56,Back,3980106499,285,,3980106559,233,5,,,,,,,,,,,,,,,,ar7ybu7dordgt2yfx5inux62,I. Määttä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785639,6,1,1,0,5,20vymiy7bo8wkyxai3ew494fz,0,69.5,6.4,2023-01-15T15:46:48.114Z,2023-01-17T13:13:00Z,3980106483,56,Right,3980106489,212,6.7,3980106481,3,,3980106485,140,72.8,3980106491,213,1.0,3982131927,388,,3980106487,141,14.9,,,,a8cgbwioykhqztfjgztfn7dud,A. Jahanbakhsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497785685,4,1,1,0,6,cos9hxi16eitbcbthof7zrm4m,1,22.2,74.4,2023-01-15T15:46:48.787Z,2023-01-17T12:05:35Z,3982149395,178,,3980106703,140,28.1,3980106709,213,0.4,3980106701,56,Back,3980106705,141,78.3,3980106707,212,6.7,,,,,,,am0ea3bvmnin4gco2ndny2noq,R. Oratmangoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
