id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/15/value
2482488601,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-11-06T14:40:58.275Z,2022-11-06T15:42:27Z,3899450671,130,4,3899857559,197,457,3899450673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899450667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899450677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899450665,30,"7w5ivtmbqzi4hfte330r1a505, 29m8py8czo6w0zf2arwolirjd, 6sg2ot7z9kfyrlgjkmpqvejqi, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, p7vw4thx5wzo49h6hfabcq5m, 7joybllup4h9oe6zfhcepjy6t, 9c2i7ddl2uh7kuhwq62klkyui, 6hrp4zuxh40i3tccmk5s0j5xx, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, baakmd4ndnulbl9npvmq90mvp, 35qg0rrwtl00pycx468s62m3u, 8ty68f4i1lwjdktycd2oy5a6t, ddfwtazsntda1pah2l454py3t, 3kx4mltrob4yta5g6kr2u8ic5, 6w6ewzxircqxk6dsrs1rvc8ru, 1ekkj2b713kjnugsk4dz50q1h, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3899450669,59,"22, 19, 15, 4, 2, 3, 20, 23, 9, 7, 10, 1, 6, 8, 11, 16, 17, 18, 21, 29, 35",3899450675,194,6m2pk6odyb3atayt6u8cifahh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482496451,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-11-06T14:46:13.926Z,2022-11-06T15:41:51Z,3899852671,197,9289,3899493231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899493229,130,8,3899493225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899493233,194,4drquvq035kmr2smvzph82bx1,3899493227,59,"1, 29, 31, 15, 5, 4, 7, 6, 9, 23, 11, 3, 8, 10, 16, 17, 20, 21, 22, 24, 27, 32, 37",3899493223,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, 5mbkc1nqmirbtfml9aklqr5xx, 9uuk73i8obc7ji0dnan352nkl, 62n3xzxpwe2j317q24rh5wjpx, 3ojwbw6v83g9b0u2wssnkzzzd, exhxdmdq49xj4dnguq03qnlgq, 1abb1gcw7arw1nkbuxnccjca1, 4drquvq035kmr2smvzph82bx1, d4j19ipiaeuetyij08fofgs15, 9psfk94nduz6icnuwty5v9all, 2e0o5pwinz3zhg9pqg5vej9ih, 98fjpfhrww2qdifsi8viybaol, e3il1t1s5lrn4g8t85fcm40oa, d5v47kueisvcjjz4f69m83sut, c6ip6gwp8yvchd1n3dv42go9, 21k54i5a6d9bi4f6gplgzxiw9, c8j50o9oqu2okdpjsr3nvnhsl, 1ph4g125dfsijfjzjpcvpcmlm, d9wjrxhmo0dlczkg0fpnf3e1h, bx6j2y1hnu63lawn3rdoep1m2, 81sfrpdzz1nymxg1b5noo67ai, 5yt3hbvzpaqv8lrjgt4ahb78q",3899493235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482569931,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-11-06T15:46:29.227Z,2022-11-06T15:46:29Z,3899890449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482569945,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-11-06T15:46:29.227Z,2022-11-08T01:34:22Z,3899890505,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570037,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,50,2022-11-06T15:46:29.344Z,2022-11-08T04:27:10Z,3899890997,213,3.3,3899890999,279,S,3899890995,212,22.1,3899890991,140,29.3,3899890989,56,Back,3899890993,141,43.3,3903028111,178,,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570043,4,1,1,0,1,24fvcruwqrqvqa3aonf8c3zuy,1,31.1,43.4,2022-11-06T15:46:30.465Z,2022-11-08T04:27:19Z,3899891009,56,Back,3899891017,213,2.5,3899891015,212,4.2,3899891011,140,27.9,3903028131,178,,3899891013,141,47.0,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570101,5,1,1,0,2,24fvcruwqrqvqa3aonf8c3zuy,0,29.6,47,2022-11-06T15:46:31.759Z,2022-11-08T04:27:23Z,3899891319,56,Center,3899891317,155,,3899891325,212,47.7,3899891331,1,,3899891327,213,0.3,3899891323,141,67.8,3903028145,178,,3899891321,140,73.0,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570145,3,1,1,0,5,d0zdg647gvgc95xdtk1vpbkys,0,26.4,29.3,2022-11-06T15:46:34.719Z,2022-11-08T04:27:38Z,3899891559,213,0.1,3899891555,141,32.2,3899891557,212,16.1,3903028175,388,,3899891553,140,41.6,3899891551,56,Back,3899891549,3,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570219,6,1,1,0,9,24fvcruwqrqvqa3aonf8c3zuy,1,58.8,67.6,2022-11-06T15:46:38.228Z,2022-11-08T04:27:42Z,3899891941,140,64.8,3899891943,141,72.7,3903028183,178,,3899891947,213,0.5,3899891939,56,Center,3899891945,212,7.2,,,,,,,9uuk73i8obc7ji0dnan352nkl,É. Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482570243,7,1,1,0,9,24fvcruwqrqvqa3aonf8c3zuy,1,64.9,72.4,2022-11-06T15:46:38.937Z,2022-11-08T04:28:38Z,3903028253,178,,3899892051,141,66.7,3899892047,140,61.4,3899892061,213,4.0,3899892043,56,Center,3899892055,212,5.3,,,,,,,9psfk94nduz6icnuwty5v9all,C. Gakpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
