id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2454866151,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-09-03T13:25:47.062Z,2022-09-04T10:51:52Z,3752957133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752957131,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, 3kx4mltrob4yta5g6kr2u8ic5, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, baakmd4ndnulbl9npvmq90mvp, 7joybllup4h9oe6zfhcepjy6t, 9c2i7ddl2uh7kuhwq62klkyui, 6m2pk6odyb3atayt6u8cifahh, 6hrp4zuxh40i3tccmk5s0j5xx, 8ty68f4i1lwjdktycd2oy5a6t, 1ekkj2b713kjnugsk4dz50q1h, a91pmdnyzx1i7vx3l19hj4jx1, 35qg0rrwtl00pycx468s62m3u, 1asrguqxyo7rmoyamggwd9oq2, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, p7vw4thx5wzo49h6hfabcq5m, 47l204bkq2qqjhtazusr0019m, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3752957137,130,4,3753436363,197,457,3752957135,59,"22, 15, 17, 4, 2, 3, 6, 23, 9, 10, 7, 11, 21, 1, 8, 13, 16, 18, 19, 20, 25, 29, 35",3752957141,194,6m2pk6odyb3atayt6u8cifahh,3752957143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752957139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454866223,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-09-03T13:25:53.103Z,2022-09-03T14:31:46Z,3752957549,59,"1, 24, 16, 2, 15, 33, 14, 21, 28, 10, 30, 7, 3, 5, 9, 11, 12, 18, 27, 31, 39",3752957553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752957551,130,8,3752957545,30,"7rvlba00jv66w7wtdmk178a95, ca5n8516u8m6c41u61bbjjbop, 3u2783a9ukglf8yg3dere8wve, efwbv81uca8myl7gusdb2q38p, 8ylvnl689iweg2r9d0ioj771m, blzp9qbpturqntnisbkg0ddlg, ae7ij4u0xy9iru6qvdw2i9fu2, 7pz3qz589b7v3pkb9h0hv73l5, afsin57n25r53ifmqyfmbzqol, 426st78oi43eortpbfkuxw72t, e1wk520xrgbtriixo4kj3pnje, 8jbjkt4wc1dmqaoxn76mct84q, 4736oz9r0evpmkd3qumivl239, tv8e6nxc7jl8wbzf6ojd6dw5, cgsirikez39wlx8lhu1uo00yd, 4utb2o5c0e57kf0iwdavpzg15, ail0unvzd0b9ur7j0l8hk0y51, dzs8vty5afl2y7ddjh3ausclx, eyx1wga1fue6lb5a0ak5f32i2, 4j7f43re79hlmomwga3isqbu2, c6ufljjgl050g9xn7e9ma7hg4",3753440731,197,12539,3752957557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752957547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752957555,194,afsin57n25r53ifmqyfmbzqol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965239,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-09-03T14:31:02.486Z,2022-09-03T14:31:04Z,3753462039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965225,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-09-03T14:31:02.486Z,2022-09-05T11:41:43Z,3753461957,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965315,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50.1,49.9,2022-09-03T14:31:02.540Z,2022-09-05T02:21:53Z,3753462425,140,28.1,3753462431,213,2.9,3760009237,178,,3753462429,212,23.7,3753462433,279,S,3753462421,56,Back,3753462427,141,57.6,,,,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965417,4,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,27.6,56.7,2022-09-03T14:31:05.163Z,2022-09-05T02:22:12Z,3753462885,212,12.0,3753462879,56,Back,3760009397,178,,3753462883,141,39.1,3753462881,140,27.7,3753462887,213,4.7,,,,,,,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965515,5,1,1,0,5,d0zdg647gvgc95xdtk1vpbkys,1,28.9,38,2022-09-03T14:31:08.353Z,2022-09-05T02:22:16Z,3753463407,213,1.2,3760009421,178,,3753463401,141,57.8,3753463403,212,14.2,3753463393,56,Back,3753463395,140,33.2,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965723,6,1,1,0,8,d0zdg647gvgc95xdtk1vpbkys,1,35.2,61.8,2022-09-03T14:31:10.818Z,2022-09-05T02:22:22Z,3753464451,140,48.3,3760009499,178,,3753464463,213,1.0,3753464459,212,24.9,3753464455,141,92.3,3753464447,56,Back,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965773,7,1,1,0,12,d0zdg647gvgc95xdtk1vpbkys,1,60.5,90.3,2022-09-03T14:31:15.471Z,2022-09-05T02:22:29Z,3753464739,141,83.4,3753464743,213,4.8,3753464741,212,4.7,3753464735,56,Left,3753464737,140,61.1,3760009555,178,,,,,,,,3kx4mltrob4yta5g6kr2u8ic5,D. Blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454965825,8,1,1,0,14,d0zdg647gvgc95xdtk1vpbkys,1,57.9,86.3,2022-09-03T14:31:16.919Z,2022-09-05T02:22:36Z,3753464971,140,61.2,3753464969,56,Left,3753464977,213,1.0,3753464973,141,93.9,3753464975,212,6.2,3760009631,178,,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
