id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,assist,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,keyPass,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2458052245,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-09-10T15:43:49.868Z,2022-09-10T16:42:22Z,3769845063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769845061,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, 3kx4mltrob4yta5g6kr2u8ic5, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, baakmd4ndnulbl9npvmq90mvp, 35qg0rrwtl00pycx468s62m3u, p7vw4thx5wzo49h6hfabcq5m, 6m2pk6odyb3atayt6u8cifahh, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, 9c2i7ddl2uh7kuhwq62klkyui, 8ty68f4i1lwjdktycd2oy5a6t, 1asrguqxyo7rmoyamggwd9oq2, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, 1ekkj2b713kjnugsk4dz50q1h, 7joybllup4h9oe6zfhcepjy6t, 47l204bkq2qqjhtazusr0019m, eo74fl3ctgkwbpsa099rkv6xh",3769845069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769845071,194,6m2pk6odyb3atayt6u8cifahh,3769845073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769845065,59,"22, 15, 17, 4, 2, 3, 6, 8, 20, 10, 7, 1, 9, 11, 13, 16, 18, 19, 21, 23, 25, 29",3769845067,130,4,3770039083,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458055159,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-09-10T15:48:26.642Z,2022-09-10T16:48:30Z,3769861655,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 9hybzhhut4ac2xinqk7kzzpwp, axgbibg0wdlir6tsrru6rpwph, 1tj9gmnm02s8f12zwzvuwnoph, 9hvw1v4douz0kst032a9l853p, 7jtag81mvpom3bfgezx8txbdh, 60fbyywnjiz6l8n7gmi2mjld5, dc4n5ylytswddlvd82snkb90q, aqjwz3wm0it916o2vb5tz9vxl, 7m3uhmmzizwmpk64dw750pn11, bpvq84v7wwz759mgykvsy3pat, 34258m1cvslz8r6d17nv4b90q, amvonu36at4dg7ksi1ioczi3u, 4swz47sf9k2qu5v001pnjz816, ejv587h08dn1hgxhfgib3reqy, 73k8ok0kpb9xb6yhpmfhzir55, 3hpv677ua2y88yx55iujzqpgq, 3o6woe2uh6754hw803v86l1t6, 1q10sxo34napxjfoy044e311w",3769861657,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769861663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769861661,130,10,3769861665,194,9hvw1v4douz0kst032a9l853p,3769861659,59,"44, 27, 13, 3, 5, 4, 33, 19, 17, 8, 26, 1, 6, 9, 15, 22, 23, 29, 34, 42",3769861667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3770036205,197,9137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091283,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-09-10T16:48:04.343Z,2022-09-12T04:49:34Z,3770061037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091277,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-09-10T16:48:04.343Z,2022-09-10T16:48:04Z,3770061013,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091317,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50,50,2022-09-10T16:48:04.394Z,2022-09-12T06:03:37Z,3770061177,56,Back,3770061185,213,3.3,3770061187,279,S,3775698225,178,,3770061179,140,36.4,3770061183,212,14.4,3770061181,141,47.3,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091357,4,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,36.2,47.2,2022-09-10T16:48:06.823Z,2022-09-12T06:03:41Z,3775698295,178,,3770061389,140,31.1,3770061395,213,1.8,3770061391,141,86.8,3770061387,56,Back,3770061393,212,27.5,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091429,5,1,1,0,7,d0zdg647gvgc95xdtk1vpbkys,1,40,79.3,2022-09-10T16:48:12.035Z,2022-09-12T06:03:44Z,3775698349,178,,3770061757,212,37.0,3770061759,213,4.5,3770061755,141,26.1,3770061751,56,Back,3770061761,1,,3770061753,140,32.7,,,,3kx4mltrob4yta5g6kr2u8ic5,D. Blind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091475,6,1,1,0,11,d0zdg647gvgc95xdtk1vpbkys,1,36.2,21.5,2022-09-10T16:48:16.037Z,2022-09-12T06:03:49Z,3770061995,140,50.3,3770062001,213,5.6,3770061997,141,2.0,3770061993,56,Right,3775698385,178,,3770061999,212,19.9,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091503,7,1,1,0,14,d0zdg647gvgc95xdtk1vpbkys,1,58.3,3.2,2022-09-10T16:48:18.862Z,2022-09-12T06:03:53Z,3770062171,212,7.0,3770062173,213,6.1,3775698427,178,,3770062167,140,64.9,3770062163,56,Right,3770062169,141,1.6,,,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458091525,8,1,1,0,15,d0zdg647gvgc95xdtk1vpbkys,1,60.5,3.8,2022-09-10T16:48:20.279Z,2022-09-12T06:03:56Z,3770062261,213,2.8,3770062255,140,36.6,3770062257,141,14.9,3770062253,56,Back,3775698471,178,,3770062259,212,26.2,,,,,,,6m2pk6odyb3atayt6u8cifahh,D. Tadić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
