id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2504055139,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-02-04T18:52:22.545Z,2023-02-04T20:02:27Z,4012962127,194,934ldgpefo90za10cq49k0o6i,4013154603,197,1517,4012962125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012962113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4012962123,130,8,4012962119,59,"1, 2, 28, 8, 16, 4, 14, 23, 9, 10, 22, 27, 12, 15, 6, 17, 18, 24, 29, 33, 34",4012962109,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 6db1q8hud1d8u2q3lxzfixzze, a46irqckxabod18j2c0qfixre, 3ox3ey99addc8m1ee8qrzuuhh, 934ldgpefo90za10cq49k0o6i, 6jhavdnaitqn6ydme8a526aui, 3dx91sb6ktg8z1xmoti25kru, 5zwa237gtyf2mlrmo7tlkqnoq, 36q7nfs7t68aeg3z54rnr31pm, 51tih9z7sxlb4vj3j7tm1ewgl, 5frjqqf0jvbqw8ag00pktw8yy, 5wwqe546ohp130rvi8x8pt0tm, 6coor7jll29drx4kgvyt499wq, 9aj2e1c30c8i3h6iff0k4dmac, 2r0rasrm8fxczvujua8a8r1m1, 89dofd1p8ftdgy1u8jlyi58lx, cvw6enlkjfnrtysck783raf6y, 7y0acvcg9km8dz51t5ndy23md, f07qmqesi1rpw7eapoz9rb0gk, 8znaym62oghri26gdn8o6fz84",4012962129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504056233,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-04T18:54:18.638Z,2023-02-04T20:03:06Z,4012968017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012968021,194,8przxwwothu3crflys7ahl4dm,4012968011,130,10,4013160205,197,534,4012968007,59,"1, 2, 5, 15, 4, 23, 11, 6, 7, 20, 14, 10, 12, 13, 17, 19, 21, 22, 26, 29, 33, 34, 35",4012968001,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, efcq9u93u06hx6578ua3buswl, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, 93cf9npj6wl6vrxw7hetf6ok5, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, atbvv2os8m7nfs0p128w5a6l1, dbg4ducw8j747foxiexle1iad, b1o6ctqy1mhjg4iiec8aedat, cibkxflm2k8if2jg9m5lpxkut, f1u6wna62ri171clx0pig6dbd, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, e8wfxueczkhrj92rytelw5vx1, b23be312oxcbusvpjnnriukq2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",4012968025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012968003,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090701,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-02-04T20:00:21.107Z,2023-02-07T00:14:22Z,4013161735,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090695,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-04T20:00:21.107Z,2023-02-04T20:00:21Z,4013161717,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090719,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,50,50,2023-02-04T20:00:21.146Z,2023-02-07T04:51:58Z,4013161843,56,Back,4013161849,212,14.4,4013161847,141,50.7,4013161853,279,S,4018308359,178,,4013161845,140,36.3,4013161851,213,3.1,,,,93cf9npj6wl6vrxw7hetf6ok5,I. Bel Hassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090745,4,1,1,0,2,ed5nwjz5za3oyi20nxzgqivmx,0,38.7,50.1,2023-02-04T20:00:23.438Z,2023-02-07T04:52:05Z,4013162011,56,Right,4013162017,212,51.6,4013162021,1,,4013162019,213,5.8,4013162013,140,82.2,4013162015,141,14.9,4018308425,178,,4013162009,155,,evexihkozqignope6k57tjgt1,V. Anita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090767,3,1,1,0,5,dqk062lu0vm8epvytbm6r4mmf,0,24.8,86,2023-02-04T20:00:26.210Z,2023-02-07T04:52:12Z,4013162125,141,89.9,4013162129,213,0.2,4013162119,3,,4013162123,140,35.1,4018308459,388,,4013162127,212,11.1,4013162121,56,Back,,,,6db1q8hud1d8u2q3lxzfixzze,N. Tjoe-A-On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090793,5,1,1,0,7,ed5nwjz5za3oyi20nxzgqivmx,0,65.7,14.7,2023-02-04T20:00:28.752Z,2023-02-07T04:52:36Z,4013162267,212,14.7,4013162261,56,Right,4013162263,140,79.7,4013162259,3,,4013162269,213,6.3,4018308663,178,,4013162265,141,14.4,,,,9787nemt11c372uird332d13p,J. Gaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090791,4,44,1,0,9,dqk062lu0vm8epvytbm6r4mmf,1,20.8,84,2023-02-04T20:00:30.635Z,2023-02-07T12:24:50Z,4013162251,285,,4013162321,233,6,4013162249,56,Back,,,,,,,,,,,,,,,,6db1q8hud1d8u2q3lxzfixzze,N. Tjoe-A-On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090795,6,44,1,0,9,ed5nwjz5za3oyi20nxzgqivmx,0,79.2,16,2023-02-04T20:00:30.636Z,2023-02-07T04:52:42Z,4013162281,56,Right,4013162285,286,,4013162345,233,4,,,,,,,,,,,,,,,,a0i7hc92p5ijqi4jqw8krh8x6,Julen Lobete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090807,5,1,1,0,9,dqk062lu0vm8epvytbm6r4mmf,1,21.5,80.6,2023-02-04T20:00:30.658Z,2023-02-07T12:24:51Z,4013162327,56,Back,4013162335,213,4.8,4018308789,388,,4013162329,140,21.9,4013162333,212,5.0,4013162325,3,,4013162331,141,73.2,,,,6db1q8hud1d8u2q3lxzfixzze,N. Tjoe-A-On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090825,6,1,1,0,10,dqk062lu0vm8epvytbm6r4mmf,1,26.1,71.2,2023-02-04T20:00:31.621Z,2023-02-07T04:52:52Z,4013162433,140,31.7,4013162439,213,6.2,4013162437,212,5.9,4013162431,56,Back,4018308837,388,,4013162435,141,70.9,4013162429,3,,,,,a46irqckxabod18j2c0qfixre,K. Goudmijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504090831,7,49,1,0,12,dqk062lu0vm8epvytbm6r4mmf,1,31.6,65.2,2023-02-04T20:00:33.151Z,2023-02-07T10:23:27Z,,,,,,,,,,,,,,,,,,,,,,,,,36q7nfs7t68aeg3z54rnr31pm,M. Azarkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
