id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2454243405,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-09-01T17:08:00.095Z,2022-09-01T17:59:47Z,3749611281,59,"12, 3, 5, 6, 31, 22, 18, 8, 7, 10, 19, 1, 2, 13, 14, 17, 23, 28, 32, 34",3749611279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3749611287,194,7jgtmmk4b2bgn0syidj6ve7kl,3749645833,197,460,3749611289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749611277,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ayqy2vql1oumokqly9ahfrnx1, a2zavv31d2aadyddk0kjttdgq, 2w7xspkzg7b9ghl20me202ove, 42cg746sa90jla5x4islj9pwq, 6zzcoo9k4ebqtlux49rbb5fro, b2ibeioms7t9vb3au7tpqys4p, 7jgtmmk4b2bgn0syidj6ve7kl, 1t7nph4960rjzu7rgi47sf8ix, 8ymqihdfqc7esda7y407lebx1, 1hmy5uxiyr8g915tngl9l8twq, f3h1bxnw3fq8m10ck132bic4p, ad2qplv0aa66l11ipq6yh0hd5, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt",3749611283,130,8,3749611285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454244095,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-01T17:12:40.342Z,2022-09-01T19:11:46Z,3749646261,197,16521,3749615307,59,"22, 28, 16, 20, 4, 5, 7, 71, 9, 14, 10, 19, 1, 2, 6, 8, 11, 21, 24, 31, 34",3749615315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749615313,194,9p6nlczeycd0ai4dahjxnf8ph,3749615305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3749615303,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, 9p6nlczeycd0ai4dahjxnf8ph, 570htztcvfsu947xw6fvtzmc5, 61a5bh5xw947nv4mxx62gqaqx, cudl1cjc8kxshfbhatms7aooa, a76yp8gkkg6frtuhh3d6l46i, 55njsqpc4izy2wogf188whtrd, 6rfm7p5go1lgv6ccdjqgpallh, 5qvy65ckiigykkowpyco05zv9, 76n4eg1xu5qvf9bkwy4p8jsut, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, brij3tiox17hyfm63ulhg5sr9, 6lxkawhg9z2jyh7u8d6hp3g15, 8inyievyp1az6q3dtlkpynf56, 4fiks6jvfxzbs9k0s050vmfbo, 6dd248q0adq6su677bw2kk2c5, 6h0fuh0aamz86pf25qebm0fvu, bqqq27wy9bk31ssgapksci4t1",3749615309,130,8,3749615311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249461,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-01T18:01:39.808Z,2022-09-01T18:01:40Z,3749646565,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249467,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-09-01T18:01:39.808Z,2022-09-03T11:55:09Z,3749646591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249479,3,1,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,50.3,50,2022-09-01T18:01:39.971Z,2022-09-03T18:31:53Z,3749646639,213,3.1,3749646635,141,51.9,3749646633,140,33.3,3749646641,279,S,3749646637,212,17.9,3749646631,56,Back,3754993175,178,,,,,55njsqpc4izy2wogf188whtrd,Pedro Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249483,4,1,1,0,2,8iawijq7s9s6d85mjz8wdslki,1,32.3,56.3,2022-09-01T18:01:42.756Z,2022-09-03T18:31:47Z,3754992897,178,,3749646651,212,9.5,3749646647,140,26.6,3749646649,141,67.2,3749646653,213,2.3,3749646645,56,Back,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249489,5,1,1,0,5,8iawijq7s9s6d85mjz8wdslki,1,26.6,67.2,2022-09-01T18:01:44.886Z,2022-09-03T18:32:02Z,3749646673,140,25.3,3749646675,141,40.3,3749646679,213,4.6,3749646677,212,18.3,3754993603,178,,3749646671,56,Back,,,,,,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249495,6,1,1,0,7,8iawijq7s9s6d85mjz8wdslki,1,24.3,37.9,2022-09-01T18:01:47.571Z,2022-09-03T18:32:06Z,3754993831,178,,3749646719,212,4.4,3749646721,213,0.2,3749646713,56,Back,3749646717,141,39.4,3749646715,140,28.4,,,,,,,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249499,7,1,1,0,8,8iawijq7s9s6d85mjz8wdslki,1,28.9,42.5,2022-09-01T18:01:48.357Z,2022-09-03T18:32:11Z,3749646747,213,3.4,3749646739,56,Back,3749646741,140,24.0,3749646745,212,5.3,3749646743,141,40.6,3754994083,178,,,,,,,,a76yp8gkkg6frtuhh3d6l46i,D. Proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454249503,8,1,1,0,9,8iawijq7s9s6d85mjz8wdslki,1,23.6,40.6,2022-09-01T18:01:49.581Z,2022-09-03T18:32:15Z,3749646765,56,Back,3749646769,141,66.6,3749646771,212,18.2,3749646767,140,19.3,3749646773,213,1.8,3754994323,178,,,,,,,,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
