id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/10/value,qualifier/16/value,qualifier/14/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2509751161,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-19T10:23:49.689Z,2023-02-19T11:19:18Z,4042972853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4042972855,59,"12, 5, 16, 10, 4, 33, 21, 6, 9, 14, 19, 1, 3, 11, 17, 20, 24, 25, 27, 28, 30, 31, 38",4042972861,194,3u2783a9ukglf8yg3dere8wve,4043040973,197,12539,4042972859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4042972857,130,4,4042972851,30,"ail0unvzd0b9ur7j0l8hk0y51, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 426st78oi43eortpbfkuxw72t, 7r2ifipuieqiar5n00o2j5uj9, blzp9qbpturqntnisbkg0ddlg, 7pz3qz589b7v3pkb9h0hv73l5, 8o13oyr0lqkr5sw7j9ekdan6x, lfp411vh3vtjbvd6xra4jpp1, ae7ij4u0xy9iru6qvdw2i9fu2, 4qyx713hq3c6d5lwdfp98jd1x, 7rvlba00jv66w7wtdmk178a95, 4736oz9r0evpmkd3qumivl239, 4utb2o5c0e57kf0iwdavpzg15, aifho67q5citg1vdjyts477bp, dz5odw2c0d2hyx60oxorrf9hx, ca5n8516u8m6c41u61bbjjbop, 9gsuha7f2ldpqo091yrlykvyt, eyx1wga1fue6lb5a0ak5f32i2, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w",4042972863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509751169,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2023-02-19T10:23:53.881Z,2023-02-19T12:05:14Z,4042972965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4042972963,130,8,4042972957,30,"bpvq84v7wwz759mgykvsy3pat, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, 60fbyywnjiz6l8n7gmi2mjld5, 9sid8vt0mz1ypq4pn8vj6pas5, 1tj9gmnm02s8f12zwzvuwnoph, 4pe4ugftevr8859yin36nyll, 7jtag81mvpom3bfgezx8txbdh, dc4n5ylytswddlvd82snkb90q, ejv587h08dn1hgxhfgib3reqy, 24daij2a9hj0luq5eaxeejzvu, axgbibg0wdlir6tsrru6rpwph, 34258m1cvslz8r6d17nv4b90q, aqjwz3wm0it916o2vb5tz9vxl, 4e7x4ulb3mcxgnue8c9exvazu, aie09n600h7ozeg6zl6anithx, e4nlf2a8hs9xju5jgxszkyytx, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, a40zl71xh862o3qqxy89mp8q2, 73k8ok0kpb9xb6yhpmfhzir55, 7m3uhmmzizwmpk64dw750pn11, 3hpv677ua2y88yx55iujzqpgq",4043038433,197,482,4042972959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4042972967,194,1tj9gmnm02s8f12zwzvuwnoph,4042972961,59,"1, 27, 7, 19, 25, 5, 24, 33, 17, 22, 20, 3, 6, 8, 9, 10, 11, 13, 15, 16, 23, 26, 29",4042972969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763319,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-19T11:16:09.034Z,2023-02-21T08:07:41Z,4043045149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763327,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2023-02-19T11:16:09.034Z,2023-02-19T11:16:10Z,4043045189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763349,3,1,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,50.1,50.1,2023-02-19T11:16:09.070Z,2023-02-21T12:26:37Z,4043045285,140,28.3,4047515133,178,,4043045283,56,Back,4043045293,279,S,4043045287,141,39.5,4043045289,212,24.0,4043045291,213,3.4,,,,7pz3qz589b7v3pkb9h0hv73l5,D. van Kaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763369,4,1,1,0,3,ears40cp6opsgvhsy0dgyszpd,1,28.3,39.5,2023-02-19T11:16:12.332Z,2023-02-21T12:26:40Z,4043045391,1,,4047515159,178,,4043045387,212,47.9,4043045381,56,Center,4043045389,213,0.4,4043045379,155,,4043045385,141,65.5,4043045383,140,70.7,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763371,5,44,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,70.5,66.4,2023-02-19T11:16:15.393Z,2023-02-21T14:07:17Z,4043045399,56,Center,4043045401,286,,4043045409,233,3,,,,,,,,,,,,,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763367,3,44,1,0,6,4vd2t5schmvvufrfib7f2vjdf,0,29.5,33.6,2023-02-19T11:16:15.394Z,2023-02-21T12:26:47Z,4043045377,285,,4043045375,56,Back,4043045423,233,5,,,,,,,,,,,,,,,,9sid8vt0mz1ypq4pn8vj6pas5,J. Bruma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763385,6,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,0,70.7,65.5,2023-02-19T11:16:15.405Z,2023-02-21T14:07:18Z,4043045469,141,56.1,4047515271,388,,4043045471,212,9.0,4043045467,140,76.7,4043045463,3,,4043045473,213,5.5,4043045465,56,Center,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763379,4,44,1,0,8,4vd2t5schmvvufrfib7f2vjdf,1,23.2,44.8,2023-02-19T11:16:17.123Z,2023-02-21T14:07:18Z,4043045453,285,,4043045503,233,7,4043045451,56,Back,,,,,,,,,,,,,,,,8wb6zb0imo0295asm428cur55,M. Köhlert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
