id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/12/value,qualifier/15/value,assist,qualifier/18/value
2501949903,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-29T12:43:20.665Z,2023-01-29T14:40:15Z,4001923325,194,6m2pk6odyb3atayt6u8cifahh,4001923319,59,"12, 15, 5, 8, 2, 4, 20, 6, 10, 23, 7, 1, 3, 9, 18, 19, 22, 26, 28, 35, 43, 57, 58",4001923317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001923321,130,7,4001923315,30,"1lgrnaje6y7un5dzzll84p91, 6sg2ot7z9kfyrlgjkmpqvejqi, dafbvyorudvujxw7zswicykmh, 35qg0rrwtl00pycx468s62m3u, aqlakf0mo95rlktf6xdbaegh5, bp3apdb2ahzacq45k4mzj5jhl, p7vw4thx5wzo49h6hfabcq5m, baakmd4ndnulbl9npvmq90mvp, 6m2pk6odyb3atayt6u8cifahh, 7joybllup4h9oe6zfhcepjy6t, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, 4jqgl7x5ewke1u0sy2cbkqfhl, 9c2i7ddl2uh7kuhwq62klkyui, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, 7w5ivtmbqzi4hfte330r1a505, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 2x44f29a52v8kpkkjsuiiywdm, a7vlgirln231n3dqjhb72o0es, bgydmtsi0ngn9k56apo29v0no, egcs7b6ixb62ep08t7jznf9ih",4001923323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001923327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002166505,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501952365,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-01-29T12:46:54.152Z,2023-01-29T18:19:14Z,4001935659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001935653,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001935657,130,11,4001935663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001935661,194,934ldgpefo90za10cq49k0o6i,4001935655,59,"1, 2, 28, 4, 17, 16, 14, 8, 10, 23, 22, 5, 6, 7, 9, 18, 24, 29, 34, 38",4002093391,197,1517,4001935651,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 6db1q8hud1d8u2q3lxzfixzze, 934ldgpefo90za10cq49k0o6i, 2r0rasrm8fxczvujua8a8r1m1, 3ox3ey99addc8m1ee8qrzuuhh, 6jhavdnaitqn6ydme8a526aui, a46irqckxabod18j2c0qfixre, 36q7nfs7t68aeg3z54rnr31pm, 3dx91sb6ktg8z1xmoti25kru, 51tih9z7sxlb4vj3j7tm1ewgl, 1wf757j0e3v3bdpbc9z2tav3d, 9aj2e1c30c8i3h6iff0k4dmac, bhkrpr3gxc5xx0b0dinla5muh, 5zwa237gtyf2mlrmo7tlkqnoq, 89dofd1p8ftdgy1u8jlyi58lx, cvw6enlkjfnrtysck783raf6y, 7y0acvcg9km8dz51t5ndy23md, 8znaym62oghri26gdn8o6fz84, 3fvaph4p7n0i1nwhhtlpayzh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985821,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-01-29T13:31:02.867Z,2023-01-31T17:48:21Z,4002093897,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985785,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-29T13:31:02.867Z,2023-01-29T13:31:03Z,4002093741,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985855,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50.1,50.1,2023-01-29T13:31:02.888Z,2023-01-31T18:14:32Z,4002094071,140,42.3,4005617831,178,,4002094075,212,10.2,4002094077,213,2.5,4002094069,56,Back,4002094079,279,S,4002094073,141,59.0,,,,6m2pk6odyb3atayt6u8cifahh,D. Tadić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985867,4,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,42.3,57.5,2023-01-29T13:31:03.719Z,2023-01-31T18:24:04Z,4002094135,140,40.2,4005624913,178,,4002094141,213,4.3,4002094137,141,50.7,4002094133,56,Back,4002094139,212,5.1,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985875,5,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,39.9,47,2023-01-29T13:31:05.695Z,2023-01-31T18:24:08Z,4002094171,140,32.3,4005624983,178,,4002094175,212,8.1,4002094177,213,3.3,4002094173,141,45.0,4002094169,56,Back,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985917,6,1,1,0,5,d0zdg647gvgc95xdtk1vpbkys,1,31,52.4,2023-01-29T13:31:08.768Z,2023-01-31T18:24:12Z,4002094409,56,Back,4002094411,140,32.9,4005625045,178,,4002094415,212,17.6,4002094417,213,1.5,4002094413,141,78.1,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985971,7,1,1,0,9,d0zdg647gvgc95xdtk1vpbkys,1,42,80.6,2023-01-29T13:31:11.904Z,2023-01-31T18:24:15Z,4005625081,178,,4002094719,56,Back,4002094725,140,47.4,4002094731,213,1.0,4002094727,141,94.4,4002094729,212,11.0,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986005,8,1,1,0,12,d0zdg647gvgc95xdtk1vpbkys,1,56.3,94.8,2023-01-29T13:31:15.783Z,2023-01-31T18:24:18Z,4002094875,212,18.7,4002094871,140,42.6,4002094873,141,77.3,4002094869,56,Back,4005625129,178,,4002094877,213,3.8,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986017,9,1,1,0,16,d0zdg647gvgc95xdtk1vpbkys,1,46.9,67.8,2023-01-29T13:31:18.921Z,2023-01-31T18:24:21Z,4002094945,213,5.9,4005625159,178,,4002094939,141,62.9,4002094937,140,54.8,4002094941,212,8.9,4002094935,56,Center,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986043,10,1,1,0,18,d0zdg647gvgc95xdtk1vpbkys,1,57.6,69.9,2023-01-29T13:31:20.933Z,2023-01-31T18:24:25Z,4002095075,56,Left,4002095081,212,15.7,4002095079,141,92.9,4002095083,213,1.6,4005625243,178,,4002095077,140,56.8,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986067,11,1,1,0,20,d0zdg647gvgc95xdtk1vpbkys,1,55.1,94.8,2023-01-29T13:31:22.888Z,2023-01-31T18:24:28Z,4005625253,178,,4002095189,56,Back,4002095205,213,3.7,4002095197,141,82.6,4002095201,212,14.7,4002095193,140,43.6,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986095,12,1,1,0,22,d0zdg647gvgc95xdtk1vpbkys,1,43.5,71.7,2023-01-29T13:31:25.744Z,2023-01-31T18:24:32Z,4002095321,212,23.0,4002095317,140,44.5,4005625297,178,,4002095319,141,37.9,4002095315,56,Back,4002095323,213,4.8,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986143,13,1,1,0,28,d0zdg647gvgc95xdtk1vpbkys,1,50.7,37.1,2023-01-29T13:31:31.038Z,2023-01-31T18:24:35Z,4002095523,212,31.4,4005625361,178,,4002095517,56,Left,4002095521,141,83.1,4002095519,140,53.7,4002095525,213,1.5,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986197,14,1,1,0,31,d0zdg647gvgc95xdtk1vpbkys,1,54.1,83,2023-01-29T13:31:34.122Z,2023-01-31T18:24:40Z,4002095765,212,13.5,4005625415,178,,4002095761,140,63.3,4002095763,141,96.9,4002095759,56,Left,4002095767,213,0.8,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986209,15,1,1,0,33,d0zdg647gvgc95xdtk1vpbkys,1,61.3,95.1,2023-01-29T13:31:36.497Z,2023-01-31T18:24:45Z,4005625447,178,,4002095841,141,93.0,4002095837,56,Back,4002095839,140,46.3,4002095845,213,3.2,4002095843,212,15.8,,,,,,,6hrp4zuxh40i3tccmk5s0j5xx,S. Bergwijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
