id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2502065967,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-29T14:50:28.688Z,2023-01-29T15:44:25Z,4002493413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002493415,194,3u2783a9ukglf8yg3dere8wve,4002493407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002493405,30,"ail0unvzd0b9ur7j0l8hk0y51, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 7pz3qz589b7v3pkb9h0hv73l5, 7r2ifipuieqiar5n00o2j5uj9, blzp9qbpturqntnisbkg0ddlg, 8o13oyr0lqkr5sw7j9ekdan6x, 426st78oi43eortpbfkuxw72t, afsin57n25r53ifmqyfmbzqol, ae7ij4u0xy9iru6qvdw2i9fu2, 4utb2o5c0e57kf0iwdavpzg15, aifho67q5citg1vdjyts477bp, 7rvlba00jv66w7wtdmk178a95, efwbv81uca8myl7gusdb2q38p, 8jbjkt4wc1dmqaoxn76mct84q, dzs8vty5afl2y7ddjh3ausclx, 5yi3d29esiydx9zsuhap1wnx0, ca5n8516u8m6c41u61bbjjbop, eyx1wga1fue6lb5a0ak5f32i2, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w, c6ufljjgl050g9xn7e9ma7hg4",4002493411,130,4,4002741919,197,12539,4002493409,59,"12, 5, 16, 21, 4, 33, 6, 10, 28, 14, 11, 17, 1, 2, 7, 18, 22, 24, 27, 30, 31, 38, 39",4002493417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502068209,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-01-29T14:53:38.505Z,2023-01-29T15:52:40Z,4002506089,194,8rqula41yqtbwycgemsw9ixud,4002729725,197,9418,4002506085,130,8,4002506083,59,"31, 12, 5, 19, 14, 33, 7, 8, 17, 15, 85, 1, 4, 6, 11, 21, 22, 29, 34, 55, 61, 74, 77",4002506079,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 9trasqdd75zjxz4kzplb64xjp, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, cnexf6pdh1piheuuqzrbb1t61, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, 8qqyo9093i0wtapxq219wjzzd, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 5fnmjp63t7m9fg3y2fcw6z015, 3jkzywsfc2vjq3h1kqdhhl2hh, cozhhgt0jbcuu4wdxf1pwjkyd, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 6o2tffdjtdueojbhahe3w66i2, 51x91drkirjxaclsm8iv6nm96, 71gwdg60saiwwwnnv6is52may",4002506091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002506087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002506081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114393,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-01-29T15:46:33.444Z,2023-01-29T15:46:35Z,4002753075,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114381,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-29T15:46:33.444Z,2023-01-30T03:38:17Z,4002753021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114437,3,1,1,0,0,3ebril33e08ddzob4bhq8awsr,1,50.1,50.1,2023-01-29T15:46:33.461Z,2023-01-31T21:16:49Z,4002753293,56,Back,4002753295,140,41.8,4005979407,178,,4002753299,212,12.2,4002753303,279,S,4002753301,213,3.9,4002753297,141,37.6,,,,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114457,4,1,1,0,2,3ebril33e08ddzob4bhq8awsr,1,42.3,36.7,2023-01-29T15:46:36.128Z,2023-01-31T21:16:52Z,4002753359,56,Back,4005979587,178,,4002753361,140,35.1,4002753367,213,4.3,4002753365,212,18.3,4002753363,141,12.2,,,,,,,cnexf6pdh1piheuuqzrbb1t61,K. Bistrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114513,5,1,1,0,5,3ebril33e08ddzob4bhq8awsr,1,35.6,13.7,2023-01-29T15:46:38.525Z,2023-01-31T21:16:54Z,4002753675,141,61.7,4002753673,140,23.8,4002753679,213,1.9,4002753681,1,,4002753677,212,34.9,4005979751,178,,4002753671,56,Back,,,,dp0q4f4gbj2buhcu1lb5dzxed,Ivo Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114577,6,1,1,0,8,3ebril33e08ddzob4bhq8awsr,1,19.4,62.1,2023-01-29T15:46:41.476Z,2023-01-31T21:16:58Z,4005980091,178,,4002753987,141,37.6,4002753991,213,3.9,4002753983,56,Back,4002753985,140,4.2,4002753989,212,23.1,,,,,,,7t19aebk75lrt41hmclk18mhh,D. Siovas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114585,7,1,1,0,12,3ebril33e08ddzob4bhq8awsr,0,4.1,32.8,2023-01-29T15:46:45.764Z,2023-01-31T21:17:00Z,4004003239,157,,4002754041,141,32.2,4002754047,1,,4002754037,56,Center,4002754039,140,54.0,4005980251,178,,4002754043,212,52.4,4002754045,213,6.3,5gnywqecwvt5yxied85hu4x2i,I. Pandur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502114629,3,49,1,0,15,ears40cp6opsgvhsy0dgyszpd,1,48.5,70.2,2023-01-29T15:46:48.563Z,2023-01-31T21:17:08Z,,,,,,,,,,,,,,,,,,,,,,,,,blzp9qbpturqntnisbkg0ddlg,F. Smand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
