id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2529861987,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-04-07T17:24:40.058Z,2023-04-07T17:42:22Z,4170270635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170270623,30,"dxcsuw39xzusjsj5e1jw53y6t, 6gj1r8dnoy17pemp9xtng6sbt, b2a5syitl1nb5ky04j7pdq09h, 4t85yj2ijymrz5vf457jcihre, 8utfqkk9niq1xvdhsw0f4awut, 9zcr9l3mfbbstmesdlx298vhm, 3nto7ft0b2a47lqd7ethkkrxm, alxccjq2y6il5yjw108a0axnt, emglxnqrlqskt8krglv7sziwa, ci5y030e6r9umgyjbupwske7d, ar7ybu7dordgt2yfx5inux62, 7j5xa2ti4qnvoh74h5twyi6s5, brqptr56zeku3bgqbixje0hxx, e5kpw4k4tyss5ch8ehfi7nk5x, ebrua3sixxfvycsty8z956ga1, 4k9shzwgauyy7w2911uev75yh, 397korofv0jmoxs8aklr5yuzu, dk56pv43y8zo39ft9xtwyapnu, 8zmxsixeoe1gmas31bzss7ljp, 44t0ew97eyl8ww00sgusx00a2, am0ea3bvmnin4gco2ndny2noq, 3aly8eihwfvtwde7dg0k18w7o, 29fr98or3mqippn84z3p9ihhw",4170270627,59,"20, 19, 15, 7, 37, 12, 21, 8, 9, 10, 18, 1, 2, 4, 6, 23, 24, 25, 28, 31, 34, 39, 40",4170270631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170270629,130,8,4170270625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170308347,197,477,4170270633,194,dxcsuw39xzusjsj5e1jw53y6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529863011,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-04-07T17:28:58.549Z,2023-04-07T17:58:32Z,4170344385,197,16382,4170276765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170276769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170276767,194,c2an5ksdu6jbap3x3jp3z9c5x,4170276757,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, c3mpk7pjhma4lwkjl8v5mhox6, eu6pfkiah7otafyryg6ll7y09, aafz6q5ggn9e6m5hprc71lgph, c2an5ksdu6jbap3x3jp3z9c5x, ely6vpyueden4b6ozfmspwgk5, 4rp5snknt88bf4lws5t0o9gph, 1p0xp2onnys7jlru55vfgf1pm, 28o7vv0jud22hmg4h649yozqh, 3mp92d5s002hi523kl4zmgrft, 1s7vp9ovsa1jo7tu7nisykn9x, 6gabdz53gxhyp8dv6x5the4t1, egcs7b6ixb62ep08t7jznf9ih, d7ml58kwwpetvnw46qja9ru5m, b427p4czppyjddx3xuuvc2okp, 9wo8twcbs1jnqzdy0c6y8adey, 8p47d0e54hgl7d86vur1m5nmx, 395y7yj6o1xwr6uaxs4sjnjdh, ebqj8v33xv3otev2pycc6xomh, 1s6yn52hlqtmmz4lerscf457u, deb7ysp5fwiouttlarstuxgyc",4170276763,130,4,4170276759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170276761,59,"1, 17, 14, 8, 33, 24, 18, 22, 9, 10, 26, 2, 5, 7, 19, 23, 25, 27, 28, 31, 38, 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876529,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-04-07T18:01:36.101Z,2023-04-08T11:44:52Z,4170351285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876535,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-04-07T18:01:36.101Z,2023-04-07T18:01:37Z,4170351307,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876573,3,1,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,50,50,2023-04-07T18:01:36.106Z,2023-04-08T14:06:16Z,4170351511,279,S,4172285489,178,,4170351505,141,39.8,4170351507,212,10.7,4170351509,213,3.9,4170351503,140,42.3,4170351501,56,Back,,,,ci5y030e6r9umgyjbupwske7d,D. Irandust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876597,4,1,1,0,3,cos9hxi16eitbcbthof7zrm4m,1,44.8,44.6,2023-04-07T18:01:39.348Z,2023-04-08T14:06:38Z,4170351613,140,35.9,4170351611,56,Back,4170351615,141,62.1,4170351617,212,15.1,4170351619,213,2.2,4172288333,178,,,,,,,,alxccjq2y6il5yjw108a0axnt,J. Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876601,5,1,1,0,5,cos9hxi16eitbcbthof7zrm4m,1,35.9,65.7,2023-04-07T18:01:41.927Z,2023-04-08T14:06:43Z,4170351633,140,36.6,4172288915,178,,4170351631,56,Back,4170351637,212,10.1,4170351639,213,1.5,4170351635,141,80.5,,,,,,,9zcr9l3mfbbstmesdlx298vhm,R. Balker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876623,6,1,1,0,7,cos9hxi16eitbcbthof7zrm4m,0,40,82.4,2023-04-07T18:01:43.822Z,2023-04-08T14:06:45Z,4170351741,141,89.1,4170351743,212,14.8,4172289171,178,,4170351745,213,0.3,4170351737,56,Left,4170351739,140,53.4,,,,,,,b2a5syitl1nb5ky04j7pdq09h,J. Willems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876627,3,49,1,0,9,ccpscwdcm65czscrun048ecn5,1,42.9,10.5,2023-04-07T18:01:45.273Z,2023-04-08T14:06:58Z,,,,,,,,,,,,,,,,,,,,,,,,,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876641,4,1,1,0,9,ccpscwdcm65czscrun048ecn5,1,42.9,10.5,2023-04-07T18:01:45.333Z,2023-04-08T14:07:00Z,4170351843,212,14.8,4170351831,56,Center,4172290341,178,,4170351839,141,28.2,4170351835,140,51.1,4170351849,213,0.9,,,,,,,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
