id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,assist
2511533793,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-02-24T17:40:08.600Z,2023-02-24T18:57:05Z,4052362943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052362941,194,e8zpc22dwlmgkkwoqpgwxsn2t,4052552509,197,2359,4052362935,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 30, 15, 14, 22, 20, 21, 16, 13, 17, 19, 18, 12",4052362931,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 6w59kdfilru1152bjutstu2fp, 5gs7jd1eigk4jisxbr9a1yvp, e8zpc22dwlmgkkwoqpgwxsn2t, 2nwthqvbk70e2qo35dgp35979, 8n9t52eeli3s39r8ujjhjt7je, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, tgu7kztdu9azmvirwu8rrip6, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, ubuh5wgnl0o5bn3wirdmectm, 4cbhx91p3l265b2cejzd07gbu, 6vqc5d718gbqobb9o3a40jlqt, 673xny9ozqe978emdytscm5pm, 6ovzd9akutufagsd8kmxmsei2, c6i4usq34m3389rtbqptahrai, dficbkp6sp4kw7xihaxneozpx, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu, cixzy9hl7ks4maugc5zc9ievp",4052362933,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052362939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052362937,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511535917,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-02-24T17:43:29.525Z,2023-02-24T18:57:33Z,4052373499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052373497,194,1s7vp9ovsa1jo7tu7nisykn9x,4052373495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052373493,130,8,4052553537,197,16382,4052373491,59,"1, 17, 2, 8, 33, 27, 10, 18, 9, 22, 26, 3, 5, 7, 14, 19, 23, 25, 30, 31, 38, 51",4052373489,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052373487,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, eu6pfkiah7otafyryg6ll7y09, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, 28o7vv0jud22hmg4h649yozqh, ely6vpyueden4b6ozfmspwgk5, 1p0xp2onnys7jlru55vfgf1pm, 4rp5snknt88bf4lws5t0o9gph, 3mp92d5s002hi523kl4zmgrft, 2tu58roj0u0vpaqcaz266a415, 6gabdz53gxhyp8dv6x5the4t1, egcs7b6ixb62ep08t7jznf9ih, c3mpk7pjhma4lwkjl8v5mhox6, d7ml58kwwpetvnw46qja9ru5m, b427p4czppyjddx3xuuvc2okp, 9wo8twcbs1jnqzdy0c6y8adey, 4ooliltsht8mvelpds3v4bpat, ebqj8v33xv3otev2pycc6xomh, 1s6yn52hlqtmmz4lerscf457u, et56bifus2obkmtcwzhqpzxn8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570629,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-02-24T19:00:40.357Z,2023-02-24T19:00:40Z,4052560531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570635,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-02-24T19:00:40.357Z,2023-02-26T17:06:15Z,4052560559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570691,3,1,1,0,0,ccpscwdcm65czscrun048ecn5,1,50,50,2023-02-24T19:00:40.394Z,2023-02-26T17:33:23Z,4052560779,212,16.4,4052560777,141,53.0,4060003821,178,,4052560775,140,34.5,4052560773,56,Back,4052560781,213,3.0,4052560783,279,S,,,,3mp92d5s002hi523kl4zmgrft,O. Boussaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570719,4,1,1,0,3,ccpscwdcm65czscrun048ecn5,0,32.2,53.9,2023-02-24T19:00:43.839Z,2023-02-26T17:33:46Z,4052560923,56,Center,4052560921,155,,4052560925,140,71.3,4052560927,141,74.4,4060005439,178,,4052560929,212,43.4,4052560931,213,0.3,4052560933,1,,aafz6q5ggn9e6m5hprc71lgph,M. van der Hoorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570739,3,44,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,28,30,2023-02-24T19:00:47.069Z,2023-02-26T21:42:16Z,4052561049,233,5,4052561017,56,Back,4052561019,285,,,,,,,,,,,,,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570733,5,44,1,0,6,ccpscwdcm65czscrun048ecn5,0,72,70,2023-02-24T19:00:47.070Z,2023-02-26T17:33:51Z,4052560987,56,Center,4052560989,286,,4052561063,233,3,,,,,,,,,,,,,,,,4rp5snknt88bf4lws5t0o9gph,S. van de Streek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570743,4,1,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,0,27.2,34.3,2023-02-24T19:00:47.128Z,2023-02-26T21:42:16Z,4052561075,140,41.4,4052561071,3,,4052561073,56,Back,4052561079,212,14.9,4052561077,141,35.6,4052561081,213,0.1,4060006019,388,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570775,6,1,1,0,8,ccpscwdcm65czscrun048ecn5,1,62.9,75.5,2023-02-24T19:00:48.868Z,2023-02-26T17:33:59Z,4060006395,388,,4052561225,140,68.6,4052561221,3,,4052561223,56,Center,4052561229,212,10.1,4052561227,141,63.6,4052561231,213,5.3,,,,eu6pfkiah7otafyryg6ll7y09,L. Brouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570791,7,1,1,0,9,ccpscwdcm65czscrun048ecn5,0,68.6,63.6,2023-02-24T19:00:49.996Z,2023-02-26T17:34:04Z,4060006871,178,,4052561331,213,1.3,4052561321,155,,4052561323,56,Left,4052561325,140,74.2,4052561327,141,95.0,4052561329,212,22.1,,,,28o7vv0jud22hmg4h649yozqh,T. Booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570815,5,1,1,0,11,89w5c6pw7vn0dxypi61tt0g4k,0,28.9,12.4,2023-02-24T19:00:51.924Z,2023-02-26T17:34:10Z,4052561447,212,27.6,4060007377,388,,4052561449,213,5.9,4052561443,140,53.6,4052561441,56,Right,4052561445,141,0.0,4052561439,3,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570817,6,5,1,0,15,89w5c6pw7vn0dxypi61tt0g4k,0,54.7,-1.2,2023-02-24T19:00:55.790Z,2023-02-26T17:34:16Z,4052561453,347,,4052561451,56,Right,4052561883,233,8,,,,,,,,,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570869,8,5,1,0,15,ccpscwdcm65czscrun048ecn5,1,45.3,101.2,2023-02-24T19:00:55.790Z,2023-02-26T17:34:16Z,4052561839,347,,4052561861,233,6,4052561837,56,Back,,,,,,,,,,,,,,,,ely6vpyueden4b6ozfmspwgk5,J. Toornstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570895,9,1,1,0,24,ccpscwdcm65czscrun048ecn5,0,51.1,100,2023-02-24T19:01:04.498Z,2023-02-26T17:34:21Z,4052562005,56,Center,4052562015,1,,4052562011,212,34.6,4052562013,213,5.5,4052562003,107,,4052562009,141,66.0,4052562007,140,75.2,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570901,7,49,1,0,27,89w5c6pw7vn0dxypi61tt0g4k,1,26.5,36.1,2023-02-24T19:01:07.771Z,2023-02-26T17:34:28Z,,,,,,,,,,,,,,,,,,,,,,,,,e8zpc22dwlmgkkwoqpgwxsn2t,A. Auassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
