id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2482494439,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-11-06T14:44:56.648Z,2022-11-06T15:41:52Z,3899852781,197,13609,3899482529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899482541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899482545,194,7jgtmmk4b2bgn0syidj6ve7kl,3899482533,59,"12, 3, 5, 25, 31, 22, 8, 6, 7, 2, 11, 1, 9, 13, 14, 17, 19, 23, 28, 32, 34",3899482549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899482537,130,4,3899482525,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ayqy2vql1oumokqly9ahfrnx1, a2zavv31d2aadyddk0kjttdgq, 74c15mfi1h4zrry5fo2q94ul1, 42cg746sa90jla5x4islj9pwq, 6zzcoo9k4ebqtlux49rbb5fro, 7jgtmmk4b2bgn0syidj6ve7kl, 2w7xspkzg7b9ghl20me202ove, 1t7nph4960rjzu7rgi47sf8ix, ad2qplv0aa66l11ipq6yh0hd5, 33yauarx84sam5u05vgyqxfxl, f3h1bxnw3fq8m10ck132bic4p, 7sd87ylfbtgwgpb70hf68cel1, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482499035,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-11-06T14:48:38.290Z,2022-11-06T15:42:20Z,3899506983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899856623,197,534,3899506979,59,"1, 2, 5, 24, 4, 23, 33, 6, 7, 11, 14, 8, 10, 13, 15, 17, 19, 21, 22, 26, 34, 35",3899506987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899506975,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, b23be312oxcbusvpjnnriukq2, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, 93cf9npj6wl6vrxw7hetf6ok5, dbg4ducw8j747foxiexle1iad, aoucm7e5muqfucbv1g4e8hh49, b1o6ctqy1mhjg4iiec8aedat, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",3899506985,194,8przxwwothu3crflys7ahl4dm,3899506981,130,10,3899506977,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482567869,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-11-06T15:45:08.922Z,2022-11-06T15:45:12Z,3899879513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482567855,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-11-06T15:45:08.922Z,2022-11-08T01:42:34Z,3899879449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482567967,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,50.1,50,2022-11-06T15:45:09.023Z,2022-11-08T05:29:42Z,3903048991,178,,3899879959,56,Back,3899879969,279,S,3899879961,140,28.1,3899879965,212,23.9,3899879967,213,2.9,3899879963,141,59.1,,,,93cf9npj6wl6vrxw7hetf6ok5,I. Bel Hassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482568063,4,1,1,0,3,ed5nwjz5za3oyi20nxzgqivmx,1,26.1,58.3,2022-11-06T15:45:12.071Z,2022-11-08T05:29:46Z,3899880539,213,5.8,3899880531,56,Center,3899880535,141,22.3,3903049031,178,,3899880537,212,55.5,3899880529,155,,3899880533,140,73.5,3899880541,1,,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482568081,5,61,1,0,5,ed5nwjz5za3oyi20nxzgqivmx,0,72.9,22.5,2022-11-06T15:45:14.533Z,2022-11-08T05:29:59Z,3903049151,388,,3903049149,21,,3899880643,56,Center,,,,,,,,,,,,,,,,a0i7hc92p5ijqi4jqw8krh8x6,Julen Lobete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482568035,3,49,1,0,6,3kfktv64h7kg7zryax1wktr5r,1,21.3,72.3,2022-11-06T15:45:15.863Z,2022-11-08T05:30:05Z,,,,,,,,,,,,,,,,,,,,,,,,,6zzcoo9k4ebqtlux49rbb5fro,M. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482568137,4,1,1,0,7,3kfktv64h7kg7zryax1wktr5r,0,22.8,73.8,2022-11-06T15:45:15.929Z,2022-11-08T05:30:08Z,3899880925,140,44.6,3899880921,157,,3899880929,212,22.9,3903049237,178,,3899880933,1,,3899880923,56,Back,3899880927,141,75.1,3899880931,213,0.0,6zzcoo9k4ebqtlux49rbb5fro,M. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482568215,6,1,1,0,10,ed5nwjz5za3oyi20nxzgqivmx,0,54.6,26.7,2022-11-06T15:45:19.158Z,2022-11-08T05:30:20Z,3899881283,56,Center,3899881287,141,43.3,3899881293,1,,3903049335,178,,3899881285,140,70.5,3899881281,157,,3899881289,212,20.2,3899881291,213,0.6,8przxwwothu3crflys7ahl4dm,S. Adewoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
