id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,assist,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2443230535,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-08-07T11:29:54.317Z,2022-08-07T12:39:37Z,3691227989,197,15620,3691002449,194,4idru0svqcqjpi03b4jhqyd3p,3691002443,130,11,3691002451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691002441,59,"24, 2, 32, 13, 20, 5, 42, 21, 11, 8, 22, 3, 9, 18, 23, 25, 27, 29, 33, 53, 60",3691002437,30,"e84kqxlu2bzgcpu0x0cj3z8id, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, eqjelc731e1xrp95bpysx0pka, d8cxurdt9g5gezqlfwae7ooru, e65zqndnze1xzef4qlkhd1v4l, czh4r9efdbw4fvdux0enl127e, 4idru0svqcqjpi03b4jhqyd3p, cty7nsrs5yn785m330c2gbwq2, 4ecptuxoyx485mmhrubuscgyd, 4snaidw6iaeo0k20gjfm35nft, cgsmk5437f466uoqvol7devze, b2uznyb9b8fxsy57450mbmwru, 7xtesbxl6ioj70wymszqsag9h, a69sa0h7lgpmlav961cpejbe2, 30t0ph1icrggc0x62om801ses, 1txv3b9y7h3du9d5bbblg0vai, hjb0mn4fgmfiimwn5odvl8fd, 3hhca66jtxt3c1iw10nfmhtnu, 45vh3c99keqayr9hj0r6x0ei2, 1t28pbgw92ktu3i8lvd4bf2ms",3691002439,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691002445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443238565,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-08-07T11:39:06.503Z,2022-08-07T12:45:59Z,3691044295,194,5bjdj7hrhuxjbsa8wc1kw42c5,3691044285,30,"9pgr69ub37hmr76gwbfw7lhw5, 4yyekuopwb7otz18rqfgwjht5, e6xexn53yyoxmdt5naduyx8bu, 4dh4ws8ehn6uywozt6ygczs2d, 5bjdj7hrhuxjbsa8wc1kw42c5, bnar4f48vnx4oaz2lzch48es5, 1957std7hji9ca7bd29y8at7u, e5xuwwa4qs6zxjd7y52tslih, 4j5hfebi948ggjwexpndrub1m, 504o2odlvra056ouwcgreopgp, dy8wa8cciiae72q2ynm80rlcl, 2qisc3hbv5wptqo9az1w0op1x, a8cgbwioykhqztfjgztfn7dud, 6pgcyaivg3sjcm6jju4nn3omi, 909y6bbt3ht52rsu560ua5gid, 1qjf9el1a3ct17cb9epxz8xgq, a89554tzfy4nfxrycpr2z0xjp, ely6vpyueden4b6ozfmspwgk5, alzgg0nxnnex3nkzr6lgmt1ey, 7d8qc47gy4mb9mo67e1ic448a, 4fcjml5xkrwp4jykruzrzub1m, 6coor7jll29drx4kgvyt499wq",3691044291,130,8,3691044293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691232711,197,469,3691044297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691044289,59,"1, 3, 2, 8, 18, 6, 23, 27, 9, 17, 11, 16, 7, 19, 21, 25, 26, 28, 30, 43, 46, 53",3691044287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277099,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-08-07T12:30:12.603Z,2022-08-07T12:30:16Z,3691234075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277095,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-08-07T12:30:12.603Z,2022-08-09T10:53:38Z,3691234065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277151,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,49.9,50,2022-08-07T12:30:13.060Z,2022-08-10T04:47:36Z,3691234313,213,3.3,3691234311,212,16.5,3691234315,279,S,3691234305,56,Back,3696554511,178,,3691234309,141,46.4,3691234307,140,34.4,,,,cty7nsrs5yn785m330c2gbwq2,N. Frederiksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277167,4,1,1,0,3,6hsriqr3ybvyg94w2k19oal50,0,34.4,46.4,2022-08-07T12:30:16.363Z,2022-08-10T04:47:42Z,3691234397,141,75.0,3691234401,213,0.5,3691234399,212,44.0,3691234403,1,,3691234395,140,72.0,3696554547,178,,3691234391,155,,3691234393,56,Center,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277171,3,49,1,0,6,20vymiy7bo8wkyxai3ew494fz,1,33.8,12.2,2022-08-07T12:30:19.050Z,2022-08-10T04:48:01Z,,,,,,,,,,,,,,,,,,,,,,,,,4yyekuopwb7otz18rqfgwjht5,L. Geertruida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277213,4,1,1,0,6,20vymiy7bo8wkyxai3ew494fz,0,33.8,12.2,2022-08-07T12:30:19.087Z,2022-08-10T04:47:54Z,3691234597,140,68.5,3691234599,141,35.4,3691234595,56,Center,3691234605,1,,3696554639,388,,3691234593,157,,3691234603,213,0.4,3691234601,212,39.7,4yyekuopwb7otz18rqfgwjht5,L. Geertruida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277259,5,1,1,0,10,6hsriqr3ybvyg94w2k19oal50,1,29.8,75.5,2022-08-07T12:30:23.295Z,2022-08-10T04:48:05Z,3691234831,212,11.8,3691234833,213,1.3,3691234829,141,92.3,3691234827,140,32.5,3691234823,3,,3691234825,56,Back,3696554729,388,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443277263,6,49,1,0,13,6hsriqr3ybvyg94w2k19oal50,1,32.5,92.3,2022-08-07T12:30:25.937Z,2022-08-10T04:48:10Z,,,,,,,,,,,,,,,,,,,,,,,,,eqjelc731e1xrp95bpysx0pka,E. Cornelisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
