id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2503336367,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-03T17:48:01.165Z,2023-02-03T19:00:55Z,4009211647,194,8rqula41yqtbwycgemsw9ixud,4009211639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009211645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009211641,59,"31, 12, 5, 19, 14, 33, 7, 8, 17, 15, 85, 1, 6, 11, 21, 22, 29, 34, 55, 61, 74, 77",4009211637,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 9trasqdd75zjxz4kzplb64xjp, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, cnexf6pdh1piheuuqzrbb1t61, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, 8qqyo9093i0wtapxq219wjzzd, 67v3pc4c8yomh3hg3w0257oid, 5fnmjp63t7m9fg3y2fcw6z015, 3jkzywsfc2vjq3h1kqdhhl2hh, cozhhgt0jbcuu4wdxf1pwjkyd, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 6o2tffdjtdueojbhahe3w66i2, 51x91drkirjxaclsm8iv6nm96, 71gwdg60saiwwwnnv6is52may",4009315721,197,4030,4009211643,130,8,4009211649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503338045,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-02-03T17:52:25.553Z,2023-02-03T19:05:02Z,4009219639,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 12, 20, 15, 14, 21, 22, 30, 19, 16, 13, 17, 18",4009219647,194,e8zpc22dwlmgkkwoqpgwxsn2t,4009219641,130,8,4009314539,197,16685,4009219635,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 8n9t52eeli3s39r8ujjhjt7je, cixzy9hl7ks4maugc5zc9ievp, e8zpc22dwlmgkkwoqpgwxsn2t, dficbkp6sp4kw7xihaxneozpx, 6w59kdfilru1152bjutstu2fp, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, 2nwthqvbk70e2qo35dgp35979, eqt598wenyzrxdl5y39ejab8q, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, ubuh5wgnl0o5bn3wirdmectm, 4cbhx91p3l265b2cejzd07gbu, a4gfwbm23w6d24ugylqqe20pg, 6vqc5d718gbqobb9o3a40jlqt, 673xny9ozqe978emdytscm5pm, 6ovzd9akutufagsd8kmxmsei2, c6i4usq34m3389rtbqptahrai, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu",4009219643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009219649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009219637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358025,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-03T19:02:26.401Z,2023-02-06T11:25:35Z,4009320073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358019,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-02-03T19:02:26.401Z,2023-02-03T19:02:28Z,4009320033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358037,3,1,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,50,50.5,2023-02-03T19:02:26.457Z,2023-02-06T11:36:40Z,4009320135,140,41.5,4009320137,141,49.3,4009320143,279,S,4009320139,212,9.0,4009320133,56,Back,4017136033,178,,4009320141,213,3.2,,,,723av2redj2ej6livx0g81wwl,A. Verschueren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358067,4,1,1,0,1,89w5c6pw7vn0dxypi61tt0g4k,1,43.2,47.9,2023-02-03T19:02:28.349Z,2023-02-06T11:36:43Z,4017136079,178,,4009320279,140,54.3,4009320281,141,42.8,4009320285,213,6.0,4009320277,56,Center,4009320283,212,12.2,,,,,,,6w59kdfilru1152bjutstu2fp,J. de Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358083,5,1,1,0,4,89w5c6pw7vn0dxypi61tt0g4k,1,55.4,42.2,2023-02-03T19:02:30.717Z,2023-02-06T11:36:54Z,4009320389,213,4.8,4009320383,140,56.0,4017136185,178,,4009320385,141,34.3,4009320381,56,Center,4009320387,212,5.4,,,,,,,723av2redj2ej6livx0g81wwl,A. Verschueren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358087,6,1,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,57.1,30.9,2023-02-03T19:02:32.447Z,2023-02-06T11:37:10Z,4009320417,141,38.8,4009320415,140,72.5,4009320421,213,0.3,4017136239,178,,4009320419,212,17.0,4009320413,56,Center,,,,,,,dficbkp6sp4kw7xihaxneozpx,Y. Namli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358135,7,2,1,0,7,89w5c6pw7vn0dxypi61tt0g4k,1,72.5,38.9,2023-02-03T19:02:34.241Z,2023-02-06T11:37:17Z,4009320717,7,2nwthqvbk70e2qo35dgp35979,4017136485,178,,4009320719,56,Center,4009320725,141,39.8,4009320721,140,89.3,,,,,,,,,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358127,3,55,1,0,7,3ebril33e08ddzob4bhq8awsr,1,23.1,53,2023-02-03T19:02:34.242Z,2023-02-06T11:37:17Z,,,,,,,,,,,,,,,,,,,,,,,,,9fpb7g8ij9dqtuqhnimy5fap5,Rodrigo Guth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
