id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/11/value,qualifier/9/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2461834667,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-09-18T11:38:24.498Z,2022-09-18T13:11:23Z,3789963943,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 5mbkc1nqmirbtfml9aklqr5xx, 1abb1gcw7arw1nkbuxnccjca1, 1ph4g125dfsijfjzjpcvpcmlm, 3ojwbw6v83g9b0u2wssnkzzzd, 21k54i5a6d9bi4f6gplgzxiw9, d4j19ipiaeuetyij08fofgs15, exhxdmdq49xj4dnguq03qnlgq, 9vf02r3geinhsy732oxyrcacq, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 62n3xzxpwe2j317q24rh5wjpx, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, d9wjrxhmo0dlczkg0fpnf3e1h, bx6j2y1hnu63lawn3rdoep1m2, 7c8ms7bw3fva4xeubax4ep8et, 81sfrpdzz1nymxg1b5noo67ai, 6nwn2522yescgrx57wkcxjhwq, 5yt3hbvzpaqv8lrjgt4ahb78q",3789963955,197,500,3789963951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789963949,130,4,3789963947,59,"1, 3, 31, 6, 22, 4, 20, 23, 7, 28, 11, 2, 5, 15, 16, 24, 27, 29, 32, 33, 37",3789963957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789963945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789963953,194,9psfk94nduz6icnuwty5v9all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461838509,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-09-18T11:42:54.624Z,2022-09-18T12:38:21Z,3789983715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789983709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789983707,130,8,3789983711,194,djbw3afgcgkbq22soig0xsjfu,3789983703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789983713,197,16630,3789983701,30,"9pgr69ub37hmr76gwbfw7lhw5, e6xexn53yyoxmdt5naduyx8bu, dux0skggr99ydjz3kn58p3wmh, djbw3afgcgkbq22soig0xsjfu, 5bjdj7hrhuxjbsa8wc1kw42c5, 1vyh50nfaq2kq5pmivpkc1psl, a8cgbwioykhqztfjgztfn7dud, e5xuwwa4qs6zxjd7y52tslih, 4j5hfebi948ggjwexpndrub1m, dy8wa8cciiae72q2ynm80rlcl, a89554tzfy4nfxrycpr2z0xjp, dnw3y6r7bk0aqbta2s7ttivhl, bnar4f48vnx4oaz2lzch48es5, e0cy0gwf04lohf0xjef0af8fe, 504o2odlvra056ouwcgreopgp, 672cwl9zj2d6lce6jda350vvu, 909y6bbt3ht52rsu560ua5gid, 11ceernyer8po8soj8dmygatx, 1957std7hji9ca7bd29y8at7u, 7d8qc47gy4mb9mo67e1ic448a, aboxil79ulfa73pckzsdnwp62, 5vsr5aylntbln91iqj7vh5duy, 4fcjml5xkrwp4jykruzrzub1m",3789983705,59,"1, 2, 15, 10, 18, 33, 7, 8, 9, 11, 26, 5, 6, 14, 17, 20, 21, 22, 23, 24, 29, 30, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877371,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-09-18T12:30:42.662Z,2022-09-18T12:30:42Z,3790193277,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877381,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-09-18T12:30:42.662Z,2022-09-20T19:40:10Z,3790193321,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877405,3,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,50,50,2022-09-18T12:30:42.682Z,2022-09-21T06:21:30Z,3790193445,56,Back,3790193453,213,3.8,3790193455,279,S,3795940817,178,,3790193451,212,17.5,3790193449,141,34.8,3790193447,140,36.5,,,,dy8wa8cciiae72q2ynm80rlcl,J. Dilrosun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877415,4,1,1,0,1,20vymiy7bo8wkyxai3ew494fz,1,36.8,32.8,2022-09-18T12:30:43.891Z,2022-09-21T06:21:35Z,3790193491,56,Back,3790193495,141,42.4,3790193499,213,1.6,3790193497,212,6.5,3790193493,140,36.4,3795940889,178,,,,,,,,e6xexn53yyoxmdt5naduyx8bu,M. Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877473,5,1,1,0,2,20vymiy7bo8wkyxai3ew494fz,1,36.4,42.4,2022-09-18T12:30:44.981Z,2022-09-21T06:21:38Z,3790193827,212,51.3,3790193829,213,5.8,3790193819,155,,3795940925,178,,3790193823,140,80.0,3790193831,1,,3790193825,141,8.2,3790193821,56,Right,djbw3afgcgkbq22soig0xsjfu,O. Kökçü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877523,6,61,1,0,5,20vymiy7bo8wkyxai3ew494fz,0,80,8.2,2022-09-18T12:30:48.574Z,2022-09-21T06:21:52Z,3790194093,56,Right,3795941125,178,,,,,,,,,,,,,,,,,,,,a8cgbwioykhqztfjgztfn7dud,A. Jahanbakhsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877495,3,43,1,0,6,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-09-18T12:30:49.236Z,2022-09-18T12:31:20Z,3790193911,56,Back,3790193913,140,20.5,3790193915,141,94.0,3790196237,144,12,3790193919,213,1.7,3790193917,212,2.5,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461877501,4,5,1,0,8,24fvcruwqrqvqa3aonf8c3zuy,1,20.4,100.2,2022-09-18T12:30:50.688Z,2022-09-21T06:21:55Z,3790194223,233,7,3790193945,56,Back,3790193951,347,,,,,,,,,,,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
