id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2497379313,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-14T16:46:43.228Z,2023-01-14T17:53:06Z,3977936391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978120481,197,13609,3977936377,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 2w7xspkzg7b9ghl20me202ove, ayqy2vql1oumokqly9ahfrnx1, 42cg746sa90jla5x4islj9pwq, 1t7nph4960rjzu7rgi47sf8ix, 7jgtmmk4b2bgn0syidj6ve7kl, 7sd87ylfbtgwgpb70hf68cel1, 8ymqihdfqc7esda7y407lebx1, 33yauarx84sam5u05vgyqxfxl, b8vbhw29ucubzzmgv0nge1omh, b2ibeioms7t9vb3au7tpqys4p, 1hmy5uxiyr8g915tngl9l8twq, 6zzcoo9k4ebqtlux49rbb5fro, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, 86vxgtv8m65pypbngqan36y21, d29ahwtvs7ls75wdtkf7xr8tm, 3uq3lrjyj4mnvq6162b0jyhnt, 7wrulbqqdeecd5vegsbb1905w, 7ug3a0z74dj7qlq4jbtn1kutw",3977936387,130,8,3977936383,59,"12, 2, 5, 6, 3, 31, 7, 8, 9, 10, 11, 14, 18, 19, 22, 23, 25, 27, 28, 34, 45, 54",3977936395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977936393,194,7jgtmmk4b2bgn0syidj6ve7kl,3977936381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497380579,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2023-01-14T16:47:31.445Z,2023-01-14T17:49:28Z,3978120511,197,482,3977943257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977943251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3977943261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977943255,130,8,3977943253,59,"44, 27, 7, 26, 5, 3, 19, 33, 17, 11, 9, 1, 6, 8, 10, 13, 15, 22, 23, 29",3977943249,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, 7m3uhmmzizwmpk64dw750pn11, 1tj9gmnm02s8f12zwzvuwnoph, axgbibg0wdlir6tsrru6rpwph, 60fbyywnjiz6l8n7gmi2mjld5, 7jtag81mvpom3bfgezx8txbdh, dc4n5ylytswddlvd82snkb90q, e4nlf2a8hs9xju5jgxszkyytx, amvonu36at4dg7ksi1ioczi3u, bpvq84v7wwz759mgykvsy3pat, 34258m1cvslz8r6d17nv4b90q, aqjwz3wm0it916o2vb5tz9vxl, aie09n600h7ozeg6zl6anithx, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, ejv587h08dn1hgxhfgib3reqy, 73k8ok0kpb9xb6yhpmfhzir55, 3hpv677ua2y88yx55iujzqpgq",3977943259,194,1tj9gmnm02s8f12zwzvuwnoph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417315,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-14T17:48:11.808Z,2023-01-14T17:48:11Z,3978136209,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417319,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2023-01-14T17:48:11.808Z,2023-01-16T09:51:56Z,3978136223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417337,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,50.1,50.6,2023-01-14T17:48:11.828Z,2023-01-16T11:20:12Z,3981205389,178,,3978136289,213,2.9,3978136283,141,57.3,3978136285,212,17.6,3978136293,279,S,3978136281,140,33.9,3978136279,56,Back,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417361,4,1,1,0,3,3kfktv64h7kg7zryax1wktr5r,0,33.9,55.5,2023-01-14T17:48:15.151Z,2023-01-16T11:20:20Z,3978136439,212,38.8,3978136429,155,,3978136433,140,61.3,3978136431,56,Right,3981205541,178,,3978136445,1,,3978136443,213,5.5,3978136437,141,17.2,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417371,3,1,1,0,6,4vd2t5schmvvufrfib7f2vjdf,0,38.2,82.2,2023-01-14T17:48:18.347Z,2023-01-16T11:20:26Z,3978136511,212,7.7,3978136509,141,72.6,3978136505,56,Back,3981205633,388,,3978136503,3,,3978136513,213,5.3,3978136507,140,42.1,,,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417395,5,1,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,63.1,20,2023-01-14T17:48:21.063Z,2023-01-16T11:20:31Z,3981205731,178,,3978136643,213,0.8,3978136637,140,74.5,3978136639,141,37.9,3978136635,56,Center,3978136641,212,17.1,,,,,,,2w7xspkzg7b9ghl20me202ove,T. Reijnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417401,6,1,1,0,9,3kfktv64h7kg7zryax1wktr5r,0,74.5,37.9,2023-01-14T17:48:21.780Z,2023-01-16T11:20:39Z,3981205863,178,,3978136675,212,13.3,3978136669,56,Center,3978136677,213,1.3,3978136673,141,56.6,3978136671,140,78.2,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417403,4,49,1,0,13,4vd2t5schmvvufrfib7f2vjdf,1,20.7,42.5,2023-01-14T17:48:25.257Z,2023-01-16T11:20:44Z,,,,,,,,,,,,,,,,,,,,,,,,,etzj9ltadjsvkmahib7hor90q,M. van Ewijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
