id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2518547189,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-03-11T17:04:30.731Z,2023-03-11T22:14:32Z,4089438221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089438209,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 5fnmjp63t7m9fg3y2fcw6z015, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 71gwdg60saiwwwnnv6is52may, cnexf6pdh1piheuuqzrbb1t61, hjb0mn4fgmfiimwn5odvl8fd, 9trasqdd75zjxz4kzplb64xjp, 8qqyo9093i0wtapxq219wjzzd, 67v3pc4c8yomh3hg3w0257oid, 51b7kbz09togoaueykwbm385, 1kbmdrn8cmlf591w70v9bpo0l, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 3fzqjtehxr65c2xfyytws30q2, 6u7wykb439eyogtyde5tw1rmc, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 6o2tffdjtdueojbhahe3w66i2, 51x91drkirjxaclsm8iv6nm96",4089438219,194,dp0q4f4gbj2buhcu1lb5dzxed,4089438217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089583481,197,4030,4089438215,130,8,4089438211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089438213,59,"31, 12, 5, 6, 14, 33, 77, 8, 29, 19, 85, 1, 2, 4, 11, 18, 22, 28, 34, 55, 61, 74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518548115,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-03-11T17:05:51.065Z,2023-03-11T17:46:59Z,4089443491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089443479,30,"bzanwdo4ihqd6d7vr06bd3845, 2teefpvijsbzag4yi7fm1pyol, dtcvzfse83ztj96kiizwp6jqi, dc119ejc7lls2rd3ywigl2smi, 69cvlhfo7ulmz4o5ztlj1wlm2, lduqoe45t2fnbn9s9rbvlnf9, c1yctqdku2vzho2azsgcy5dcl, ahwtdhrerarmljk9bh0tcpk6i, 8fuul8znu2hzdqkxsotqt6u0a, ad9kukqx4xulbvelacgwgqvah, dxmulnxbs11kpi1goq5hl9cve, 3hu6e9wa0nt4ekubxye6l4pas, dc2wi76ipwc5qbq4eggqd1hp1, 36veg0wk1z3om89daf0clbl5h, e33libhll66jj5ksl319uh17u, 6p4fs5rivwt0e45twlsf6ajth, 5g0q7azk54eryl8vcgyb2oj4l, bner5siqnwn1fqusfrgujt0fe, 8ijea6poqnpomi075fowev7kk, 7qn6sfi7qryn4o1tu6lhzxslw",4089443485,130,7,4089443483,59,"1, 12, 5, 8, 2, 3, 7, 14, 27, 18, 17, 15, 4, 9, 16, 20, 22, 38, 41, 42",4089443481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089443489,194,lduqoe45t2fnbn9s9rbvlnf9,4089588063,197,538,4089443487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575241,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-03-11T17:46:06.227Z,2023-03-14T01:55:20Z,4089584477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575253,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-03-11T17:46:06.227Z,2023-03-11T17:46:07Z,4089584525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575293,3,1,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,50,50,2023-03-11T17:46:06.376Z,2023-03-14T04:45:57Z,4089584729,56,Back,4089584739,279,S,4089584737,213,3.5,4097190007,178,,4089584735,212,17.0,4089584733,141,40.4,4089584731,140,35.0,,,,c1yctqdku2vzho2azsgcy5dcl,V. Černý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575303,4,1,1,0,3,4tic29sox7m39fy1ztgv0jsiq,0,35,40.4,2023-03-11T17:46:09.941Z,2023-03-14T04:46:03Z,4089584773,141,86.5,4089584771,140,63.7,4089584775,212,43.5,4089584777,213,0.8,4089584779,1,,4097190063,178,,4089584769,56,Left,4089584767,155,,69cvlhfo7ulmz4o5ztlj1wlm2,M. Hilgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575335,3,1,1,0,6,3ebril33e08ddzob4bhq8awsr,1,35.2,10.3,2023-03-11T17:46:12.424Z,2023-03-14T04:46:09Z,4089584925,56,Back,4089584923,3,,4097190121,388,,4089584929,141,26.3,4089584927,140,44.8,4089584933,213,0.8,4089584931,212,14.8,,,,71gwdg60saiwwwnnv6is52may,T. Noslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575353,5,50,1,0,8,3ebril33e08ddzob4bhq8awsr,1,45.9,32.8,2023-03-11T17:46:14.421Z,2023-03-14T04:46:27Z,4089584961,286,,4089585051,233,5,4089584959,56,Back,,,,,,,,,,,,,,,,hjb0mn4fgmfiimwn5odvl8fd,T. Buitink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575337,5,7,1,0,8,4tic29sox7m39fy1ztgv0jsiq,0,54.1,67.2,2023-03-11T17:46:14.606Z,2023-03-14T04:46:33Z,4089584941,285,,4097190533,178,,4090282011,383,,4089585013,233,5,4089584937,56,Center,,,,,,,,,,dc119ejc7lls2rd3ywigl2smi,R. Zerrouki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518575345,4,49,1,0,9,3ebril33e08ddzob4bhq8awsr,1,44.8,26.5,2023-03-11T17:46:15.364Z,2023-03-14T04:46:53Z,,,,,,,,,,,,,,,,,,,,,,,,,9trasqdd75zjxz4kzplb64xjp,A. Ferati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
