id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value,assist,qualifier/19/value
2476483005,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-23T16:46:14.682Z,2022-10-23T17:57:56Z,3867748089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867748083,130,4,3867748087,194,e3akocgpppdty3ayxty1gf6xh,3867748085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3868028291,197,2840,3867748081,59,"1, 6, 5, 10, 31, 4, 33, 8, 21, 7, 34, 3, 9, 11, 15, 16, 20, 22, 25, 28, 36, 37",3867748077,30,"7dg8woqlx67ch0ji3ujhgb52i, dbkr1w2xlwnyssid1tv0jlujt, a02jtmvlc1tlstvt96pa1hisq, 3kbhgmnf6bhfgut0jxf4m2sfe, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8oetnmi8kejwwy37rhlelw2ne, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 1sb4655mgzrdohlltyk9fqlzp, 10ijtddqmzbhx3qtlhbyn4rca, 8ozlo6qrdavr86guhclwvh84q, c5jk0pvcvqddy0xiqv6qkesph, 3dc82sro077by40u3qdmhw0r9, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, 792zq4joba1qgt0lusvrjantg, ca8qw8jztjxwxuc2foa6dfckq, drbhndjayqwxzri7gfbd4zt3o, a5rk4aefn3gzqwspp4tpqq49g",3867748079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476485369,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-10-23T16:48:23.170Z,2022-10-23T17:57:52Z,3867760711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867760705,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867760713,194,9hvw1v4douz0kst032a9l853p,3867760707,59,"44, 27, 7, 5, 6, 4, 33, 10, 19, 17, 9, 1, 3, 8, 13, 15, 22, 23, 26, 29",3867760703,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, 1tj9gmnm02s8f12zwzvuwnoph, 34258m1cvslz8r6d17nv4b90q, 9hvw1v4douz0kst032a9l853p, 7jtag81mvpom3bfgezx8txbdh, aie09n600h7ozeg6zl6anithx, 60fbyywnjiz6l8n7gmi2mjld5, dc4n5ylytswddlvd82snkb90q, amvonu36at4dg7ksi1ioczi3u, bpvq84v7wwz759mgykvsy3pat, axgbibg0wdlir6tsrru6rpwph, aqjwz3wm0it916o2vb5tz9vxl, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, ejv587h08dn1hgxhfgib3reqy, 73k8ok0kpb9xb6yhpmfhzir55, 7m3uhmmzizwmpk64dw750pn11, 3hpv677ua2y88yx55iujzqpgq",3867760709,130,18,3867760715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3868028143,197,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535541,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-23T18:00:12.560Z,2022-10-26T11:50:15Z,3868034467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535553,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-10-23T18:00:12.560Z,2022-10-23T18:00:14Z,3868034523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535571,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50,50,2022-10-23T18:00:12.580Z,2022-10-26T12:33:18Z,3868034611,140,37.2,3868034619,279,S,3873699341,178,,3868034617,213,3.1,3868034613,141,50.4,3868034615,212,13.4,3868034609,56,Back,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535585,4,1,1,0,1,6g9qrm72224jrk6tkxxxi8a9n,1,37.2,50.4,2022-10-23T18:00:14.307Z,2022-10-26T12:33:18Z,3868034713,141,93.0,3868034717,213,1.6,3868034709,56,Back,3868034715,212,29.0,3873699345,178,,3868034711,140,37.1,,,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535601,5,1,1,0,4,6g9qrm72224jrk6tkxxxi8a9n,1,37.7,92.3,2022-10-23T18:00:17.449Z,2022-10-26T12:33:18Z,3868034805,140,30.8,3868034813,212,14.8,3868034817,213,4.2,3868034809,141,73.3,3868034801,56,Back,3873699349,178,,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535623,6,1,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,1,30.8,73.3,2022-10-23T18:00:19.103Z,2022-10-26T12:33:19Z,3868034919,56,Back,3873699353,178,,3868034925,212,16.0,3868034923,141,95.1,3868034927,213,1.2,3868034921,140,36.6,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535645,7,1,1,0,9,6g9qrm72224jrk6tkxxxi8a9n,1,35.8,92.9,2022-10-23T18:00:22.029Z,2022-10-26T12:33:19Z,3868035069,56,Back,3868035075,212,15.6,3868035077,213,3.8,3868035073,141,79.0,3873699357,178,,3868035071,140,24.0,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476535671,8,1,1,0,11,6g9qrm72224jrk6tkxxxi8a9n,1,23,76.4,2022-10-23T18:00:24.514Z,2022-10-26T12:33:19Z,3868035241,141,61.5,3873699365,178,,3868035237,56,Back,3868035239,140,5.7,3868035243,212,20.8,3868035245,213,3.7,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
