id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2458558403,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-09-11T09:27:34.980Z,2022-09-11T10:12:01Z,3772601197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772601187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772601193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772601191,130,2,3772601195,194,1s7vp9ovsa1jo7tu7nisykn9x,3772601185,30,"9q90ls3k1i2739wd6a20fku6t, 6gabdz53gxhyp8dv6x5the4t1, 6lyedmu2vuf7jig3jmhz9b4ve, ely6vpyueden4b6ozfmspwgk5, 1s7vp9ovsa1jo7tu7nisykn9x, 8p47d0e54hgl7d86vur1m5nmx, 4octqavtgpv5u1rnpss898nah, eu6pfkiah7otafyryg6ll7y09, 1p0xp2onnys7jlru55vfgf1pm, 395y7yj6o1xwr6uaxs4sjnjdh, 3mp92d5s002hi523kl4zmgrft, b33sm106xc7g3h4bcqtawja7e, 4ooliltsht8mvelpds3v4bpat, 6mjm5cwe46jhi3wwpf1icf65l, 28o7vv0jud22hmg4h649yozqh, c1krps0yssh477m8umrruiqjt, 6anvl82jyio52wo87cbxdp4np, df5rxx2r305pdtf28967fuxyi, 6my743on19jmzmlq0crx3mq51, 4rp5snknt88bf4lws5t0o9gph, 9wo8twcbs1jnqzdy0c6y8adey, 790v7fu7f2s40e160mlrb6dt6, 1s6yn52hlqtmmz4lerscf457u",3772662143,197,540,3772601189,59,"1, 5, 15, 18, 2, 27, 29, 8, 9, 28, 26, 6, 30, 7, 10, 16, 17, 19, 21, 22, 25, 32, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458559815,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-09-11T09:37:03.228Z,2022-09-11T10:14:16Z,3772665949,197,16860,3772611267,130,11,3772611263,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772611273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772611271,194,4idru0svqcqjpi03b4jhqyd3p,3772611265,59,"16, 2, 32, 13, 20, 3, 21, 8, 14, 17, 10, 5, 9, 11, 18, 22, 24, 27, 29, 33, 42",3772611261,30,"84yhv0iilunn0vllz1r5fe7l5, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, eqjelc731e1xrp95bpysx0pka, d8cxurdt9g5gezqlfwae7ooru, cgsmk5437f466uoqvol7devze, 4idru0svqcqjpi03b4jhqyd3p, 4ecptuxoyx485mmhrubuscgyd, 9bzwr8qhl6547tjrsjsity4x6, dvof4p3jx1gi6i9uelbmudl62, 4212luiyivgvje1vm1ojieicq, e65zqndnze1xzef4qlkhd1v4l, b2uznyb9b8fxsy57450mbmwru, cty7nsrs5yn785m330c2gbwq2, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, 1txv3b9y7h3du9d5bbblg0vai, hjb0mn4fgmfiimwn5odvl8fd, 3hhca66jtxt3c1iw10nfmhtnu, czh4r9efdbw4fvdux0enl127e",3772611269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572221,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-09-11T10:16:24.870Z,2022-09-11T12:45:03Z,3772669939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572225,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-09-11T10:16:24.870Z,2022-09-11T10:16:27Z,3772669945,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572257,3,1,1,0,0,ccpscwdcm65czscrun048ecn5,1,50.5,50.3,2022-09-11T10:16:25Z,2022-09-13T20:51:59Z,3772670055,141,45.4,3777222153,178,,3772670051,56,Back,3772670053,140,29.7,3772670057,212,22.1,3772670061,279,S,3772670059,213,3.3,,,,3mp92d5s002hi523kl4zmgrft,O. Boussaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572307,4,1,1,0,3,ccpscwdcm65czscrun048ecn5,0,29.7,44.5,2022-09-11T10:16:27.958Z,2022-09-13T09:46:36Z,3772670259,56,Left,3772670263,141,92.0,3772670267,213,0.6,3772670265,212,56.1,3777222215,178,,3772670261,140,73.4,3772670257,155,,3772670269,1,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572317,3,49,1,0,8,6hsriqr3ybvyg94w2k19oal50,1,23,14.1,2022-09-11T10:16:33.854Z,2022-09-13T09:46:44Z,,,,,,,,,,,,,,,,,,,,,,,,,cgsmk5437f466uoqvol7devze,R. Flamingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572363,4,1,1,0,10,6hsriqr3ybvyg94w2k19oal50,0,25.1,2,2022-09-11T10:16:35.705Z,2022-09-13T09:46:52Z,3772670461,213,0.0,3777222353,178,,3772670459,212,36.9,3772670463,1,,3772670455,140,60.2,3772670451,157,,3772670453,56,Right,3772670457,141,3.1,cgsmk5437f466uoqvol7devze,R. Flamingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572405,5,1,1,0,14,ccpscwdcm65czscrun048ecn5,1,34.8,94.8,2022-09-11T10:16:38.926Z,2022-09-13T09:47:07Z,3772670657,213,0.1,3772670653,141,97.8,3772670655,212,24.8,3772670651,140,58.3,3772670649,56,Left,3777222471,178,,,,,,,,8p47d0e54hgl7d86vur1m5nmx,M. Sagnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572411,6,1,1,0,15,ccpscwdcm65czscrun048ecn5,0,58.3,97.8,2022-09-11T10:16:40.320Z,2022-09-13T09:47:16Z,3772670681,213,5.7,3772670679,212,12.4,3772670669,3,,3777222549,178,,3772670677,141,87.5,3772670673,56,Left,3772670675,140,68.0,3772670671,168,,6lyedmu2vuf7jig3jmhz9b4ve,D. van der Kust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572425,5,1,1,0,19,6hsriqr3ybvyg94w2k19oal50,1,23.8,32.5,2022-09-11T10:16:43.964Z,2022-09-13T11:33:12Z,3772670745,56,Back,3777222739,178,,3772670743,3,,3772670753,212,12.5,3772670751,141,23.1,3772670749,140,34.0,3772670755,213,5.7,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572427,6,1,1,0,19,6hsriqr3ybvyg94w2k19oal50,0,34,23.1,2022-09-11T10:16:44.775Z,2022-09-13T11:32:53Z,3772670769,212,28.6,3772670761,157,,3777222957,178,,3772670771,213,0.1,3772670765,140,61.2,3772670767,141,25.9,3772670773,1,,3772670763,56,Center,4ecptuxoyx485mmhrubuscgyd,S. Tronstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572435,7,1,1,0,22,ccpscwdcm65czscrun048ecn5,0,54,83.8,2022-09-11T10:16:47.058Z,2022-09-13T11:33:28Z,3772670789,56,Center,3772670791,140,65.1,3772670795,212,17.2,3772670797,213,5.5,3772670787,3,,3777223071,178,,3772670793,141,65.2,,,,6lyedmu2vuf7jig3jmhz9b4ve,D. van der Kust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572459,7,1,1,0,24,6hsriqr3ybvyg94w2k19oal50,0,31.7,57.9,2022-09-11T10:16:49.080Z,2022-09-13T11:33:40Z,3777223133,388,,3772670889,141,39.4,3772670893,213,5.8,3772670883,3,,3772670887,140,54.9,3772670885,56,Center,3772670891,212,27.4,,,,eqjelc731e1xrp95bpysx0pka,E. Cornelisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572475,8,49,1,0,25,ccpscwdcm65czscrun048ecn5,1,48.4,54.8,2022-09-11T10:16:50.494Z,2022-09-13T11:35:03Z,,,,,,,,,,,,,,,,,,,,,,,,,eu6pfkiah7otafyryg6ll7y09,L. Brouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572487,9,1,1,0,25,ccpscwdcm65czscrun048ecn5,1,48.4,54.8,2022-09-11T10:16:50.597Z,2022-09-13T11:34:57Z,3777224721,178,,3772670981,56,Back,3772670983,140,33.8,3772670993,212,20.1,3772670997,213,3.8,3772670987,141,35.7,,,,,,,eu6pfkiah7otafyryg6ll7y09,L. Brouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458572525,10,1,1,0,28,ccpscwdcm65czscrun048ecn5,1,33.8,35.7,2022-09-11T10:16:53.367Z,2022-09-13T11:34:50Z,3777224851,178,,3772671117,213,5.1,3772671113,141,8.5,3772671109,56,Back,3772671111,140,40.7,3772671115,212,19.9,,,,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
