id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,assist,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/18/value,keyPass,qualifier/11/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2476129435,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-23T11:26:44.767Z,2022-10-23T12:38:07Z,3865920069,130,10,3865920075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865920071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866204589,197,493,3865920063,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, 6dd248q0adq6su677bw2kk2c5, 570htztcvfsu947xw6fvtzmc5, bqqq27wy9bk31ssgapksci4t1, 6rfm7p5go1lgv6ccdjqgpallh, 9p6nlczeycd0ai4dahjxnf8ph, 55njsqpc4izy2wogf188whtrd, 5qvy65ckiigykkowpyco05zv9, 8inyievyp1az6q3dtlkpynf56, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 913pg8qqcjp99h5fjybbenob9, 61a5bh5xw947nv4mxx62gqaqx, brij3tiox17hyfm63ulhg5sr9, cudl1cjc8kxshfbhatms7aooa, 6lxkawhg9z2jyh7u8d6hp3g15, 76n4eg1xu5qvf9bkwy4p8jsut, 4fiks6jvfxzbs9k0s050vmfbo, 6h0fuh0aamz86pf25qebm0fvu, a76yp8gkkg6frtuhh3d6l46i",3865920065,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865920067,59,"22, 28, 16, 24, 4, 34, 14, 20, 9, 10, 11, 1, 2, 3, 5, 6, 7, 8, 19, 21, 31, 71",3865920073,194,9p6nlczeycd0ai4dahjxnf8ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476131941,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-10-23T11:31:15.091Z,2022-10-23T12:29:47Z,3865932097,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 32pfghvfogjnpbgsj5mk2jhpm, 9d4lofwg9ooaoldw2vpt4h36y, 90vny1388bdhx8103lp9njac4, 7nfr8xuo637qma7ovxx4r9fmy, 7lpwkpwfw656re3pymntslv55, dtglxu78mwbkvog0jnusmdc5x, hxqybxg5578sgx0gx5qb834l, 5dbx86ca2t7dae8b3t69atii1, 7dkhv2l8y6jq20l1dc2ye17je, 2f5hdor2uv8hfxnieyvivsesp, 2ekx0fvuf0dsat062oj430d05, 8jldtmgqls9vc5ks6zxw30iui, 4mroygq2ruxkml5c5j4awwted, 8qrsqp9qqvb0jdynpgsnifai1, 8j8encc4aqkh07ydce6hiaokp, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5n65xhwbd6dm3uynl4h7k920a, bx2xcfe18epftsy5lrdf1fevo, aq8emkcjejbav0fys17iqv2ll, 94b7i139jyk6hs6ioqlztg1jp",3866209735,197,11977,3865932109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865932105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865932101,59,"1, 2, 4, 8, 25, 6, 11, 10, 9, 18, 23, 40, 3, 14, 15, 16, 17, 19, 20, 21, 24, 26, 27",3865932107,194,ciguyr553yqapqfudim9af46h,3865932099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865932103,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190603,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-23T12:32:19.935Z,2022-10-26T12:28:11Z,3866221971,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190591,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-10-23T12:32:19.935Z,2022-10-23T12:32:20Z,3866221943,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190643,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,50,50.1,2022-10-23T12:32:19.972Z,2022-10-26T05:13:08Z,3866222155,56,Back,3866222157,140,31.7,3872976939,178,,3866222163,213,2.8,3866222159,141,61.2,3866222165,279,S,3866222161,212,20.6,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190695,4,1,1,0,2,b79uipsy57y1jqpy07h4i5ovk,0,31.8,59,2022-10-23T12:32:22.566Z,2022-10-26T05:13:12Z,3866222457,56,Center,3872976983,178,,3866222453,155,,3866222465,213,5.8,3866222461,141,22.1,3866222467,1,,3866222459,140,77.9,3866222463,212,54.5,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190741,3,1,1,0,5,8iawijq7s9s6d85mjz8wdslki,1,23.2,77.3,2022-10-23T12:32:25.408Z,2022-10-26T05:13:16Z,3872977035,388,,3866222709,213,5.6,3866222701,140,28.9,3866222705,212,7.9,3866222695,3,,3866222697,56,Back,3866222703,141,69.7,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476190765,4,1,1,0,7,8iawijq7s9s6d85mjz8wdslki,1,28.1,65.5,2022-10-23T12:32:27.275Z,2022-10-26T05:13:27Z,3866222855,213,1.0,3866222851,141,74.6,3866222849,140,32.2,3872977151,178,,3866222845,56,Back,3866222853,212,7.5,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477469911,1335,67,1,0,7,8iawijq7s9s6d85mjz8wdslki,1,31.8,70.8,2022-10-23T12:32:27.851Z,2022-10-26T15:30:47Z,3873056257,233,1046,,,,,,,,,,,,,,,,,,,,,,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477469909,1046,67,1,0,7,b79uipsy57y1jqpy07h4i5ovk,0,68.2,29.2,2022-10-23T12:32:27.852Z,2022-10-26T06:38:57Z,3873056273,233,1335,,,,,,,,,,,,,,,,,,,,,,5dbx86ca2t7dae8b3t69atii1,W. Willumsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
