id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,assist,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2479367053,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-30T12:19:26.165Z,2022-10-30T13:38:47Z,3883117157,194,9p6nlczeycd0ai4dahjxnf8ph,3883117147,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, 6dd248q0adq6su677bw2kk2c5, 9p6nlczeycd0ai4dahjxnf8ph, 913pg8qqcjp99h5fjybbenob9, 570htztcvfsu947xw6fvtzmc5, cudl1cjc8kxshfbhatms7aooa, a76yp8gkkg6frtuhh3d6l46i, 6rfm7p5go1lgv6ccdjqgpallh, 8inyievyp1az6q3dtlkpynf56, enimk3ibb10vk3f8vrmmhq7oq, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 61a5bh5xw947nv4mxx62gqaqx, brij3tiox17hyfm63ulhg5sr9, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 5qvy65ckiigykkowpyco05zv9, 76n4eg1xu5qvf9bkwy4p8jsut, 4fiks6jvfxzbs9k0s050vmfbo, 6h0fuh0aamz86pf25qebm0fvu, bqqq27wy9bk31ssgapksci4t1",3883117159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883117155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883117149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883419417,197,493,3883117153,130,8,3883117151,59,"22, 28, 24, 20, 3, 4, 7, 71, 14, 11, 16, 1, 2, 5, 6, 8, 9, 10, 19, 21, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479382365,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-10-30T12:38:12.136Z,2022-10-30T13:26:53Z,3883197237,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 7c8ms7bw3fva4xeubax4ep8et, 9uuk73i8obc7ji0dnan352nkl, 62n3xzxpwe2j317q24rh5wjpx, 3ojwbw6v83g9b0u2wssnkzzzd, c8j50o9oqu2okdpjsr3nvnhsl, d4j19ipiaeuetyij08fofgs15, 4drquvq035kmr2smvzph82bx1, exhxdmdq49xj4dnguq03qnlgq, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 1abb1gcw7arw1nkbuxnccjca1, 98fjpfhrww2qdifsi8viybaol, e3il1t1s5lrn4g8t85fcm40oa, d5v47kueisvcjjz4f69m83sut, 21k54i5a6d9bi4f6gplgzxiw9, 1ph4g125dfsijfjzjpcvpcmlm, bx6j2y1hnu63lawn3rdoep1m2, cm78w42nflwgvshpnok680mlm, 5yt3hbvzpaqv8lrjgt4ahb78q, 4u12cln8rmtkwlu5q36ypjl2i",3883197245,59,"1, 3, 29, 15, 5, 4, 21, 23, 9, 7, 11, 2, 6, 8, 10, 16, 20, 22, 27, 35, 37, 61",3883197249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883197253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883197251,194,4drquvq035kmr2smvzph82bx1,3883197243,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883416617,197,500,3883197247,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429511,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-30T13:31:38.110Z,2022-10-30T13:31:39Z,3883433591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429499,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-10-30T13:31:38.110Z,2022-11-01T11:07:02Z,3883433549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429543,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,50,2022-10-30T13:31:38.158Z,2022-11-01T11:12:06Z,3883433771,213,2.7,3887762809,178,,3883433773,279,S,3883433767,141,59.6,3883433763,56,Back,3883433769,212,15.2,3883433765,140,36.8,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479488169,512,61,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,37,58.4,2022-10-30T13:31:39.056Z,2022-11-01T11:12:07Z,3887762813,178,,3883739393,56,Back,,,,,,,,,,,,,,,,,,,d4j19ipiaeuetyij08fofgs15,J. Veerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429589,4,1,1,0,2,24fvcruwqrqvqa3aonf8c3zuy,0,36.8,59.6,2022-10-30T13:31:40.683Z,2022-11-01T11:12:07Z,3883434027,212,48.3,3887762819,178,,3883434019,155,,3883434021,56,Center,3883434023,140,78.2,3883434031,1,,3883434025,141,28.6,3883434029,213,5.8,3ojwbw6v83g9b0u2wssnkzzzd,A. Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429603,3,44,1,0,5,8iawijq7s9s6d85mjz8wdslki,1,21.5,74.4,2022-10-30T13:31:43.884Z,2022-11-01T12:36:26Z,3883434119,56,Back,3883434151,233,5,3883434121,285,,,,,,,,,,,,,,,,,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429605,5,44,1,0,5,24fvcruwqrqvqa3aonf8c3zuy,0,78.5,25.6,2022-10-30T13:31:43.885Z,2022-11-01T11:12:08Z,3883434127,56,Center,3883434129,286,,3883434159,233,3,,,,,,,,,,,,,,,,4drquvq035kmr2smvzph82bx1,L. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479429639,4,1,1,0,5,8iawijq7s9s6d85mjz8wdslki,0,21.2,77.4,2022-10-30T13:31:43.916Z,2022-11-01T12:36:27Z,3883434283,141,95.3,3887762829,388,,3883434281,140,33.3,3883434285,212,17.6,3883434277,3,,3883434287,213,0.8,3883434279,56,Back,,,,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
