id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2499627285,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-01-22T12:37:45.749Z,2023-01-22T13:30:52Z,3989799535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989799543,194,djbw3afgcgkbq22soig0xsjfu,3989799537,59,"1, 2, 19, 10, 4, 33, 7, 20, 9, 17, 14, 6, 8, 11, 15, 21, 22, 23, 25, 26, 29, 30",3989799539,130,8,3989799533,30,"9pgr69ub37hmr76gwbfw7lhw5, e6xexn53yyoxmdt5naduyx8bu, 4fcjml5xkrwp4jykruzrzub1m, djbw3afgcgkbq22soig0xsjfu, 4yyekuopwb7otz18rqfgwjht5, 1vyh50nfaq2kq5pmivpkc1psl, a8cgbwioykhqztfjgztfn7dud, 672cwl9zj2d6lce6jda350vvu, 4j5hfebi948ggjwexpndrub1m, 504o2odlvra056ouwcgreopgp, e0cy0gwf04lohf0xjef0af8fe, bnar4f48vnx4oaz2lzch48es5, e5xuwwa4qs6zxjd7y52tslih, dy8wa8cciiae72q2ynm80rlcl, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 11ceernyer8po8soj8dmygatx, 1957std7hji9ca7bd29y8at7u, 1qjf9el1a3ct17cb9epxz8xgq, a89554tzfy4nfxrycpr2z0xjp, aboxil79ulfa73pckzsdnwp62, 5vsr5aylntbln91iqj7vh5duy",3989799545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989799541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989905449,197,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499627747,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-22T12:38:51.827Z,2023-01-22T13:37:46Z,3989801893,130,4,3989801899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989905269,197,16373,3989801887,30,"1lgrnaje6y7un5dzzll84p91, 29m8py8czo6w0zf2arwolirjd, 4jqgl7x5ewke1u0sy2cbkqfhl, baakmd4ndnulbl9npvmq90mvp, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 35qg0rrwtl00pycx468s62m3u, 7joybllup4h9oe6zfhcepjy6t, p7vw4thx5wzo49h6hfabcq5m, 2x44f29a52v8kpkkjsuiiywdm, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, dafbvyorudvujxw7zswicykmh, 6hrp4zuxh40i3tccmk5s0j5xx, 9c2i7ddl2uh7kuhwq62klkyui, 6w6ewzxircqxk6dsrs1rvc8ru, 7w5ivtmbqzi4hfte330r1a505, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 80i3boeh7f1ghu4ka7r66izje, a7vlgirln231n3dqjhb72o0es, bgydmtsi0ngn9k56apo29v0no, egcs7b6ixb62ep08t7jznf9ih",3989801889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989801891,59,"12, 19, 3, 6, 4, 2, 8, 23, 20, 35, 10, 1, 5, 7, 9, 18, 22, 26, 28, 37, 43, 57, 58",3989801897,194,6m2pk6odyb3atayt6u8cifahh,3989801895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651009,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-01-22T13:34:25.444Z,2023-01-24T11:08:02Z,3989922059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499650997,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-22T13:34:25.444Z,2023-01-22T13:34:26Z,3989922001,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651017,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,49.9,50,2023-01-22T13:34:25.483Z,2023-01-24T11:41:06Z,3989922117,213,3.4,3992954951,178,,3989922115,212,16.9,3989922109,56,Back,3989922111,140,34.2,3989922119,279,S,3989922113,141,44.8,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651053,4,1,1,0,2,d0zdg647gvgc95xdtk1vpbkys,0,34.2,44.8,2023-01-22T13:34:27.447Z,2023-01-24T11:42:00Z,3989922301,1,,3989922291,56,Right,3989922289,155,,3989922295,141,3.7,3989922297,212,44.4,3989922299,213,5.6,3989922293,140,67.1,3992955219,178,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651087,3,1,1,0,4,20vymiy7bo8wkyxai3ew494fz,0,27.2,92.3,2023-01-22T13:34:29.903Z,2023-01-24T11:42:08Z,3989922483,212,17.4,3989922479,140,43.6,3992955273,388,,3989922477,56,Back,3989922485,213,6.1,3989922475,3,,3989922481,141,88.6,,,,4fcjml5xkrwp4jykruzrzub1m,Q. Hartman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651099,5,44,1,0,6,d0zdg647gvgc95xdtk1vpbkys,1,56.2,8.4,2023-01-22T13:34:32.071Z,2023-01-24T14:39:55Z,3989922521,286,,3989922571,233,4,3989922519,56,Right,,,,,,,,,,,,,,,,29m8py8czo6w0zf2arwolirjd,J. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651091,4,44,1,0,6,20vymiy7bo8wkyxai3ew494fz,0,43.8,91.6,2023-01-22T13:34:32.072Z,2023-01-24T11:42:15Z,3989922493,285,,3989922491,56,Back,3989922589,233,5,,,,,,,,,,,,,,,,504o2odlvra056ouwcgreopgp,S. Szymański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499651111,6,1,1,0,6,d0zdg647gvgc95xdtk1vpbkys,0,53,9.3,2023-01-22T13:34:32.102Z,2023-01-24T14:39:55Z,3989922605,3,,3989922613,140,62.3,3989922617,141,14.9,3989922627,213,0.4,3989922621,212,10.5,3992955351,388,,3989922609,56,Right,,,,29m8py8czo6w0zf2arwolirjd,J. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
