id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2530353923,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-04-08T15:35:43.129Z,2023-04-08T17:58:11Z,4172830705,30,"84yhv0iilunn0vllz1r5fe7l5, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, 98fjpfhrww2qdifsi8viybaol, cgsmk5437f466uoqvol7devze, cb8pu5lenbczaooavhaxnzp3p, czh4r9efdbw4fvdux0enl127e, d8cxurdt9g5gezqlfwae7ooru, b2uznyb9b8fxsy57450mbmwru, 4idru0svqcqjpi03b4jhqyd3p, dvof4p3jx1gi6i9uelbmudl62, 2ez3q7gik3lm5kp1cunfol52h, 4ecptuxoyx485mmhrubuscgyd, eqjelc731e1xrp95bpysx0pka, 9bzwr8qhl6547tjrsjsity4x6, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, dotvgi9g50m2axfw4isamd1ck, 1txv3b9y7h3du9d5bbblg0vai, 3hhca66jtxt3c1iw10nfmhtnu, cynuwabb849am6ml1b70yr55h, 45vh3c99keqayr9hj0r6x0ei2",4172830715,194,4idru0svqcqjpi03b4jhqyd3p,4172830711,130,8,4172830717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172830707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172830709,59,"16, 2, 32, 15, 3, 29, 42, 20, 9, 21, 17, 6, 8, 13, 14, 18, 22, 24, 26, 27, 33, 35, 53",4173079927,197,15620,4172830713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530356989,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-04-08T15:38:28.897Z,2023-04-08T16:47:57Z,4172846723,194,ciguyr553yqapqfudim9af46h,4173085151,197,18063,4172846719,130,8,4172846709,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 32pfghvfogjnpbgsj5mk2jhpm, 5n65xhwbd6dm3uynl4h7k920a, 90vny1388bdhx8103lp9njac4, 7nfr8xuo637qma7ovxx4r9fmy, 7lpwkpwfw656re3pymntslv55, dtglxu78mwbkvog0jnusmdc5x, hxqybxg5578sgx0gx5qb834l, 5dbx86ca2t7dae8b3t69atii1, 7sa0cx70w7dc0ahu5sm0ziz11, 6ydojoa3581jgszpjqj7i8zpx, 9d4lofwg9ooaoldw2vpt4h36y, 40nypdfe5lbtqi0y1t3rmfqj8, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, 94b7i139jyk6hs6ioqlztg1jp, a3qbyj57485msu70fggsk4kr8, 2f5hdor2uv8hfxnieyvivsesp",4172846713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172846717,59,"1, 2, 4, 21, 25, 6, 11, 10, 9, 18, 7, 5, 8, 17, 19, 20, 22, 27, 28, 40",4172846721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172846725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404729,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-04-08T16:46:45.177Z,2023-04-08T23:06:38Z,4173098011,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404731,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-04-08T16:46:45.177Z,2023-04-08T16:46:48Z,4173098025,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404759,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50.2,49.9,2023-04-08T16:46:45.277Z,2023-04-08T16:47:08Z,4173098147,56,Back,4173098153,141,46.6,4173098159,279,S,4173098151,140,47.1,4173098157,213,3.7,4173098155,212,4.0,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404787,4,1,1,0,2,6hsriqr3ybvyg94w2k19oal50,1,47.1,46.6,2023-04-08T16:46:47.348Z,2023-04-08T16:46:50Z,4173098277,141,48.1,4173098281,213,3.1,4173098275,140,31.6,4173098273,56,Back,4173098279,212,16.3,,,,,,,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404841,5,1,1,0,4,6hsriqr3ybvyg94w2k19oal50,1,30.9,48.4,2023-04-08T16:46:50.164Z,2023-04-08T17:40:05Z,4173098555,140,30.8,4173098557,141,67.3,4173098561,213,1.6,4173098553,56,Back,4173098559,212,12.9,,,,,,,,,,cgsmk5437f466uoqvol7devze,R. Flamingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404869,6,2,1,0,9,6hsriqr3ybvyg94w2k19oal50,1,35.9,82.1,2023-04-08T16:46:54.653Z,2023-04-08T16:47:04Z,4173098707,140,70.9,4173098705,56,Center,4173098715,1,,4173098709,141,52.7,4173098965,7,b2uznyb9b8fxsy57450mbmwru,,,,,,,,,,cb8pu5lenbczaooavhaxnzp3p,N. Isimat-Mirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404873,3,55,1,0,9,b79uipsy57y1jqpy07h4i5ovk,1,31.5,55.5,2023-04-08T16:46:54.654Z,2023-04-08T17:45:35Z,4173098943,189,,,,,,,,,,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530404917,7,43,1,0,12,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-04-08T16:46:57.308Z,2023-04-08T16:47:05Z,4173098957,213,3.8,4173098951,140,63.4,4173098949,56,Center,4173098955,212,10.1,4173098947,3,0,4173099005,144,1,4173098953,141,43.0,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
