id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2499346451,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-21T17:41:29.872Z,2023-01-21T19:09:07Z,3988305329,30,"7rvlba00jv66w7wtdmk178a95, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 9wgpudcet9m8doz9ezbjxzkrt, 7r2ifipuieqiar5n00o2j5uj9, blzp9qbpturqntnisbkg0ddlg, 4utb2o5c0e57kf0iwdavpzg15, 8o13oyr0lqkr5sw7j9ekdan6x, cgsirikez39wlx8lhu1uo00yd, 7pz3qz589b7v3pkb9h0hv73l5, ae7ij4u0xy9iru6qvdw2i9fu2, 4736oz9r0evpmkd3qumivl239, 426st78oi43eortpbfkuxw72t, ail0unvzd0b9ur7j0l8hk0y51, 8ylvnl689iweg2r9d0ioj771m, dzs8vty5afl2y7ddjh3ausclx, ca5n8516u8m6c41u61bbjjbop, eyx1wga1fue6lb5a0ak5f32i2, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w, c6ufljjgl050g9xn7e9ma7hg4",3988305331,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3988305341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988305337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988305335,130,8,3988305333,59,"1, 5, 16, 8, 4, 33, 11, 6, 9, 21, 14, 3, 10, 12, 15, 18, 24, 27, 28, 30, 31, 38, 39",3988579049,197,12539,3988305339,194,3u2783a9ukglf8yg3dere8wve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499348891,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-01-21T17:45:20.143Z,2023-01-21T18:58:27Z,3988318507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988318497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3988318501,130,4,3988318495,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 723av2redj2ej6livx0g81wwl, 5gs7jd1eigk4jisxbr9a1yvp, e8zpc22dwlmgkkwoqpgwxsn2t, 7jpreaads35pnnfqbn7hmrmy, 8n9t52eeli3s39r8ujjhjt7je, 6q77vt9bp8dsq48pa97mfzsa1, 2nwthqvbk70e2qo35dgp35979, tgu7kztdu9azmvirwu8rrip6, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, 530w8musao16dfntha5ykpuga, ubuh5wgnl0o5bn3wirdmectm, 6vqc5d718gbqobb9o3a40jlqt, 673xny9ozqe978emdytscm5pm, 6ovzd9akutufagsd8kmxmsei2, dficbkp6sp4kw7xihaxneozpx, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu, cixzy9hl7ks4maugc5zc9ievp",3988318505,194,e8zpc22dwlmgkkwoqpgwxsn2t,3988318503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988318499,59,"1, 2, 5, 8, 3, 4, 10, 6, 9, 7, 11, 20, 15, 13, 14, 30, 19, 16, 17, 21, 18, 12",3988574667,197,2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499397969,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-21T19:00:08.712Z,2023-01-23T06:19:24Z,3988579077,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499397959,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-01-21T19:00:08.712Z,2023-01-21T19:00:08Z,3988579021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499397977,3,1,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,49.9,50.1,2023-01-21T19:00:08.741Z,2023-01-23T09:18:53Z,3988579133,212,26.2,3988579135,213,2.8,3988579127,56,Back,3988579131,141,62.9,3988579129,140,26.4,3991676483,178,,3988579137,279,S,,,,cgsirikez39wlx8lhu1uo00yd,T. Boere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499397981,4,1,1,0,2,ears40cp6opsgvhsy0dgyszpd,1,26.4,62.9,2023-01-21T19:00:11.503Z,2023-01-23T09:18:57Z,3988579159,212,21.7,3988579153,56,Back,3988579155,140,25.1,3988579161,213,4.6,3988579157,141,31.0,3991676535,178,,,,,,,,blzp9qbpturqntnisbkg0ddlg,F. Smand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499398011,5,1,1,0,5,ears40cp6opsgvhsy0dgyszpd,1,26.2,28,2023-01-21T19:00:13.903Z,2023-01-23T09:19:02Z,3988579297,141,23.9,3991676565,178,,3988579301,213,6.1,3988579293,56,Back,3988579295,140,42.1,3988579299,212,16.9,,,,,,,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499398023,6,1,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,43.1,12.3,2023-01-21T19:00:16.790Z,2023-01-23T09:19:08Z,3988579349,140,46.9,3988579351,141,2.9,3988579355,213,5.3,3988579347,56,Back,3988579353,212,7.5,3991676643,178,,,,,,,,7pz3qz589b7v3pkb9h0hv73l5,D. van Kaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499398043,7,1,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,47.4,2.3,2023-01-21T19:00:17.622Z,2023-01-23T09:19:13Z,3988579475,212,10.2,3988579473,141,12.0,3988579471,140,54.8,3991676773,178,,3988579469,56,Right,3988579477,213,0.7,,,,,,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499991153,1086,43,1,0,9,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-21T19:00:18.660Z,2023-01-23T11:23:01Z,3991715775,233,1030,3991778561,144,67,,,,,,,,,,,,,,,,,,,cgsirikez39wlx8lhu1uo00yd,T. Boere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
