id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/16/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2512263131,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-02-25T17:52:15.541Z,2023-02-25T19:28:55Z,4056169459,194,7jgtmmk4b2bgn0syidj6ve7kl,4056169457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056454129,197,460,4056169449,30,"7udphhcokm6vralyz5gkovxsl, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 7jpreaads35pnnfqbn7hmrmy, 9lixevzo8exxiia17altfw8ic, ayqy2vql1oumokqly9ahfrnx1, 2w7xspkzg7b9ghl20me202ove, 7jgtmmk4b2bgn0syidj6ve7kl, 7sd87ylfbtgwgpb70hf68cel1, 1t7nph4960rjzu7rgi47sf8ix, 33yauarx84sam5u05vgyqxfxl, 2p6h6ivyzp1fzsayw7r2xn2dx, b8vbhw29ucubzzmgv0nge1omh, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, cs49ec8y6cubrlo5nmu3j3jtg, 7wrulbqqdeecd5vegsbb1905w",4056169451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4056169453,59,"1, 2, 5, 16, 46, 3, 6, 8, 9, 7, 11, 12, 14, 17, 19, 23, 28, 32, 34, 43, 45",4056169455,130,4,4056169461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512264453,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-25T17:54:51.864Z,2023-02-25T19:05:18Z,4056176653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4056176655,59,"12, 5, 24, 6, 4, 33, 21, 19, 9, 14, 25, 1, 3, 8, 17, 18, 20, 27, 28, 30, 31, 38",4056460297,197,465,4056176661,194,8o13oyr0lqkr5sw7j9ekdan6x,4056176659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4056176657,130,4,4056176651,30,"ail0unvzd0b9ur7j0l8hk0y51, tv8e6nxc7jl8wbzf6ojd6dw5, ca5n8516u8m6c41u61bbjjbop, 8o13oyr0lqkr5sw7j9ekdan6x, 7r2ifipuieqiar5n00o2j5uj9, blzp9qbpturqntnisbkg0ddlg, 7pz3qz589b7v3pkb9h0hv73l5, 4qyx713hq3c6d5lwdfp98jd1x, lfp411vh3vtjbvd6xra4jpp1, ae7ij4u0xy9iru6qvdw2i9fu2, 9gsuha7f2ldpqo091yrlykvyt, 7rvlba00jv66w7wtdmk178a95, 4736oz9r0evpmkd3qumivl239, 9wgpudcet9m8doz9ezbjxzkrt, aifho67q5citg1vdjyts477bp, dzs8vty5afl2y7ddjh3ausclx, dz5odw2c0d2hyx60oxorrf9hx, eyx1wga1fue6lb5a0ak5f32i2, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w",4056176663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316543,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-02-25T19:02:05.455Z,2023-02-28T10:26:38Z,4056460465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316563,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-25T19:02:05.455Z,2023-02-25T19:02:07Z,4056460549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316591,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,50,50,2023-02-25T19:02:05.465Z,2023-02-28T10:33:51Z,4056460685,213,3.1,4063163319,178,,4056460677,56,Back,4056460683,212,24.3,4056460679,140,26.9,4056460681,141,52.8,4056460687,279,S,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316647,4,1,1,0,3,3kfktv64h7kg7zryax1wktr5r,0,25.1,53.9,2023-02-25T19:02:08.857Z,2023-02-28T10:33:54Z,4056460903,155,,4056460911,212,55.5,4056460905,56,Center,4063163469,178,,4056460913,213,5.9,4056460915,1,,4056460907,140,74.8,4056460909,141,25.9,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316685,3,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,22.9,68.4,2023-02-25T19:02:12.216Z,2023-02-28T10:34:05Z,4056461115,212,8.5,4056461113,141,68.5,4056461107,3,,4056461109,56,Back,4056461111,140,31.0,4056461117,213,0.0,4063163805,388,,,,,blzp9qbpturqntnisbkg0ddlg,F. Smand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316693,4,44,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,30.4,71.4,2023-02-25T19:02:14.149Z,2023-02-28T14:37:51Z,4056461161,233,5,4056461137,56,Back,4056461139,285,,,,,,,,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316677,5,44,1,0,8,3kfktv64h7kg7zryax1wktr5r,0,69.6,28.6,2023-02-25T19:02:14.150Z,2023-02-28T10:34:12Z,4056461201,233,4,4056461067,286,,4056461065,56,Center,,,,,,,,,,,,,,,,7jpreaads35pnnfqbn7hmrmy,S. Mijnans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512316713,5,1,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,32,68.2,2023-02-25T19:02:14.161Z,2023-02-28T14:37:51Z,4063164297,388,,4056461265,56,Back,4056461271,212,5.2,4056461267,140,36.9,4056461269,141,67.4,4056708021,168,,4056461261,3,,4056461273,213,6.2,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
