id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist
2455810889,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-09-04T13:59:26.956Z,2022-09-04T15:05:22Z,3757925667,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758105915,197,15620,3757925677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757925673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757925669,59,"33, 2, 32, 13, 20, 3, 21, 8, 14, 17, 10, 5, 9, 11, 18, 24, 27, 29, 42, 60",3757925675,194,4idru0svqcqjpi03b4jhqyd3p,3757925671,130,11,3757925665,30,"3hhca66jtxt3c1iw10nfmhtnu, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, eqjelc731e1xrp95bpysx0pka, d8cxurdt9g5gezqlfwae7ooru, cgsmk5437f466uoqvol7devze, 4idru0svqcqjpi03b4jhqyd3p, 4ecptuxoyx485mmhrubuscgyd, 9bzwr8qhl6547tjrsjsity4x6, dvof4p3jx1gi6i9uelbmudl62, 4212luiyivgvje1vm1ojieicq, e65zqndnze1xzef4qlkhd1v4l, b2uznyb9b8fxsy57450mbmwru, cty7nsrs5yn785m330c2gbwq2, 7xtesbxl6ioj70wymszqsag9h, e84kqxlu2bzgcpu0x0cj3z8id, 1txv3b9y7h3du9d5bbblg0vai, hjb0mn4fgmfiimwn5odvl8fd, czh4r9efdbw4fvdux0enl127e, 1t28pbgw92ktu3i8lvd4bf2ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455812761,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2022-09-04T14:03:04.993Z,2022-09-04T14:47:18Z,3757935129,30,"dxcsuw39xzusjsj5e1jw53y6t, 2fbolmn7pyvn5oto4zoeqguwa, ar7ybu7dordgt2yfx5inux62, e5kpw4k4tyss5ch8ehfi7nk5x, ait187bpr8we72jvfxxt6ttjp, 9zcr9l3mfbbstmesdlx298vhm, 4t85yj2ijymrz5vf457jcihre, ebrua3sixxfvycsty8z956ga1, 4k9shzwgauyy7w2911uev75yh, a9z0jsjwfteq974bxwucvc4ix, 8hq0so8nzsuzmsffae5nwdwmi, 7j5xa2ti4qnvoh74h5twyi6s5, brqptr56zeku3bgqbixje0hxx, 8r87vw2cxrsal257e9v7jicx5, ci5y030e6r9umgyjbupwske7d, 1x06lao11mw2wao2qk658mf6y, 3hn1o03lxsjzju3uorl6rnpxw, 6gj1r8dnoy17pemp9xtng6sbt, dk56pv43y8zo39ft9xtwyapnu, am0ea3bvmnin4gco2ndny2noq, 29fr98or3mqippn84z3p9ihhw",3757935137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757935131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757935141,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757935139,194,e5kpw4k4tyss5ch8ehfi7nk5x,3757935133,59,"20, 21, 18, 4, 5, 12, 7, 6, 23, 27, 11, 1, 2, 3, 10, 14, 15, 19, 25, 34, 40",3758114571,197,477,3757935135,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850035,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2022-09-04T14:47:30.063Z,2022-09-06T18:51:56Z,3758136357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850023,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-09-04T14:47:30.063Z,2022-09-04T14:47:30Z,3758136303,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850087,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,49.9,49.9,2022-09-04T14:47:30.173Z,2022-09-07T06:29:11Z,3763587047,178,,3758136609,279,S,3758136603,212,21.2,3758136599,141,50.0,3758136607,213,3.1,3758136589,56,Back,3758136595,140,29.7,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850119,4,1,1,0,2,6hsriqr3ybvyg94w2k19oal50,0,30,50,2022-09-04T14:47:32.861Z,2022-09-07T06:29:19Z,3758136767,213,0.7,3758136759,56,Left,3758136763,141,100.0,3758136765,212,55.4,3758136761,140,71.1,3763587109,178,,3758136769,1,,3758136757,155,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850207,3,5,1,0,5,cos9hxi16eitbcbthof7zrm4m,1,27.8,-1.4,2022-09-04T14:47:35.164Z,2022-09-07T06:29:24Z,3758137275,347,,3758137273,56,Back,3758137331,233,5,,,,,,,,,,,,,,,,2fbolmn7pyvn5oto4zoeqguwa,N. Kasanwirjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850123,5,5,1,0,5,6hsriqr3ybvyg94w2k19oal50,0,72.2,101.4,2022-09-04T14:47:35.164Z,2022-09-07T06:29:25Z,3758137335,233,3,3758136779,56,Left,3758136781,347,,,,,,,,,,,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850235,4,1,1,0,12,cos9hxi16eitbcbthof7zrm4m,0,27.4,0,2022-09-04T14:47:42.559Z,2022-09-07T06:29:34Z,3758137445,107,,3758137449,140,51.5,3758137457,1,,3758137453,212,25.9,3758137455,213,0.2,3758137451,141,6.2,3758137447,56,Right,,,,2fbolmn7pyvn5oto4zoeqguwa,N. Kasanwirjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455850259,6,8,1,0,13,6hsriqr3ybvyg94w2k19oal50,1,55,91.1,2022-09-04T14:47:43.800Z,2022-09-07T06:29:41Z,3763587477,388,,3758137593,56,Left,3759007015,384,,3758308123,15,,,,,,,,,,,,,,4ecptuxoyx485mmhrubuscgyd,S. Tronstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
