id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value
2445506961,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-08-13T16:53:56.799Z,2022-08-13T17:58:47Z,3703125381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703125357,30,"7rvlba00jv66w7wtdmk178a95, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 8ylvnl689iweg2r9d0ioj771m, 7r2ifipuieqiar5n00o2j5uj9, 9wgpudcet9m8doz9ezbjxzkrt, dz5odw2c0d2hyx60oxorrf9hx, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, c6ufljjgl050g9xn7e9ma7hg4, efwbv81uca8myl7gusdb2q38p, 4736oz9r0evpmkd3qumivl239, cgsirikez39wlx8lhu1uo00yd, 426st78oi43eortpbfkuxw72t, ail0unvzd0b9ur7j0l8hk0y51, ae7ij4u0xy9iru6qvdw2i9fu2, dzs8vty5afl2y7ddjh3ausclx, 7zmbih0ud5ajulau4f7jozqhh, ca5n8516u8m6c41u61bbjjbop, eyx1wga1fue6lb5a0ak5f32i2, 4j7f43re79hlmomwga3isqbu2, blzp9qbpturqntnisbkg0ddlg",3703412949,197,465,3703125367,130,4,3703125373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703125363,59,"1, 5, 16, 6, 15, 4, 8, 20, 28, 30, 39, 2, 3, 9, 10, 12, 14, 18, 19, 24, 27, 31, 33",3703125361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3703125379,194,afsin57n25r53ifmqyfmbzqol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445510973,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-13T17:00:44.625Z,2022-08-13T18:27:04Z,3703145979,30,"9q90ls3k1i2739wd6a20fku6t, 6gabdz53gxhyp8dv6x5the4t1, 6lyedmu2vuf7jig3jmhz9b4ve, 8p47d0e54hgl7d86vur1m5nmx, c2an5ksdu6jbap3x3jp3z9c5x, 1s7vp9ovsa1jo7tu7nisykn9x, 28o7vv0jud22hmg4h649yozqh, 3mp92d5s002hi523kl4zmgrft, 395y7yj6o1xwr6uaxs4sjnjdh, 6mjm5cwe46jhi3wwpf1icf65l, eu6pfkiah7otafyryg6ll7y09, b33sm106xc7g3h4bcqtawja7e, 1p0xp2onnys7jlru55vfgf1pm, df5rxx2r305pdtf28967fuxyi, 9wo8twcbs1jnqzdy0c6y8adey, 4octqavtgpv5u1rnpss898nah, ebqj8v33xv3otev2pycc6xomh, 790v7fu7f2s40e160mlrb6dt6, 1s6yn52hlqtmmz4lerscf457u, c6i4usq34m3389rtbqptahrai",3703145989,130,12,3703145991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703404725,197,540,3703145987,59,"1, 5, 15, 17, 24, 2, 10, 26, 28, 7, 8, 6, 9, 19, 25, 29, 31, 32, 38, 46",3703145993,194,c2an5ksdu6jbap3x3jp3z9c5x,3703145983,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3703145995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561793,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-13T18:01:10.753Z,2022-08-15T07:22:53Z,3703420279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561785,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-08-13T18:01:10.753Z,2022-08-13T18:01:10Z,3703420247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561823,3,1,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,50,50,2022-08-13T18:01:10.767Z,2022-08-15T18:17:23Z,3709909749,178,,3703420459,279,S,3703420457,213,2.9,3703420455,212,16.3,3703420449,56,Back,3703420453,141,55.8,3703420451,140,34.9,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561859,4,1,1,0,1,ears40cp6opsgvhsy0dgyszpd,1,34.8,55.8,2022-08-13T18:01:12.543Z,2022-08-15T18:18:04Z,3703420641,212,23.3,3703420643,213,4.6,3709911615,178,,3703420635,56,Back,3703420637,140,32.0,3703420639,141,21.8,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561887,5,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,38.3,12.1,2022-08-13T18:01:17.713Z,2022-08-15T18:18:10Z,3703420799,212,44.5,3703420797,141,54.2,3709911981,178,,3703420801,213,0.7,3703420795,140,70.7,3703420803,1,,3703420793,56,Center,3703420791,155,,tv8e6nxc7jl8wbzf6ojd6dw5,D. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561897,6,44,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,68.6,52.8,2022-08-13T18:01:19.752Z,2022-08-16T11:17:03Z,3703428809,233,27,3703420831,56,Center,3703420833,286,,,,,,,,,,,,,,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445563133,27,44,1,0,9,ccpscwdcm65czscrun048ecn5,0,31.4,47.2,2022-08-13T18:01:19.753Z,2022-08-15T18:18:17Z,3703428821,233,6,3703428765,285,,3703428763,56,Back,,,,,,,,,,,,,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445561903,7,1,1,0,9,ears40cp6opsgvhsy0dgyszpd,0,70.1,54.9,2022-08-13T18:01:19.835Z,2022-08-16T11:17:04Z,3703420867,140,63.0,3703420873,213,3.7,3703420871,212,8.7,3703420869,141,48.2,3703420865,56,Center,3709912575,388,,3703420863,3,,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
