id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2452326063,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-28T11:33:24.765Z,2022-08-28T12:34:49Z,3739404259,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, 5mbkc1nqmirbtfml9aklqr5xx, 1abb1gcw7arw1nkbuxnccjca1, 2e0o5pwinz3zhg9pqg5vej9ih, 3ojwbw6v83g9b0u2wssnkzzzd, bx6j2y1hnu63lawn3rdoep1m2, d4j19ipiaeuetyij08fofgs15, 9vf02r3geinhsy732oxyrcacq, exhxdmdq49xj4dnguq03qnlgq, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 62n3xzxpwe2j317q24rh5wjpx, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, 21k54i5a6d9bi4f6gplgzxiw9, 1ph4g125dfsijfjzjpcvpcmlm, d9wjrxhmo0dlczkg0fpnf3e1h, 94zmvxw7yw020w43dn0qiclbd, 94kzhufmz3ktpn1a9z1y91at, 6nwn2522yescgrx57wkcxjhwq",3739404261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739621437,197,16040,3739404267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739404263,59,"1, 29, 31, 6, 3, 4, 27, 23, 28, 7, 11, 2, 5, 15, 16, 20, 22, 24, 25, 26, 33",3739404271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739404269,194,9psfk94nduz6icnuwty5v9all,3739404265,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452326267,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-08-28T11:33:38.264Z,2022-08-28T12:29:16Z,3739405377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3739405385,194,934ldgpefo90za10cq49k0o6i,3739622107,197,1517,3739405381,130,8,3739405375,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 6db1q8hud1d8u2q3lxzfixzze, 11iegkg0xuow3r11hx5t1o1xx, 3ox3ey99addc8m1ee8qrzuuhh, 934ldgpefo90za10cq49k0o6i, 36q7nfs7t68aeg3z54rnr31pm, 9aj2e1c30c8i3h6iff0k4dmac, 5zwa237gtyf2mlrmo7tlkqnoq, a46irqckxabod18j2c0qfixre, 6jhavdnaitqn6ydme8a526aui, 1wf757j0e3v3bdpbc9z2tav3d, 7y0acvcg9km8dz51t5ndy23md, 4w7a5n358oifbqkyftop0rtka, 6ghc42l6w6v395vqy5k61drmc, cvw6enlkjfnrtysck783raf6y, f07qmqesi1rpw7eapoz9rb0gk, 8znaym62oghri26gdn8o6fz84, 3fvaph4p7n0i1nwhhtlpayzh0",3739405379,59,"1, 2, 28, 21, 16, 4, 10, 6, 9, 8, 14, 5, 29, 11, 19, 24, 33, 34, 38",3739405383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3739405387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371339,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-28T12:31:08.386Z,2022-08-28T12:31:11Z,3739626983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371331,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-08-28T12:31:08.386Z,2022-08-30T18:29:42Z,3739626959,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371381,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50.1,49.9,2022-08-28T12:31:08.417Z,2022-08-31T04:36:36Z,3739627129,279,S,3739627125,212,17.0,3746482135,178,,3739627121,140,34.8,3739627127,213,3.5,3739627123,141,41.8,3739627119,56,Back,,,,9vf02r3geinhsy732oxyrcacq,I. Saibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371419,4,1,1,0,3,24fvcruwqrqvqa3aonf8c3zuy,1,37.6,34.1,2022-08-28T12:31:11.425Z,2022-08-31T04:36:37Z,3739627289,213,5.6,3746482147,178,,3739627285,141,9.8,3739627281,56,Right,3739627287,212,25.7,3739627283,140,56.4,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371441,5,1,1,0,5,24fvcruwqrqvqa3aonf8c3zuy,1,56.3,6.2,2022-08-28T12:31:13.578Z,2022-08-31T04:36:37Z,3739627375,212,21.6,3746482155,178,,3739627371,140,36.0,3739627369,56,Back,3739627373,141,11.5,3739627377,213,3.0,,,,,,,bx6j2y1hnu63lawn3rdoep1m2,J. Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371475,6,1,1,0,7,24fvcruwqrqvqa3aonf8c3zuy,1,36,11.5,2022-08-28T12:31:15.639Z,2022-08-31T04:36:37Z,3739627517,212,13.0,3739627513,141,28.4,3739627511,140,30.3,3746482159,178,,3739627519,213,2.1,3739627509,56,Back,,,,,,,7c8ms7bw3fva4xeubax4ep8et,P. Mwene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371541,7,1,1,0,12,24fvcruwqrqvqa3aonf8c3zuy,1,31.9,37.4,2022-08-28T12:31:20.447Z,2022-08-31T04:36:39Z,3739627813,141,66.2,3746482171,178,,3739627805,56,Back,3739627809,140,37.8,3739627819,213,1.3,3739627815,212,20.5,,,,,,,2e0o5pwinz3zhg9pqg5vej9ih,J. Teze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452371559,8,1,1,0,15,24fvcruwqrqvqa3aonf8c3zuy,1,37.7,48,2022-08-28T12:31:23.411Z,2022-08-31T04:36:56Z,3739627901,213,5.4,3739627899,212,19.3,3739627893,56,Back,3739627897,141,25.2,3739627895,140,48.7,3746482293,178,,,,,,,,d4j19ipiaeuetyij08fofgs15,J. Veerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
