id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2519021111,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-12T10:13:57.250Z,2023-03-12T11:22:13Z,4091964117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091964109,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, c3mpk7pjhma4lwkjl8v5mhox6, egcs7b6ixb62ep08t7jznf9ih, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, ely6vpyueden4b6ozfmspwgk5, 4rp5snknt88bf4lws5t0o9gph, 1p0xp2onnys7jlru55vfgf1pm, bymhffiw7brsfpjzsfqq7bvth, 3mp92d5s002hi523kl4zmgrft, 1s7vp9ovsa1jo7tu7nisykn9x, 2tu58roj0u0vpaqcaz266a415, 6gabdz53gxhyp8dv6x5the4t1, 28o7vv0jud22hmg4h649yozqh, 9uf4fsff2lpic3u0l7zpuqsid, c1krps0yssh477m8umrruiqjt, d7ml58kwwpetvnw46qja9ru5m, b427p4czppyjddx3xuuvc2okp, 9wo8twcbs1jnqzdy0c6y8adey, 395y7yj6o1xwr6uaxs4sjnjdh, 4ooliltsht8mvelpds3v4bpat, 5nhideyjwp2347ryi1n9wfq50",4091964113,59,"1, 17, 14, 7, 33, 27, 18, 22, 9, 20, 26, 2, 3, 5, 10, 11, 16, 19, 23, 25, 28, 30, 37",4091964111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092068503,197,16382,4091964115,130,4,4091964119,194,aafz6q5ggn9e6m5hprc71lgph,4091964121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519021707,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-03-12T10:16:08.741Z,2023-03-12T11:20:53Z,4092068561,197,493,4091967007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091966997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4091967005,194,570htztcvfsu947xw6fvtzmc5,4091967001,130,8,4091967003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4091966995,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, a76yp8gkkg6frtuhh3d6l46i, 570htztcvfsu947xw6fvtzmc5, 913pg8qqcjp99h5fjybbenob9, cudl1cjc8kxshfbhatms7aooa, brij3tiox17hyfm63ulhg5sr9, 76n4eg1xu5qvf9bkwy4p8jsut, 6rfm7p5go1lgv6ccdjqgpallh, 8inyievyp1az6q3dtlkpynf56, uru1h5pzgwy9cvbele1piei, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 61a5bh5xw947nv4mxx62gqaqx, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 4fiks6jvfxzbs9k0s050vmfbo, bqqq27wy9bk31ssgapksci4t1, 6oynq4ickyxictf2e0ilemqne",4091966999,59,"22, 28, 16, 71, 4, 3, 7, 6, 19, 14, 11, 31, 1, 2, 5, 8, 9, 21, 34, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042271,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-03-12T11:17:17.614Z,2023-03-14T21:14:59Z,4092075299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042275,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-12T11:17:17.614Z,2023-03-12T11:17:18Z,4092075327,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042293,3,1,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,50,50,2023-03-12T11:17:17.807Z,2023-03-15T00:00:59Z,4092075417,212,23.3,4098594807,178,,4092075421,279,S,4092075413,140,28.3,4092075415,141,43.0,4092075411,56,Back,4092075419,213,3.3,,,,brij3tiox17hyfm63ulhg5sr9,J. Bruijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042313,4,1,1,0,3,8iawijq7s9s6d85mjz8wdslki,0,31.3,44.1,2023-03-12T11:17:20.705Z,2023-03-15T00:01:03Z,4092075507,56,Left,4098594817,178,,4092075513,212,48.9,4092075515,213,0.5,4092075511,141,81.4,4092075505,155,,4092075509,140,71.1,4092075517,1,,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042329,3,1,1,0,5,ccpscwdcm65czscrun048ecn5,0,28.2,16.3,2023-03-12T11:17:23.587Z,2023-03-15T00:01:08Z,4092075607,213,0.8,4092075605,212,6.3,4092075601,140,32.2,4092075599,56,Back,4092075603,141,23.3,4098594861,178,,,,,,,,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520279063,778,83,1,0,7,ccpscwdcm65czscrun048ecn5,1,32.2,24.5,2023-03-12T11:17:25.495Z,2023-03-15T01:32:58Z,4098658529,399,433957,,,,,,,,,,,,,,,,,,,,,,ely6vpyueden4b6ozfmspwgk5,J. Toornstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042359,5,1,1,0,7,8iawijq7s9s6d85mjz8wdslki,0,66.4,75.6,2023-03-12T11:17:25.513Z,2023-03-15T00:01:26Z,4092075751,213,3.3,4092075747,141,71.7,4092075749,212,14.9,4098594939,178,,4092075745,140,52.4,4092075743,56,Center,,,,,,,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519042361,4,49,1,0,9,ccpscwdcm65czscrun048ecn5,1,47.6,28.7,2023-03-12T11:17:26.882Z,2023-03-15T00:01:30Z,,,,,,,,,,,,,,,,,,,,,,,,,1p0xp2onnys7jlru55vfgf1pm,T. Douvikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
