id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,keyPass,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2518687433,4,61,1,0,7,89w5c6pw7vn0dxypi61tt0g4k,1,28.8,17,2023-03-11T20:00:49.955Z,2023-03-14T02:38:12Z,4097131413,388,,4090197993,56,Back,4097131411,15,,,,,,,,,,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687453,8,1,1,0,10,6hsriqr3ybvyg94w2k19oal50,0,95,79.3,2023-03-11T20:00:53.188Z,2023-03-14T02:38:21Z,4090198151,212,11.1,4090198145,56,Center,4090198147,140,91.4,4097131477,178,,4090198149,141,64.0,4090198153,213,4.4,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687457,5,49,1,0,11,89w5c6pw7vn0dxypi61tt0g4k,1,10.2,32.2,2023-03-11T20:00:54.016Z,2023-03-14T02:38:30Z,,,,,,,,,,,,,,,,,,,,,,,,,6ovzd9akutufagsd8kmxmsei2,J. van Mullem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687495,6,1,1,0,12,89w5c6pw7vn0dxypi61tt0g4k,0,10.1,29.6,2023-03-11T20:00:55.094Z,2023-03-14T02:38:36Z,4090198353,140,62.2,4090198359,213,6.0,4090198349,155,,4090198357,212,56.3,4090198361,1,,4090198351,56,Right,4090198355,141,10.0,4097131581,178,,6ovzd9akutufagsd8kmxmsei2,J. van Mullem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687511,9,49,1,0,19,6hsriqr3ybvyg94w2k19oal50,1,29.9,89.4,2023-03-11T20:01:01.964Z,2023-03-14T02:38:44Z,,,,,,,,,,,,,,,,,,,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687557,10,1,1,0,19,6hsriqr3ybvyg94w2k19oal50,1,25.2,88.9,2023-03-11T20:01:01.996Z,2023-03-14T02:38:48Z,4090198669,1,,4090198663,141,50.7,4090198667,213,4.0,4090198661,140,4.3,4090198665,212,34.0,4090198659,56,Back,4097131657,178,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687587,11,1,1,0,23,6hsriqr3ybvyg94w2k19oal50,1,8.3,47.3,2023-03-11T20:01:06.027Z,2023-03-14T02:38:58Z,4090198857,141,96.9,4090198859,212,42.8,4090198853,56,Back,4090198861,213,0.9,4090198855,140,33.4,4090198851,155,,4090198863,1,,4097131709,178,,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687615,12,1,1,0,28,6hsriqr3ybvyg94w2k19oal50,1,32.1,92.7,2023-03-11T20:01:10.952Z,2023-03-14T02:39:07Z,4097131783,178,,4090198983,140,23.6,4090198989,213,3.8,4090198987,212,11.5,4090198981,56,Back,4090198985,141,82.1,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687643,13,1,1,0,30,6hsriqr3ybvyg94w2k19oal50,1,24.3,82,2023-03-11T20:01:13.463Z,2023-03-14T02:39:12Z,4090199125,56,Back,4090199133,213,0.8,4090199127,140,34.1,4090199129,141,98.7,4090199131,212,15.3,4097131845,178,,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687671,14,1,1,0,34,6hsriqr3ybvyg94w2k19oal50,1,35.8,96.2,2023-03-11T20:01:17.041Z,2023-03-14T02:39:19Z,4097131917,178,,4090199253,140,33.5,4090199259,213,4.6,4090199257,212,16.0,4090199251,56,Back,4090199255,141,73.0,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
