id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/16/value,qualifier/18/value
2451799693,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-08-27T18:01:40.916Z,2022-08-27T19:00:16Z,3736528161,130,10,3736528155,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, axgbibg0wdlir6tsrru6rpwph, 1tj9gmnm02s8f12zwzvuwnoph, 9hvw1v4douz0kst032a9l853p, 7jtag81mvpom3bfgezx8txbdh, 7m3uhmmzizwmpk64dw750pn11, dc4n5ylytswddlvd82snkb90q, amvonu36at4dg7ksi1ioczi3u, aie09n600h7ozeg6zl6anithx, bpvq84v7wwz759mgykvsy3pat, 34258m1cvslz8r6d17nv4b90q, aqjwz3wm0it916o2vb5tz9vxl, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, 60fbyywnjiz6l8n7gmi2mjld5, 2mfslxxrar9a5fbif0ulk7ze, ejv587h08dn1hgxhfgib3reqy, 73k8ok0kpb9xb6yhpmfhzir55, 3o6woe2uh6754hw803v86l1t6",3736528159,59,"44, 27, 7, 3, 5, 4, 33, 26, 17, 9, 10, 1, 6, 8, 13, 15, 19, 21, 22, 23, 34",3736857161,197,482,3736528165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736528163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736528157,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736857157,194,9hvw1v4douz0kst032a9l853p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451803449,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-08-27T18:05:18.381Z,2022-08-27T19:03:16Z,3736548153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736548143,30,"5gnywqecwvt5yxied85hu4x2i, 4e6yz7j1xjd7b6oyv078q8edx, b2h6iojtnu8rzb81vw4rbfrop, cozhhgt0jbcuu4wdxf1pwjkyd, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, 5fnmjp63t7m9fg3y2fcw6z015, 8rqula41yqtbwycgemsw9ixud, 6pgcyaivg3sjcm6jju4nn3omi, atbvv2os8m7nfs0p128w5a6l1, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 9trasqdd75zjxz4kzplb64xjp, 3fzqjtehxr65c2xfyytws30q2, emrt1s5yfgtex867u98gbt0fe, 6o2tffdjtdueojbhahe3w66i2, 71gwdg60saiwwwnnv6is52may, a3hraho1lbnm3ga3ffkahlqi2",3736857663,197,4030,3736548147,59,"31, 25, 5, 21, 14, 33, 7, 6, 17, 8, 10, 1, 4, 11, 18, 19, 22, 34, 61, 77, 90",3736548151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736548149,130,7,3736857661,194,atbvv2os8m7nfs0p128w5a6l1,3736548145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861083,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-08-27T19:01:55.708Z,2022-08-29T08:31:44Z,3736865901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861125,3,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-08-27T19:01:55.708Z,2022-08-27T19:01:59Z,3736866135,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861113,3,1,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,50,50,2022-08-27T19:01:55.908Z,2022-08-29T09:41:46Z,3736866087,279,S,3736866079,140,28.6,3742693669,178,,3736866083,212,22.5,3736866077,56,Back,3736866085,213,3.1,3736866081,141,51.2,,,,aie09n600h7ozeg6zl6anithx,T. Halilović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861195,4,1,1,0,3,4vd2t5schmvvufrfib7f2vjdf,0,28.6,51.2,2022-08-27T19:01:59.009Z,2022-08-29T09:41:50Z,3736866507,56,Right,3736866511,141,0.0,3736866515,213,5.6,3736866513,212,59.6,3736866505,157,,3736866517,1,,3742693807,178,,3736866509,140,73.8,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861361,4,5,1,0,7,3ebril33e08ddzob4bhq8awsr,1,27.5,101.4,2022-08-27T19:02:02.725Z,2022-08-29T09:41:53Z,3736867449,56,Back,3736867451,347,,3736867483,233,5,,,,,,,,,,,,,,,,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861199,5,5,1,0,7,4vd2t5schmvvufrfib7f2vjdf,0,72.5,-1.4,2022-08-27T19:02:02.725Z,2022-08-29T09:41:53Z,3736867533,233,4,3736866531,56,Right,3736866533,347,,,,,,,,,,,,,,,,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861389,5,1,1,0,15,3ebril33e08ddzob4bhq8awsr,1,29.1,100,2022-08-27T19:02:11.100Z,2022-08-29T09:42:32Z,3736867599,141,95.4,3736867595,56,Back,3736867603,213,5.6,3736867593,107,,3736867597,140,34.5,3736867601,212,7.1,,,,,,,b2h6iojtnu8rzb81vw4rbfrop,G. Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451861405,6,1,1,0,15,3ebril33e08ddzob4bhq8awsr,1,36.2,94.8,2022-08-27T19:02:11.275Z,2022-08-29T09:42:45Z,3736867717,140,30.2,3736867721,212,6.6,3736867723,213,2.8,3736867715,56,Back,3742695953,178,,3736867719,141,97.7,,,,,,,6pgcyaivg3sjcm6jju4nn3omi,C. Bassett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
