id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/15/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2482289387,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-11-06T10:04:36.454Z,2022-11-06T11:14:18Z,3898457639,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, ely6vpyueden4b6ozfmspwgk5, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, eu6pfkiah7otafyryg6ll7y09, 4rp5snknt88bf4lws5t0o9gph, 1p0xp2onnys7jlru55vfgf1pm, 6mjm5cwe46jhi3wwpf1icf65l, 28o7vv0jud22hmg4h649yozqh, 6gabdz53gxhyp8dv6x5the4t1, b33sm106xc7g3h4bcqtawja7e, 9uf4fsff2lpic3u0l7zpuqsid, 6lyedmu2vuf7jig3jmhz9b4ve, c1krps0yssh477m8umrruiqjt, 9wo8twcbs1jnqzdy0c6y8adey, 3mp92d5s002hi523kl4zmgrft, 395y7yj6o1xwr6uaxs4sjnjdh, 4octqavtgpv5u1rnpss898nah, 4ooliltsht8mvelpds3v4bpat, 790v7fu7f2s40e160mlrb6dt6, 1s6yn52hlqtmmz4lerscf457u",3898457645,130,3,3898457651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898457647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898457641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898569717,197,540,3898457643,59,"1, 17, 2, 18, 33, 27, 8, 22, 9, 7, 10, 5, 6, 14, 15, 16, 25, 26, 28, 29, 30, 32, 38",3898457649,194,1s7vp9ovsa1jo7tu7nisykn9x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482290303,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2022-11-06T10:08:03.784Z,2022-11-06T11:24:41Z,3898462537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898462535,30,"7j5xa2ti4qnvoh74h5twyi6s5, brqptr56zeku3bgqbixje0hxx, ar7ybu7dordgt2yfx5inux62, 8r87vw2cxrsal257e9v7jicx5, ait187bpr8we72jvfxxt6ttjp, 2fbolmn7pyvn5oto4zoeqguwa, e5kpw4k4tyss5ch8ehfi7nk5x, ebrua3sixxfvycsty8z956ga1, 29fr98or3mqippn84z3p9ihhw, emglxnqrlqskt8krglv7sziwa, 4k9shzwgauyy7w2911uev75yh, ci5y030e6r9umgyjbupwske7d, 1x06lao11mw2wao2qk658mf6y, 3hn1o03lxsjzju3uorl6rnpxw, 9ktfzp9jbzxod3116b4xql6ju, b4bzaam658g6wf3knwxlghas5, dk56pv43y8zo39ft9xtwyapnu, a9z0jsjwfteq974bxwucvc4ix, am0ea3bvmnin4gco2ndny2noq, 3aly8eihwfvtwde7dg0k18w7o, 9wwud2tglhtdocmjgl2u5ib6c, ei9h1loyggj8fnf1q4jfdm710",3898462545,194,e5kpw4k4tyss5ch8ehfi7nk5x,3898462539,59,"1, 2, 18, 3, 5, 21, 4, 6, 40, 9, 23, 10, 14, 15, 16, 22, 25, 27, 34, 39, 42, 55",3898462543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898462547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898462541,130,18,3898570517,197,16526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316583,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2022-11-06T11:17:08.181Z,2022-11-06T11:17:11Z,3898574935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316575,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-11-06T11:17:08.181Z,2022-11-07T11:09:20Z,3898574921,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316603,3,1,1,0,0,ccpscwdcm65czscrun048ecn5,1,50.4,49.6,2022-11-06T11:17:08.201Z,2022-11-08T05:48:46Z,3903058709,178,,3898575049,213,2.9,3898575041,56,Back,3898575047,212,20.0,3898575043,140,31.9,3898575045,141,56.7,3898575051,279,S,,,,6mjm5cwe46jhi3wwpf1icf65l,D. Redan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316623,4,1,1,0,2,ccpscwdcm65czscrun048ecn5,1,33.5,55.4,2022-11-06T11:17:11.062Z,2022-11-08T05:48:51Z,3898575159,212,49.9,3898575161,213,5.8,3898575163,1,,3898575155,140,76.1,3903058741,178,,3898575157,141,22.8,3898575151,157,,3898575153,56,Center,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316633,5,44,1,0,6,ccpscwdcm65czscrun048ecn5,1,76.8,25.8,2022-11-06T11:17:14.219Z,2022-11-08T07:58:31Z,3898575199,286,,3898575201,233,3,3898575197,56,Center,,,,,,,,,,,,,,,,4rp5snknt88bf4lws5t0o9gph,S. van de Streek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316629,3,44,1,0,6,cos9hxi16eitbcbthof7zrm4m,0,23.2,74.2,2022-11-06T11:17:14.220Z,2022-11-08T05:48:55Z,3898575223,233,5,3898575187,285,,3898575185,56,Back,,,,,,,,,,,,,,,,ar7ybu7dordgt2yfx5inux62,I. Määttä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316641,6,1,1,0,6,ccpscwdcm65czscrun048ecn5,0,76.1,22.8,2022-11-06T11:17:14.270Z,2022-11-08T07:58:32Z,3898575233,56,Right,3898575237,141,17.3,3903058785,388,,3898575231,3,,3898575235,140,90.0,3898575239,212,15.1,3898575241,213,6.0,3902159487,168,,4rp5snknt88bf4lws5t0o9gph,S. van de Streek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482316669,4,4,1,0,9,cos9hxi16eitbcbthof7zrm4m,1,9,89.6,2022-11-06T11:17:17.480Z,2022-11-08T05:49:03Z,3898575387,285,,3898575381,294,,3898575383,56,Back,3898575385,152,,3898575433,233,7,3898575379,13,,,,,,,,8r87vw2cxrsal257e9v7jicx5,M. Šverko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
