id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/17/value
2481361545,7,44,1,0,14,ears40cp6opsgvhsy0dgyszpd,1,67.4,74.3,2022-11-04T19:03:35.618Z,2022-11-06T18:47:57Z,3893568125,233,5,3893567847,286,,3893567843,56,Center,,,,,,,,,,,,,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361573,5,44,1,0,14,8iawijq7s9s6d85mjz8wdslki,0,32.6,25.7,2022-11-04T19:03:35.619Z,2022-11-05T09:03:50Z,3893567993,285,,3893567991,56,Back,3893568403,233,7,,,,,,,,,,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361551,8,1,1,0,15,ears40cp6opsgvhsy0dgyszpd,0,66,71.9,2022-11-04T19:03:35.768Z,2022-11-06T18:47:58Z,3893567885,56,Center,3893567893,213,5.4,3894604323,388,,3893567883,168,,3893567887,140,69.9,3893567881,3,,3893567891,212,6.2,3893567889,141,65.1,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481373713,145,1,1,0,16,8iawijq7s9s6d85mjz8wdslki,1,28.8,32.8,2022-11-04T19:03:37.346Z,2022-11-05T09:03:59Z,3893632941,141,34.0,3893632935,157,,3893632947,1,,3893632937,56,Back,3893632945,213,0.1,3893632939,140,34.8,3894604391,178,,3893632943,212,6.4,570htztcvfsu947xw6fvtzmc5,Iván Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361607,6,44,1,0,19,8iawijq7s9s6d85mjz8wdslki,1,33.6,27.4,2022-11-04T19:03:39.727Z,2022-11-06T18:47:58Z,3893568163,285,,3893568337,233,9,3893568161,56,Back,,,,,,,,,,,,,,,,6rfm7p5go1lgv6ccdjqgpallh,O. Tannane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361611,9,44,1,0,19,ears40cp6opsgvhsy0dgyszpd,0,66.4,72.6,2022-11-04T19:03:39.728Z,2022-11-05T09:04:02Z,3893568171,286,,3893568169,56,Center,3893568195,233,6,,,,,,,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481368011,103,61,1,0,19,8iawijq7s9s6d85mjz8wdslki,0,34.9,25.6,2022-11-04T19:03:39.792Z,2022-11-06T18:47:58Z,3894604511,178,,3893601341,56,Back,,,,,,,,,,,,,,,,,,,6rfm7p5go1lgv6ccdjqgpallh,O. Tannane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481557801,900,67,1,0,20,ears40cp6opsgvhsy0dgyszpd,1,65.9,71.4,2022-11-04T19:03:40.830Z,2022-11-06T18:47:59Z,3894628701,233,795,,,,,,,,,,,,,,,,,,,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481557799,795,67,1,0,20,8iawijq7s9s6d85mjz8wdslki,0,34.1,28.6,2022-11-04T19:03:40.831Z,2022-11-05T09:25:51Z,3894628705,233,900,,,,,,,,,,,,,,,,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361647,11,1,1,0,20,ears40cp6opsgvhsy0dgyszpd,1,66.7,72.3,2022-11-04T19:03:40.901Z,2022-11-06T18:47:59Z,3893568355,56,Center,3893601895,212,3.1,3893601897,213,1.7,3893601891,140,66.4,3894604639,178,,3893601893,141,76.9,,,,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
