id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value
2534452057,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-04-16T11:33:11.523Z,2023-04-16T12:44:45Z,4194669847,59,"1, 2, 5, 31, 4, 3, 7, 8, 9, 17, 10, 6, 12, 19, 20, 21, 22, 24, 27, 28, 33, 34",4194669845,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194669851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194669843,30,"7dg8woqlx67ch0ji3ujhgb52i, 8822s8ns7oyvjqade4oaxzg0l, a02jtmvlc1tlstvt96pa1hisq, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8ozlo6qrdavr86guhclwvh84q, 1sb4655mgzrdohlltyk9fqlzp, a21sngx9u0boxf3n6u5qbkdlh, c5jk0pvcvqddy0xiqv6qkesph, 5shfqpd5fj05qrp1jlzd08ftg, 3kbhgmnf6bhfgut0jxf4m2sfe, dbkr1w2xlwnyssid1tv0jlujt, f15kg1dhysflr9u8igyvhxkdm, emuhqfrh7daavple8wlrljhm1, 7qzban9gm72aznhn11qyxwtg4, 6jqn5grsuhuo5at81pzahr6xh, bdurpi6c2ipwtcuyndq0e6ve2, eayvrkzzkk0xu4c5rrxgzlroq, ecqjg6wtntf1guejvm10redck, ca8qw8jztjxwxuc2foa6dfckq, 8oetnmi8kejwwy37rhlelw2ne, 10ijtddqmzbhx3qtlhbyn4rca",4194669853,194,a21sngx9u0boxf3n6u5qbkdlh,4194929217,197,2840,4194669849,130,11,4194669855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534462989,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-04-16T11:45:17.503Z,2023-04-16T12:36:17Z,4194930665,197,16040,4194724879,59,"1, 3, 30, 15, 5, 22, 20, 23, 9, 27, 7, 6, 10, 11, 16, 21, 24, 28, 48, 53, 63",4194724881,130,4,4194724885,194,4drquvq035kmr2smvzph82bx1,4194724887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194724875,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 6yush35gfp1sgyyzicye73rp, 9uuk73i8obc7ji0dnan352nkl, 62n3xzxpwe2j317q24rh5wjpx, 1ph4g125dfsijfjzjpcvpcmlm, 21k54i5a6d9bi4f6gplgzxiw9, d4j19ipiaeuetyij08fofgs15, 4drquvq035kmr2smvzph82bx1, bx6j2y1hnu63lawn3rdoep1m2, exhxdmdq49xj4dnguq03qnlgq, 1abb1gcw7arw1nkbuxnccjca1, 7snt4uu7f2d0g7utjm2xfis8a, 3y9nm18as1wxhizq3fyazb2t, d5v47kueisvcjjz4f69m83sut, c8j50o9oqu2okdpjsr3nvnhsl, d9wjrxhmo0dlczkg0fpnf3e1h, 9vf02r3geinhsy732oxyrcacq, 7b0vbfxlv3uiozb19fcj2vsyy, e1islmeew98wa2ge0dicloay2, d9ewnngnsfc0s4hcs282hayhg",4194724883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194724877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505107,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-04-16T12:30:02.471Z,2023-04-16T12:30:04Z,4194938777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505101,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-04-16T12:30:02.471Z,2023-04-16T12:30:02Z,4194938765,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505153,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50,50,2023-04-16T12:30:02.571Z,2023-04-16T12:30:05Z,4194938925,212,16.5,4194938919,140,35.7,4194938929,213,3.6,4194938917,56,Back,4194938931,279,S,4194938921,141,40.1,,,,,,,bx6j2y1hnu63lawn3rdoep1m2,J. Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505195,4,1,1,0,3,24fvcruwqrqvqa3aonf8c3zuy,1,37.4,41.9,2023-04-16T12:30:05.567Z,2023-04-16T12:30:10Z,4194939145,155,,4194939147,56,Center,4194939151,141,67.5,4194939153,212,40.3,4194939155,213,0.4,4194939149,140,72.0,4194939157,1,,,,,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534568853,418,43,1,0,7,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-04-16T12:30:09.471Z,2023-04-16T13:26:00Z,4195271815,144,44,4195260631,285,0,4195260629,56,Back,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505201,5,61,1,0,7,24fvcruwqrqvqa3aonf8c3zuy,1,72,67.5,2023-04-16T12:30:10.261Z,2023-04-16T12:30:10Z,4194939177,56,Center,,,,,,,,,,,,,,,,,,,,,,4drquvq035kmr2smvzph82bx1,L. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505211,3,49,1,0,9,6g9qrm72224jrk6tkxxxi8a9n,1,24.5,32.7,2023-04-16T12:30:11.720Z,2023-04-16T13:24:22Z,,,,,,,,,,,,,,,,,,,,,,,,,5shfqpd5fj05qrp1jlzd08ftg,C. Twigt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505229,4,3,1,0,9,6g9qrm72224jrk6tkxxxi8a9n,1,27.8,33.4,2023-04-16T12:30:12.085Z,2023-04-16T13:24:25Z,4194939297,56,Back,4194939299,285,,4194939305,233,6,,,,,,,,,,,,,,,,5shfqpd5fj05qrp1jlzd08ftg,C. Twigt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
