id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,assist
2461303579,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-09-17T16:52:10.874Z,2022-09-17T18:06:28Z,3787146323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787471657,197,16938,3787146313,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3787146315,59,"1, 24, 16, 6, 15, 4, 8, 10, 9, 11, 7, 3, 5, 12, 14, 18, 21, 22, 27, 30, 31, 33, 39",3787146311,30,"7rvlba00jv66w7wtdmk178a95, ca5n8516u8m6c41u61bbjjbop, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 8ylvnl689iweg2r9d0ioj771m, 7r2ifipuieqiar5n00o2j5uj9, 9wgpudcet9m8doz9ezbjxzkrt, 426st78oi43eortpbfkuxw72t, cgsirikez39wlx8lhu1uo00yd, 4utb2o5c0e57kf0iwdavpzg15, 8jbjkt4wc1dmqaoxn76mct84q, 4736oz9r0evpmkd3qumivl239, tv8e6nxc7jl8wbzf6ojd6dw5, ail0unvzd0b9ur7j0l8hk0y51, ae7ij4u0xy9iru6qvdw2i9fu2, dzs8vty5afl2y7ddjh3ausclx, 7pz3qz589b7v3pkb9h0hv73l5, 5yi3d29esiydx9zsuhap1wnx0, eyx1wga1fue6lb5a0ak5f32i2, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, blzp9qbpturqntnisbkg0ddlg, c6ufljjgl050g9xn7e9ma7hg4",3787146319,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787146321,194,3u2783a9ukglf8yg3dere8wve,3787146317,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461319991,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-09-17T17:11:58.987Z,2022-09-17T18:08:00Z,3787231285,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3787231289,130,10,3787231287,59,"1, 2, 5, 24, 4, 23, 11, 6, 7, 29, 14, 8, 9, 10, 12, 17, 19, 21, 26, 31, 33, 34, 35",3787231295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787231291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787466963,197,534,3787231283,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, 93cf9npj6wl6vrxw7hetf6ok5, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, e8wfxueczkhrj92rytelw5vx1, dbg4ducw8j747foxiexle1iad, aoucm7e5muqfucbv1g4e8hh49, btfanvej91yogqzfml4vmsmei, b1o6ctqy1mhjg4iiec8aedat, cibkxflm2k8if2jg9m5lpxkut, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, w32h1te98uqq53j053qm3pm2, 4qkidkwzrdd33qa9ch7e7ajxm, b23be312oxcbusvpjnnriukq2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",3787231293,194,e8wfxueczkhrj92rytelw5vx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363783,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-09-17T18:00:59.894Z,2022-09-19T06:02:29Z,3787475521,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363797,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-09-17T18:00:59.894Z,2022-09-17T18:01:02Z,3787475599,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363811,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,50.3,50,2022-09-17T18:00:59.907Z,2022-09-19T08:22:44Z,3787475687,279,S,3787475681,212,30.5,3787475673,56,Back,3787475679,141,45.2,3787475675,140,21.4,3793408091,178,,3787475683,213,3.2,,,,93cf9npj6wl6vrxw7hetf6ok5,I. Bel Hassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363839,4,1,1,0,3,ed5nwjz5za3oyi20nxzgqivmx,1,21.5,45.2,2022-09-17T18:01:03.183Z,2022-09-19T08:22:58Z,3787475829,213,5.8,3787475821,56,Right,3787475825,141,10.0,3787475833,1,,3787475819,157,,3793408295,178,,3787475827,212,51.7,3787475823,140,65.1,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363851,5,44,1,0,6,ed5nwjz5za3oyi20nxzgqivmx,1,66,7.4,2022-09-17T18:01:05.969Z,2022-09-19T09:30:47Z,3787475907,286,,3787475913,233,3,3787475905,56,Right,,,,,,,,,,,,,,,,e8wfxueczkhrj92rytelw5vx1,M. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363835,3,44,1,0,6,ears40cp6opsgvhsy0dgyszpd,0,34,92.6,2022-09-17T18:01:05.970Z,2022-09-19T08:23:14Z,3787475917,233,5,3787475809,285,,3787475807,56,Back,,,,,,,,,,,,,,,,426st78oi43eortpbfkuxw72t,M. Paulissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363857,6,1,1,0,6,ed5nwjz5za3oyi20nxzgqivmx,1,65.3,9.7,2022-09-17T18:01:06.059Z,2022-09-19T09:30:48Z,3787475937,3,,3793408401,388,,3787475939,168,,3787475947,212,7.3,3787475941,56,Right,3787475945,141,12.5,3787475949,213,0.3,3787475943,140,72.0,e8wfxueczkhrj92rytelw5vx1,M. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363861,7,1,1,0,8,ed5nwjz5za3oyi20nxzgqivmx,0,70.4,12.7,2022-09-17T18:01:08.355Z,2022-09-19T08:23:25Z,3793408681,178,,3787475959,56,Right,3787475965,212,4.8,3787475961,140,67.1,3787475967,213,2.4,3787475963,141,17.5,,,,,,,a0i7hc92p5ijqi4jqw8krh8x6,Julen Lobete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
