id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2478935227,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-10-29T15:48:31.097Z,2022-10-29T16:47:28Z,3880806861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880806869,194,e8zpc22dwlmgkkwoqpgwxsn2t,3880806867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881060971,197,2359,3880806859,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 8n9t52eeli3s39r8ujjhjt7je, 5gs7jd1eigk4jisxbr9a1yvp, e8zpc22dwlmgkkwoqpgwxsn2t, tgu7kztdu9azmvirwu8rrip6, 723av2redj2ej6livx0g81wwl, 6q77vt9bp8dsq48pa97mfzsa1, 7jpreaads35pnnfqbn7hmrmy, 2nwthqvbk70e2qo35dgp35979, eqt598wenyzrxdl5y39ejab8q, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, ubuh5wgnl0o5bn3wirdmectm, 4cbhx91p3l265b2cejzd07gbu, 49pcpdulrofklvwsde6ohkkq, 673xny9ozqe978emdytscm5pm, 5bm516z74pbsyfemsathj3umt, 5iyutg9qg6bfnwuieghj5wktm, 6ovzd9akutufagsd8kmxmsei2, cixzy9hl7ks4maugc5zc9ievp",3880806865,130,8,3880806871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880806863,59,"1, 2, 5, 6, 3, 4, 11, 8, 9, 10, 7, 13, 30, 15, 14, 16, 20, 18, 19, 17, 21, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478935337,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-29T15:48:34.379Z,2022-10-29T16:51:29Z,3880807543,130,8,3880807545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880807547,194,atbvv2os8m7nfs0p128w5a6l1,3880807549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880807541,59,"31, 12, 5, 19, 2, 33, 77, 15, 17, 10, 7, 1, 4, 8, 11, 14, 18, 21, 22, 34, 61, 85",3881100081,197,9418,3880807537,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 9trasqdd75zjxz4kzplb64xjp, 51b7kbz09togoaueykwbm385, 7t19aebk75lrt41hmclk18mhh, 71gwdg60saiwwwnnv6is52may, bznrsqachpfr9l2wnfjy8samt, 8rqula41yqtbwycgemsw9ixud, atbvv2os8m7nfs0p128w5a6l1, 4tc5741xue1eigwcu4t7qtuc5, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 6pgcyaivg3sjcm6jju4nn3omi, 3jkzywsfc2vjq3h1kqdhhl2hh, 9fpb7g8ij9dqtuqhnimy5fap5, 3momlsgsh0o7u40ydp2f2ocbu, cozhhgt0jbcuu4wdxf1pwjkyd, 3fzqjtehxr65c2xfyytws30q2, emrt1s5yfgtex867u98gbt0fe, 6o2tffdjtdueojbhahe3w66i2, 8qqyo9093i0wtapxq219wjzzd",3880807539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478989999,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-10-29T16:47:08.805Z,2022-10-31T06:52:14Z,3881097505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478989993,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-29T16:47:08.805Z,2022-10-29T16:47:09Z,3881097493,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990057,3,1,1,0,0,3ebril33e08ddzob4bhq8awsr,1,49.9,50.5,2022-10-29T16:47:08.946Z,2022-10-31T09:40:28Z,3881097785,212,15.6,3881097783,141,50.5,3886267605,178,,3881097781,140,35.0,3881097779,56,Back,3881097789,279,S,3881097787,213,3.1,,,,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990113,4,1,1,0,3,3ebril33e08ddzob4bhq8awsr,1,35.5,49.3,2022-10-29T16:47:11.856Z,2022-10-31T09:40:32Z,3881098131,141,38.5,3881098135,213,3.9,3886267645,178,,3881098129,140,28.6,3881098127,56,Back,3881098133,212,10.3,,,,,,,9trasqdd75zjxz4kzplb64xjp,A. Ferati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990181,5,1,1,0,6,3ebril33e08ddzob4bhq8awsr,1,28.2,35.9,2022-10-29T16:47:15.362Z,2022-10-31T09:40:34Z,3881098461,155,,3881098473,1,,3881098469,212,35.9,3881098467,141,18.8,3886267689,178,,3881098465,140,60.5,3881098463,56,Right,3881098471,213,6.0,51b7kbz09togoaueykwbm385,Ximo Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990189,6,44,1,0,9,3ebril33e08ddzob4bhq8awsr,1,68.2,13.9,2022-10-29T16:47:17.880Z,2022-10-31T11:47:45Z,3881098495,56,Right,3881098533,233,3,3881098497,286,,,,,,,,,,,,,,,,,71gwdg60saiwwwnnv6is52may,T. Noslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990195,3,44,1,0,9,89w5c6pw7vn0dxypi61tt0g4k,0,31.8,86.1,2022-10-29T16:47:17.881Z,2022-10-31T09:40:38Z,3881098519,285,,3881098517,56,Back,3881098573,233,6,,,,,,,,,,,,,,,,5el82g04yvl9ai8ws8pxbvaad,M. Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478990209,7,1,1,0,9,3ebril33e08ddzob4bhq8awsr,0,60.5,18.8,2022-10-29T16:47:17.913Z,2022-10-31T11:47:45Z,3881098597,56,Center,3881098605,213,0.4,3881098593,3,,3886267837,388,,3881098599,140,75.9,3881098603,212,17.6,3881098595,168,,3881098601,141,29.1,71gwdg60saiwwwnnv6is52may,T. Noslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
