id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2526807545,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-04-01T17:54:11.641Z,2023-04-01T18:57:11Z,4153986523,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, evexihkozqignope6k57tjgt1, 9787nemt11c372uird332d13p, 8przxwwothu3crflys7ahl4dm, b23be312oxcbusvpjnnriukq2, dbg4ducw8j747foxiexle1iad, e8wfxueczkhrj92rytelw5vx1, b1o6ctqy1mhjg4iiec8aedat, atbvv2os8m7nfs0p128w5a6l1, a0i7hc92p5ijqi4jqw8krh8x6, aoucm7e5muqfucbv1g4e8hh49, btfanvej91yogqzfml4vmsmei, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, arahlffwma11d06oqmglwjemt, w32h1te98uqq53j053qm3pm2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",4153986533,194,7wo4627xo1mx5k0vpwhe8hqll,4153986535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153986527,59,"1, 2, 5, 6, 23, 4, 33, 14, 29, 10, 20, 7, 8, 9, 13, 15, 17, 21, 22, 24, 26, 34, 35",4153986525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4153986529,130,4,4153986531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154307035,197,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526809507,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-04-01T17:57:43.779Z,2023-04-01T19:06:03Z,4153997349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153997341,59,"16, 3, 13, 20, 6, 29, 42, 8, 14, 15, 17, 2, 9, 10, 18, 22, 24, 25, 26, 27, 33, 35, 53",4153997353,194,98fjpfhrww2qdifsi8viybaol,4153997355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153997335,30,"84yhv0iilunn0vllz1r5fe7l5, cgsmk5437f466uoqvol7devze, eqjelc731e1xrp95bpysx0pka, d8cxurdt9g5gezqlfwae7ooru, 2ez3q7gik3lm5kp1cunfol52h, cb8pu5lenbczaooavhaxnzp3p, czh4r9efdbw4fvdux0enl127e, 4ecptuxoyx485mmhrubuscgyd, 9bzwr8qhl6547tjrsjsity4x6, 98fjpfhrww2qdifsi8viybaol, dvof4p3jx1gi6i9uelbmudl62, d3qx3gwypipcl2azrj9ing9ud, b2uznyb9b8fxsy57450mbmwru, 4212luiyivgvje1vm1ojieicq, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, 30t0ph1icrggc0x62om801ses, dotvgi9g50m2axfw4isamd1ck, 1txv3b9y7h3du9d5bbblg0vai, 3hhca66jtxt3c1iw10nfmhtnu, cynuwabb849am6ml1b70yr55h, 45vh3c99keqayr9hj0r6x0ei2",4153997337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4154316009,197,16860,4153997345,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867097,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-04-01T19:00:57.519Z,2023-04-02T15:58:25Z,4154319185,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867107,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-04-01T19:00:57.519Z,2023-04-01T19:00:58Z,4154319239,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867151,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50.3,50.4,2023-04-01T19:00:57.645Z,2023-04-02T16:02:52Z,4154319473,141,53.6,4154319477,212,18.5,4154319467,56,Back,4154319479,213,3.0,4154319483,279,S,4154319469,140,32.8,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867287,4,1,1,0,3,6hsriqr3ybvyg94w2k19oal50,0,32.8,54,2023-04-01T19:01:01.409Z,2023-04-01T19:01:53Z,4154320171,56,Center,4154320169,155,,4154320179,213,0.2,4154320173,140,100.0,4154320181,1,,4154320175,141,77.4,4154320177,212,73.3,,,,2ez3q7gik3lm5kp1cunfol52h,D. Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867239,3,5,1,0,7,ed5nwjz5za3oyi20nxzgqivmx,1,-1.1,21.8,2023-04-01T19:01:05.474Z,2023-04-01T19:01:08Z,4154319915,346,,4154319911,56,Back,4154320255,233,5,,,,,,,,,,,,,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867297,5,5,1,0,7,6hsriqr3ybvyg94w2k19oal50,0,101.1,78.2,2023-04-01T19:01:05.474Z,2023-04-01T20:01:58Z,4154320213,346,,4154320301,233,3,4154320211,56,Center,,,,,,,,,,,,,,,,cb8pu5lenbczaooavhaxnzp3p,N. Isimat-Mirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867473,4,1,1,0,18,ed5nwjz5za3oyi20nxzgqivmx,1,4,50.4,2023-04-01T19:01:15.875Z,2023-04-01T19:01:19Z,4154321109,56,Back,4154321121,213,6.2,4154321115,212,10.2,4154321131,237,,4154321113,141,48.9,4154321107,124,,4154321111,140,13.7,,,,7wo4627xo1mx5k0vpwhe8hqll,E. Vaessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526867513,5,1,1,0,22,ed5nwjz5za3oyi20nxzgqivmx,1,26.1,49.8,2023-04-01T19:01:19.842Z,2023-04-01T19:09:07Z,4154321309,141,61.3,4154321317,213,2.0,4154321301,56,Back,4154321313,212,8.7,4154321305,140,22.4,,,,,,,,,,9787nemt11c372uird332d13p,J. Gaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
