id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2457530063,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-09-09T16:56:24.193Z,2022-09-09T18:41:19Z,3767218675,197,2840,3767107657,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, e3akocgpppdty3ayxty1gf6xh, c9epkro6fot3km9zak1kswfhm, dbkr1w2xlwnyssid1tv0jlujt, 3kbhgmnf6bhfgut0jxf4m2sfe, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 3dc82sro077by40u3qdmhw0r9, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, nw48ayorxrpxwcxbdhxy44k4, eayvrkzzkk0xu4c5rrxgzlroq, 792zq4joba1qgt0lusvrjantg, 8oetnmi8kejwwy37rhlelw2ne, 10ijtddqmzbhx3qtlhbyn4rca",3767107661,59,"1, 3, 5, 4, 31, 6, 10, 8, 21, 11, 7, 9, 15, 16, 20, 22, 23, 24, 25, 33, 34",3767107667,194,e3akocgpppdty3ayxty1gf6xh,3767107663,130,4,3767107665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767107669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767107659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457531417,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-09-09T17:00:26.825Z,2022-09-09T17:42:42Z,3767113793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767113795,194,6ydojoa3581jgszpjqj7i8zpx,3767113787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3767199635,197,11977,3767113789,59,"1, 2, 5, 21, 6, 26, 8, 10, 9, 11, 23, 33, 3, 14, 16, 17, 18, 19, 20, 22, 25",3767113785,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 6ydojoa3581jgszpjqj7i8zpx, 5n65xhwbd6dm3uynl4h7k920a, 7nfr8xuo637qma7ovxx4r9fmy, aq8emkcjejbav0fys17iqv2ll, 9d4lofwg9ooaoldw2vpt4h36y, dtglxu78mwbkvog0jnusmdc5x, hxqybxg5578sgx0gx5qb834l, 7lpwkpwfw656re3pymntslv55, 7dkhv2l8y6jq20l1dc2ye17je, 7uiun3ak4fveljpb3lsdypxx, 2ekx0fvuf0dsat062oj430d05, 8jldtmgqls9vc5ks6zxw30iui, 8qrsqp9qqvb0jdynpgsnifai1, 8j8encc4aqkh07ydce6hiaokp, 5dbx86ca2t7dae8b3t69atii1, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, 90vny1388bdhx8103lp9njac4",3767113791,130,2,3767113797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553705,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-09-09T18:00:13.291Z,2022-09-11T08:31:11Z,3767230445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553697,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-09-09T18:00:13.291Z,2022-09-09T18:00:13Z,3767230421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553723,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,50,50,2022-09-09T18:00:13.384Z,2022-09-11T09:13:50Z,3767230513,56,Back,3767230523,279,S,3767230515,140,32.8,3767230519,212,18.1,3772583375,178,,3767230517,141,51.0,3767230521,213,3.1,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553735,4,1,1,0,1,b79uipsy57y1jqpy07h4i5ovk,0,35.4,49.3,2022-09-09T18:00:15.045Z,2022-09-11T09:13:50Z,3767230605,1,,3767230597,140,86.2,3768726443,157,,3767230603,213,5.9,3767230599,141,13.5,3767230595,56,Right,3767230601,212,58.6,3772583395,178,,aq8emkcjejbav0fys17iqv2ll,J. Bakker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553749,3,1,1,0,5,6g9qrm72224jrk6tkxxxi8a9n,0,14.7,82.2,2022-09-09T18:00:18.786Z,2022-09-11T09:13:50Z,3767230667,140,27.5,3767230671,212,13.5,3767230663,3,,3767230673,213,6.2,3772583413,388,,3767230665,56,Back,3767230669,141,81.4,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553755,5,1,1,0,7,b79uipsy57y1jqpy07h4i5ovk,0,66.3,10.6,2022-09-09T18:00:20.788Z,2022-09-11T09:13:51Z,3767230693,141,32.4,3767230695,212,16.0,3767230687,3,,3772583419,388,,3767230689,56,Center,3767230697,213,1.2,3767230691,140,72.0,,,,9d4lofwg9ooaoldw2vpt4h36y,E. Linthorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553791,4,1,1,0,9,6g9qrm72224jrk6tkxxxi8a9n,0,25.5,73.6,2022-09-09T18:00:22.634Z,2022-09-11T09:15:53Z,3767230837,141,54.2,3767230831,157,,3767230843,1,,3772586487,178,,3767230841,213,5.9,3767230839,212,39.9,3767230835,140,61.4,3767230833,56,Center,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457553833,6,4,1,0,12,b79uipsy57y1jqpy07h4i5ovk,1,46.4,38.8,2022-09-09T18:00:26.092Z,2022-09-11T09:15:59Z,3767231057,13,,3767231061,56,Back,3767231065,286,,3767231069,233,5,3767231059,294,,3767231063,152,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
