id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/8/value,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472963751,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-10-16T14:07:28.098Z,2022-10-16T15:04:06Z,3849214969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849214961,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ayqy2vql1oumokqly9ahfrnx1, a2zavv31d2aadyddk0kjttdgq, 8ymqihdfqc7esda7y407lebx1, 42cg746sa90jla5x4islj9pwq, 6zzcoo9k4ebqtlux49rbb5fro, 2w7xspkzg7b9ghl20me202ove, 7jgtmmk4b2bgn0syidj6ve7kl, 1t7nph4960rjzu7rgi47sf8ix, ad2qplv0aa66l11ipq6yh0hd5, 33yauarx84sam5u05vgyqxfxl, f3h1bxnw3fq8m10ck132bic4p, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, 19wuvqpmewphgvsfzi4yjl756",3849214971,194,7jgtmmk4b2bgn0syidj6ve7kl,3849214965,59,"12, 3, 5, 10, 31, 22, 6, 8, 7, 2, 11, 1, 13, 14, 17, 19, 23, 25, 28, 32, 34, 39",3849467209,197,460,3849214967,130,4,3849214973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849214963,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472967777,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-10-16T14:10:23.236Z,2022-10-16T14:52:57Z,3849236269,194,5bjdj7hrhuxjbsa8wc1kw42c5,3849236259,30,"9pgr69ub37hmr76gwbfw7lhw5, e6xexn53yyoxmdt5naduyx8bu, 1vyh50nfaq2kq5pmivpkc1psl, 4yyekuopwb7otz18rqfgwjht5, 5bjdj7hrhuxjbsa8wc1kw42c5, bnar4f48vnx4oaz2lzch48es5, djbw3afgcgkbq22soig0xsjfu, e5xuwwa4qs6zxjd7y52tslih, aboxil79ulfa73pckzsdnwp62, 504o2odlvra056ouwcgreopgp, dy8wa8cciiae72q2ynm80rlcl, a8cgbwioykhqztfjgztfn7dud, 4j5hfebi948ggjwexpndrub1m, e0cy0gwf04lohf0xjef0af8fe, dux0skggr99ydjz3kn58p3wmh, 672cwl9zj2d6lce6jda350vvu, 909y6bbt3ht52rsu560ua5gid, 11ceernyer8po8soj8dmygatx, 1957std7hji9ca7bd29y8at7u, 7d8qc47gy4mb9mo67e1ic448a, 5vsr5aylntbln91iqj7vh5duy, 4fcjml5xkrwp4jykruzrzub1m, 6coor7jll29drx4kgvyt499wq",3849236265,130,4,3849236261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849236271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849236267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849457779,197,17162,3849236263,59,"1, 2, 33, 4, 18, 6, 10, 8, 29, 17, 11, 7, 9, 14, 15, 20, 21, 22, 23, 24, 30, 19, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473012885,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-10-16T14:46:01.083Z,2022-10-18T07:01:23Z,3849475875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473012861,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-10-16T14:46:01.083Z,2022-10-16T14:46:01Z,3849475737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473012973,3,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,50.1,50.1,2022-10-16T14:46:01.174Z,2022-10-18T08:34:26Z,3853380041,178,,3849476337,56,Back,3849476345,213,2.8,3849476341,141,60.6,3849476347,279,S,3849476339,140,28.1,3849476343,212,24.2,,,,djbw3afgcgkbq22soig0xsjfu,O. Kökçü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473013045,4,1,1,0,2,20vymiy7bo8wkyxai3ew494fz,1,28.3,59,2022-10-16T14:46:03.866Z,2022-10-18T08:34:48Z,3849476717,141,18.2,3853380455,178,,3849476713,56,Back,3849476721,213,4.9,3849476719,212,28.1,3849476715,140,32.3,,,,,,,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473013059,5,1,1,0,5,20vymiy7bo8wkyxai3ew494fz,0,32.6,17.9,2022-10-16T14:46:06.926Z,2022-10-18T08:34:54Z,3849476807,141,31.8,3853380555,178,,3849476813,1,,3849476803,56,Center,3849476811,213,0.2,3849476809,212,39.5,3849476805,140,69.1,3849476799,155,,5bjdj7hrhuxjbsa8wc1kw42c5,G. Trauner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473013097,3,1,1,0,8,3kfktv64h7kg7zryax1wktr5r,1,29.8,54.8,2022-10-16T14:46:09.149Z,2022-10-18T08:35:05Z,3849477001,140,51.8,3849477005,212,23.3,3853380703,178,,3849476997,3,,3849477003,141,50.9,3849476999,56,Center,3849477007,213,6.2,,,,6zzcoo9k4ebqtlux49rbb5fro,M. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473013409,4,1,1,0,10,3kfktv64h7kg7zryax1wktr5r,0,56.5,64.2,2022-10-16T14:46:11.137Z,2022-10-18T08:35:11Z,3849478765,3,,3849478769,56,Left,3849478779,212,15.2,3849478783,213,1.4,3849478773,140,58.8,3853380803,388,,3849478777,141,86.2,,,,8ymqihdfqc7esda7y407lebx1,D. de Wit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473013171,6,1,1,0,11,20vymiy7bo8wkyxai3ew494fz,1,39.7,11,2022-10-16T14:46:12.959Z,2022-10-18T08:35:15Z,3853380869,178,,3849477463,140,29.2,3849477467,212,15.4,3849477461,56,Back,3849477465,141,26.8,3849477469,213,2.4,,,,,,,504o2odlvra056ouwcgreopgp,S. Szymański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
