id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value
2484586349,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-11-12T14:44:36.613Z,2022-11-12T15:28:42Z,3910388771,130,3,3910388777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910388775,194,1s7vp9ovsa1jo7tu7nisykn9x,3910388773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910775015,197,16382,3910388765,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, ely6vpyueden4b6ozfmspwgk5, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, eu6pfkiah7otafyryg6ll7y09, 4rp5snknt88bf4lws5t0o9gph, 395y7yj6o1xwr6uaxs4sjnjdh, 6mjm5cwe46jhi3wwpf1icf65l, 28o7vv0jud22hmg4h649yozqh, 6gabdz53gxhyp8dv6x5the4t1, b33sm106xc7g3h4bcqtawja7e, 9uf4fsff2lpic3u0l7zpuqsid, 6lyedmu2vuf7jig3jmhz9b4ve, c1krps0yssh477m8umrruiqjt, 3mp92d5s002hi523kl4zmgrft, 4octqavtgpv5u1rnpss898nah, 4ooliltsht8mvelpds3v4bpat, 790v7fu7f2s40e160mlrb6dt6",3910388769,59,"1, 17, 2, 18, 33, 27, 8, 22, 28, 7, 10, 5, 6, 14, 15, 16, 26, 29, 30, 32",3910388767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484589115,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-11-12T14:47:14.259Z,2022-11-12T15:27:59Z,3910402933,194,e3akocgpppdty3ayxty1gf6xh,3910402935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910765897,197,2840,3910402931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3910402925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3910402923,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, 3kbhgmnf6bhfgut0jxf4m2sfe, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8822s8ns7oyvjqade4oaxzg0l, a21sngx9u0boxf3n6u5qbkdlh, 792zq4joba1qgt0lusvrjantg, 3dc82sro077by40u3qdmhw0r9, 10ijtddqmzbhx3qtlhbyn4rca, dbkr1w2xlwnyssid1tv0jlujt, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, bdurpi6c2ipwtcuyndq0e6ve2, 8oetnmi8kejwwy37rhlelw2ne, drbhndjayqwxzri7gfbd4zt3o",3910402929,130,4,3910402927,59,"1, 3, 5, 10, 31, 4, 2, 8, 25, 11, 34, 6, 7, 9, 15, 16, 22, 33, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666145,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-11-12T15:31:25.948Z,2022-11-12T15:31:29Z,3910807443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666121,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-11-12T15:31:25.948Z,2022-11-14T06:37:34Z,3910807297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666251,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50.2,49.9,2022-11-12T15:31:25.990Z,2022-11-14T11:50:00Z,3910808173,213,3.2,3910808175,279,S,3910808171,212,15.7,3910808167,140,35.3,3910808169,141,48.8,3910808165,56,Back,3916635077,178,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666331,4,1,1,0,2,6g9qrm72224jrk6tkxxxi8a9n,0,36.4,47.5,2022-11-12T15:31:28.657Z,2022-11-14T11:50:02Z,3910808595,1,,3910808581,140,75.2,3910808587,212,52.8,3910808577,155,,3910808591,213,5.6,3910808579,56,Right,3910808585,141,0.0,3916635195,178,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666565,3,5,1,0,6,ccpscwdcm65czscrun048ecn5,1,23.8,101.8,2022-11-12T15:31:32.213Z,2022-11-14T11:50:09Z,3910809863,347,,3910809861,56,Back,3910809903,233,5,,,,,,,,,,,,,,,,6mjm5cwe46jhi3wwpf1icf65l,D. Redan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666351,5,5,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,0,76.2,-1.8,2022-11-12T15:31:32.213Z,2022-11-14T11:50:10Z,3910810009,233,3,3910808691,347,,3910808689,56,Right,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666641,4,1,1,0,12,ccpscwdcm65czscrun048ecn5,1,23.6,100,2022-11-12T15:31:38.820Z,2022-11-14T11:50:12Z,3910810281,212,18.8,3910810273,107,,3910810275,56,Back,3910810279,141,80.5,3910810277,140,35.0,3910810283,213,5.4,,,,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484666653,5,1,1,0,14,ccpscwdcm65czscrun048ecn5,0,44.9,83.9,2022-11-12T15:31:40.693Z,2022-11-14T11:50:14Z,3910810365,213,5.1,3910810363,212,4.1,3910810357,56,Back,3910810359,140,46.4,3916635613,388,,3910810361,141,78.3,3910810353,3,,3910810355,168,,4rp5snknt88bf4lws5t0o9gph,S. van de Streek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
