id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/17/value,qualifier/9/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2506585889,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-11T19:05:32.667Z,2023-02-11T20:09:36Z,4026250603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026250591,30,"5gnywqecwvt5yxied85hu4x2i, cozhhgt0jbcuu4wdxf1pwjkyd, 6o2tffdjtdueojbhahe3w66i2, 9trasqdd75zjxz4kzplb64xjp, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, cnexf6pdh1piheuuqzrbb1t61, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, 8qqyo9093i0wtapxq219wjzzd, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, b2h6iojtnu8rzb81vw4rbfrop, 5fnmjp63t7m9fg3y2fcw6z015, 3jkzywsfc2vjq3h1kqdhhl2hh, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 51x91drkirjxaclsm8iv6nm96, 71gwdg60saiwwwnnv6is52may",4026250599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026250595,59,"31, 21, 61, 19, 14, 33, 7, 8, 17, 15, 85, 1, 4, 5, 6, 11, 22, 29, 34, 55, 74, 77",4026471665,197,17197,4026250593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4026250601,194,8rqula41yqtbwycgemsw9ixud,4026250597,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506586443,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-02-11T19:06:10.707Z,2023-02-11T21:01:49Z,4026253359,194,9fkdgor4mv7f8eqz65ugnnydx,4026253349,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, eytcfp4cu6qkar65kf0p5rm96, 6ciggfx8p0zkak8qxe1p7yzth, ait187bpr8we72jvfxxt6ttjp, 9fkdgor4mv7f8eqz65ugnnydx, 49x98sk3wf7sjshrlou5vnvje, 7myeigeuggkj5ymjw6znedkut, 7wphtxp293kv4o3x1b6zusrmd, 1i3tivo0q0tbzui8egvdlhg45, ix6hcbfujuw3mgefzpsnp2zu, 3kt58x082lj8650en2mt60xqt, e605oixdrqumxkqm0y1bijbvt, 4l8n194otkmyc3op4u111l5n9, 4iurx3g3hajlatv5gcxsqwm7e, ekltvbrx114dg6b2wj3lpwy96, 2pjxqgyqgvalmyu8cnu5fst90, cqrk42u0s5w8yuq6mnckug02y, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp, 55e0z1vhb48go6y2io7h80aqy",4026253351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4026253353,59,"32, 34, 24, 2, 17, 5, 8, 23, 9, 10, 57, 1, 11, 13, 14, 16, 19, 20, 27, 29, 77",4026475433,197,2846,4026253357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026253355,130,9,4026253361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631347,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-02-11T20:02:11.922Z,2023-02-12T12:29:58Z,4026483891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631341,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-11T20:02:11.922Z,2023-02-11T20:02:12Z,4026483867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631357,3,1,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,50,50,2023-02-11T20:02:11.930Z,2023-02-13T19:13:11Z,4031227631,178,,4026483951,213,2.7,4026483949,212,25.3,4026483945,140,28.0,4026483953,279,S,4026483947,141,65.3,4026483943,56,Back,,,,7wphtxp293kv4o3x1b6zusrmd,R. Živković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631391,4,1,1,0,2,3t0vjqtxc8wpjzv82i3oi2ova,1,28,65.3,2023-02-11T20:02:14.788Z,2023-02-13T19:13:19Z,4026484071,212,23.1,4031228091,178,,4026484069,141,31.4,4026484065,56,Back,4026484073,213,4.7,4026484067,140,27.2,,,,,,,9fkdgor4mv7f8eqz65ugnnydx,M. Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631401,5,1,1,0,5,3t0vjqtxc8wpjzv82i3oi2ova,1,27.5,27.7,2023-02-11T20:02:17.886Z,2023-02-13T19:13:27Z,4026484115,140,29.7,4026484117,141,4.9,4026484113,56,Back,4031228333,178,,4026484121,213,4.9,4026484119,212,15.7,,,,,,,ait187bpr8we72jvfxxt6ttjp,M. te Wierik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631411,6,1,1,0,7,3t0vjqtxc8wpjzv82i3oi2ova,0,30.6,4.2,2023-02-11T20:02:19.048Z,2023-02-13T19:13:41Z,4026484153,155,,4026484157,140,56.0,4026484161,212,33.2,4026484155,56,Center,4026484163,213,0.6,4026484159,141,33.4,4031228761,178,,4026484165,1,,2gonj4ylypwritcayysoqj3hm,M. Bouchouari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631463,3,49,1,0,8,3ebril33e08ddzob4bhq8awsr,1,52.6,67.8,2023-02-11T20:02:20.484Z,2023-02-13T19:13:54Z,,,,,,,,,,,,,,,,,,,,,,,,,9trasqdd75zjxz4kzplb64xjp,A. Ferati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631493,4,1,1,0,10,3ebril33e08ddzob4bhq8awsr,1,52.6,67.8,2023-02-11T20:02:22.132Z,2023-02-13T19:14:03Z,4026484587,140,90.1,4031229657,178,,4026484583,155,,4026484591,212,41.8,4026484585,56,Left,4026484589,141,88.4,4026484595,1,,4026484593,213,0.3,9trasqdd75zjxz4kzplb64xjp,A. Ferati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
