id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/value,qualifier/14/value,assist
2509438903,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-02-18T18:53:07.698Z,2023-02-18T20:05:55Z,4041300001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041299989,30,"11ceernyer8po8soj8dmygatx, e6xexn53yyoxmdt5naduyx8bu, 4fcjml5xkrwp4jykruzrzub1m, e5xuwwa4qs6zxjd7y52tslih, 4yyekuopwb7otz18rqfgwjht5, 1vyh50nfaq2kq5pmivpkc1psl, a8cgbwioykhqztfjgztfn7dud, 672cwl9zj2d6lce6jda350vvu, aboxil79ulfa73pckzsdnwp62, dy8wa8cciiae72q2ynm80rlcl, a89554tzfy4nfxrycpr2z0xjp, bnar4f48vnx4oaz2lzch48es5, 4j5hfebi948ggjwexpndrub1m, e0cy0gwf04lohf0xjef0af8fe, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 1qjf9el1a3ct17cb9epxz8xgq, 2fbolmn7pyvn5oto4zoeqguwa, 5vsr5aylntbln91iqj7vh5duy, cec6shf8ln2n1dibq00ez84yc, 961rxtkdbimo36qyjsjuwmj56",4041299997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041299991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041299999,194,4yyekuopwb7otz18rqfgwjht5,4041590673,197,469,4041299995,130,8,4041299993,59,"22, 2, 5, 8, 4, 33, 7, 20, 29, 11, 26, 6, 9, 14, 15, 21, 25, 28, 30, 48, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509441901,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-02-18T18:59:32.902Z,2023-02-18T20:04:52Z,4041315289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041315275,30,"7udphhcokm6vralyz5gkovxsl, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 7jgtmmk4b2bgn0syidj6ve7kl, 9lixevzo8exxiia17altfw8ic, ayqy2vql1oumokqly9ahfrnx1, 7jpreaads35pnnfqbn7hmrmy, 2w7xspkzg7b9ghl20me202ove, 7sd87ylfbtgwgpb70hf68cel1, 1t7nph4960rjzu7rgi47sf8ix, 33yauarx84sam5u05vgyqxfxl, 2p6h6ivyzp1fzsayw7r2xn2dx, b8vbhw29ucubzzmgv0nge1omh, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, 7wrulbqqdeecd5vegsbb1905w",4041315281,130,8,4041315279,59,"1, 2, 5, 8, 46, 3, 16, 6, 9, 7, 11, 12, 14, 17, 19, 23, 28, 32, 34, 45",4041592383,197,17703,4041315285,194,7jgtmmk4b2bgn0syidj6ve7kl,4041315277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041315283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494681,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-02-18T20:03:19.851Z,2023-02-18T20:03:21Z,4041600223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494671,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-02-18T20:03:19.851Z,2023-02-20T11:12:35Z,4041600181,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494697,3,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,49.9,49.9,2023-02-18T20:03:19.942Z,2023-02-21T03:43:53Z,4041600327,279,S,4041600321,141,49.7,4041600325,213,3.1,4041600317,56,Back,4041600319,140,30.5,4047115975,178,,4041600323,212,20.4,,,,aboxil79ulfa73pckzsdnwp62,S. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494733,4,1,1,0,3,20vymiy7bo8wkyxai3ew494fz,1,31.5,48.9,2023-02-18T20:03:23.120Z,2023-02-21T03:43:56Z,4041600489,140,68.8,4041600497,1,,4047116001,178,,4041600487,56,Right,4041600491,141,6.4,4041600495,213,5.6,4041600493,212,48.7,4041600485,155,,1vyh50nfaq2kq5pmivpkc1psl,D. Hancko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494765,5,1,1,0,6,20vymiy7bo8wkyxai3ew494fz,1,69.4,6,2023-02-18T20:03:26.341Z,2023-02-21T03:44:00Z,4041600691,212,11.0,4047116023,388,,4041600687,140,77.3,4044219253,3,,4041600689,141,16.6,4041600685,56,Right,4041600693,213,0.7,,,,a8cgbwioykhqztfjgztfn7dud,A. Jahanbakhsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494769,6,1,1,0,8,20vymiy7bo8wkyxai3ew494fz,1,79.2,12.4,2023-02-18T20:03:28.631Z,2023-02-21T03:44:05Z,4041603647,140,69.5,4041603649,141,6.9,4041603653,213,3.5,4047116055,178,,4041600713,56,Right,4041603651,212,10.8,,,,,,,dy8wa8cciiae72q2ynm80rlcl,J. Dilrosun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509494773,7,1,1,0,9,20vymiy7bo8wkyxai3ew494fz,0,71.5,5.2,2023-02-18T20:03:29.540Z,2023-02-21T03:44:10Z,4041604719,213,1.6,4047116087,178,,4045027965,233,761,4041604717,212,2.1,4044223143,236,,4041604713,140,71.4,4041600735,56,Right,4044223145,286,,a8cgbwioykhqztfjgztfn7dud,A. Jahanbakhsh,4041604715,141,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509998121,761,74,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,27.5,92.8,2023-02-18T20:03:29.581Z,2023-02-21T03:44:13Z,4047116099,178,,4044222775,285,,4045027973,233,7,4044222773,56,Back,,,,,,,,,,,,,33yauarx84sam5u05vgyqxfxl,J. Karlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
