id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2469878961,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-10-09T17:06:31.538Z,2022-10-09T18:20:37Z,3832802179,194,4idru0svqcqjpi03b4jhqyd3p,3832802177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832802173,59,"16, 2, 32, 3, 5, 18, 11, 8, 14, 10, 21, 9, 13, 17, 20, 22, 24, 25, 29, 33, 42, 53",3832998459,197,15620,3832802181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832802171,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832802175,130,8,3832802169,30,"84yhv0iilunn0vllz1r5fe7l5, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, cgsmk5437f466uoqvol7devze, e65zqndnze1xzef4qlkhd1v4l, 7xtesbxl6ioj70wymszqsag9h, cty7nsrs5yn785m330c2gbwq2, 4ecptuxoyx485mmhrubuscgyd, 9bzwr8qhl6547tjrsjsity4x6, 4212luiyivgvje1vm1ojieicq, 4idru0svqcqjpi03b4jhqyd3p, b2uznyb9b8fxsy57450mbmwru, eqjelc731e1xrp95bpysx0pka, dvof4p3jx1gi6i9uelbmudl62, d8cxurdt9g5gezqlfwae7ooru, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, 30t0ph1icrggc0x62om801ses, hjb0mn4fgmfiimwn5odvl8fd, 3hhca66jtxt3c1iw10nfmhtnu, czh4r9efdbw4fvdux0enl127e, 45vh3c99keqayr9hj0r6x0ei2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469879551,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-09T17:07:08.311Z,2022-10-09T18:01:20Z,3832805445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832805439,130,8,3832805433,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 9trasqdd75zjxz4kzplb64xjp, 51b7kbz09togoaueykwbm385, 9fpb7g8ij9dqtuqhnimy5fap5, 8qqyo9093i0wtapxq219wjzzd, cozhhgt0jbcuu4wdxf1pwjkyd, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, 4tc5741xue1eigwcu4t7qtuc5, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 6pgcyaivg3sjcm6jju4nn3omi, atbvv2os8m7nfs0p128w5a6l1, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 3fzqjtehxr65c2xfyytws30q2, emrt1s5yfgtex867u98gbt0fe, 6o2tffdjtdueojbhahe3w66i2, 71gwdg60saiwwwnnv6is52may, a3hraho1lbnm3ga3ffkahlqi2",3832805437,59,"31, 12, 5, 19, 2, 14, 85, 21, 17, 15, 7, 1, 4, 8, 10, 11, 18, 22, 34, 61, 77, 90",3832805441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832805443,194,8rqula41yqtbwycgemsw9ixud,3832999149,197,17197,3832805435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915929,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-10-09T18:01:01.666Z,2022-10-11T20:33:42Z,3833003907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915925,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-09T18:01:01.666Z,2022-10-09T18:01:01Z,3833003891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915969,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50,50.3,2022-10-09T18:01:01.699Z,2022-10-12T04:50:04Z,3833004059,279,S,3833004057,213,3.6,3833004053,141,35.5,3833004049,56,Back,3833004051,140,29.8,3837727099,178,,3833004055,212,23.5,,,,4212luiyivgvje1vm1ojieicq,G. Vidović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915985,4,1,1,0,2,6hsriqr3ybvyg94w2k19oal50,1,29.8,35.5,2022-10-09T18:01:04.223Z,2022-10-12T04:50:08Z,3833004145,140,34.6,3833004147,141,11.0,3833004143,56,Back,3837727137,178,,3833004149,212,17.4,3833004151,213,5.0,,,,,,,e65zqndnze1xzef4qlkhd1v4l,Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469916005,5,1,1,0,5,6hsriqr3ybvyg94w2k19oal50,1,35.3,11.6,2022-10-09T18:01:07.442Z,2022-10-12T04:50:17Z,3833004225,141,27.6,3833004221,56,Back,3833004227,212,13.9,3833004223,140,43.5,3833004229,213,0.9,3837727215,178,,,,,,,,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469916079,6,1,1,0,6,6hsriqr3ybvyg94w2k19oal50,1,43.5,27.6,2022-10-09T18:01:08.422Z,2022-10-12T04:50:22Z,3833004603,212,16.3,3837727253,178,,3833004599,140,28.1,3833004605,213,3.0,3833004601,141,30.5,3833004597,56,Back,,,,,,,cgsmk5437f466uoqvol7devze,R. Flamingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469916099,7,1,1,0,12,6hsriqr3ybvyg94w2k19oal50,1,29.1,27.1,2022-10-09T18:01:14.295Z,2022-10-12T04:50:28Z,3833004707,213,5.3,3833004703,141,12.6,3833004699,56,Back,3833004701,140,35.4,3837727333,178,,3833004705,212,11.9,,,,,,,e65zqndnze1xzef4qlkhd1v4l,Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469916123,8,1,1,0,16,6hsriqr3ybvyg94w2k19oal50,1,32.2,17.6,2022-10-09T18:01:17.756Z,2022-10-12T04:50:31Z,3833004845,212,33.4,3833004839,56,Back,3833004841,140,12.1,3837727373,178,,3833004843,141,55.6,3833004847,213,2.3,3833004849,1,,,,,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
