id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2497442427,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-14T18:49:40.429Z,2023-01-14T20:18:06Z,3978277687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978277683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978466157,197,457,3978277675,30,"1lgrnaje6y7un5dzzll84p91, 29m8py8czo6w0zf2arwolirjd, 4jqgl7x5ewke1u0sy2cbkqfhl, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 6sg2ot7z9kfyrlgjkmpqvejqi, baakmd4ndnulbl9npvmq90mvp, 35qg0rrwtl00pycx468s62m3u, 9c2i7ddl2uh7kuhwq62klkyui, 2x44f29a52v8kpkkjsuiiywdm, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, dafbvyorudvujxw7zswicykmh, 6hrp4zuxh40i3tccmk5s0j5xx, 6w6ewzxircqxk6dsrs1rvc8ru, p7vw4thx5wzo49h6hfabcq5m, 7w5ivtmbqzi4hfte330r1a505, 7joybllup4h9oe6zfhcepjy6t, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 80i3boeh7f1ghu4ka7r66izje, a7vlgirln231n3dqjhb72o0es, bgydmtsi0ngn9k56apo29v0no",3978277677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978277685,194,6m2pk6odyb3atayt6u8cifahh,3978277679,59,"12, 19, 3, 4, 2, 15, 6, 8, 9, 35, 10, 1, 5, 7, 18, 20, 22, 23, 26, 28, 37, 43, 57",3978277681,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497443529,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-01-14T18:52:25.185Z,2023-01-14T20:04:29Z,3978283759,130,8,3978283761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978283765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978283757,59,"1, 12, 5, 23, 2, 3, 7, 8, 9, 18, 10, 4, 11, 14, 16, 17, 19, 20, 21, 22, 26, 27, 38",3978283753,30,"bzanwdo4ihqd6d7vr06bd3845, 2teefpvijsbzag4yi7fm1pyol, dtcvzfse83ztj96kiizwp6jqi, 9qoc020keotb4s72a09zm5pzp, 69cvlhfo7ulmz4o5ztlj1wlm2, lduqoe45t2fnbn9s9rbvlnf9, c1yctqdku2vzho2azsgcy5dcl, dc119ejc7lls2rd3ywigl2smi, 36veg0wk1z3om89daf0clbl5h, ad9kukqx4xulbvelacgwgqvah, 3c4l2e3gzgpqrc2ygkbmp0jpx, dc2wi76ipwc5qbq4eggqd1hp1, 5m8pflpgynidzk7d9507oujje, ahwtdhrerarmljk9bh0tcpk6i, e33libhll66jj5ksl319uh17u, dxmulnxbs11kpi1goq5hl9cve, acffs01m2p3b4uemzjrp51d9m, 6p4fs5rivwt0e45twlsf6ajth, c7n2b2gq381k0o0jizqueii5m, 5g0q7azk54eryl8vcgyb2oj4l, 3940jh5ermawu3vbzbei6546i, 8fuul8znu2hzdqkxsotqt6u0a, bner5siqnwn1fqusfrgujt0fe",3978283763,194,lduqoe45t2fnbn9s9rbvlnf9,3978291989,197,17193,3978283755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471087,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-01-14T20:02:36.310Z,2023-01-14T20:02:36Z,3978435603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471097,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-14T20:02:36.310Z,2023-01-16T10:22:40Z,3978435653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471103,3,1,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,50.1,50.3,2023-01-14T20:02:36.321Z,2023-01-16T12:37:33Z,3978435675,140,33.9,3978435683,279,S,3981269077,178,,3978435677,141,54.0,3978435673,56,Back,3978435681,213,3.0,3978435679,212,17.2,,,,c1yctqdku2vzho2azsgcy5dcl,V. Černý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471109,4,1,1,0,2,4tic29sox7m39fy1ztgv0jsiq,0,34.3,55.1,2023-01-14T20:02:39.004Z,2023-01-16T12:37:35Z,3978435719,212,32.9,3978435709,56,Left,3978435721,213,0.7,3978435717,141,85.5,3981269091,178,,3978435715,140,58.7,3978435705,155,,3978435723,1,,69cvlhfo7ulmz4o5ztlj1wlm2,M. Hilgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471123,3,1,1,0,4,d0zdg647gvgc95xdtk1vpbkys,1,39.7,10.2,2023-01-14T20:02:40.887Z,2023-01-16T12:37:46Z,3981269141,388,,3978435765,212,5.8,3978435757,3,,3978435767,213,1.1,3978435763,141,17.6,3978435761,140,42.4,3978435759,56,Back,,,,2x44f29a52v8kpkkjsuiiywdm,Francisco Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471125,4,49,1,0,5,d0zdg647gvgc95xdtk1vpbkys,1,42.7,18,2023-01-14T20:02:41.620Z,2023-01-16T12:37:50Z,,,,,,,,,,,,,,,,,,,,,,,,,baakmd4ndnulbl9npvmq90mvp,D. Klaassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497471133,5,1,1,0,5,d0zdg647gvgc95xdtk1vpbkys,0,42.9,18.6,2023-01-14T20:02:41.686Z,2023-01-16T12:37:55Z,3978435807,212,2.1,3978435803,140,44.3,3978435801,56,Back,3979880631,155,,3978435809,213,0.8,3981269219,178,,3978435805,141,20.9,,,,baakmd4ndnulbl9npvmq90mvp,D. Klaassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497484645,263,61,1,0,5,4tic29sox7m39fy1ztgv0jsiq,1,53.8,85.7,2023-01-14T20:02:41.820Z,2023-01-16T12:38:00Z,3978506279,56,Left,3981269283,178,,3981269281,15,,,,,,,,,,,,,,,,,9qoc020keotb4s72a09zm5pzp,M. Sadílek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
