id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2465839287,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-01T17:06:23.469Z,2022-10-01T17:37:36Z,3811186015,59,"22, 15, 17, 8, 2, 3, 11, 21, 9, 6, 10, 1, 4, 7, 16, 18, 20, 23, 25, 26, 29, 35",3811186013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3811374107,197,457,3811186021,194,6m2pk6odyb3atayt6u8cifahh,3811186017,130,8,3811186011,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, 3kx4mltrob4yta5g6kr2u8ic5, 35qg0rrwtl00pycx468s62m3u, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, 8ty68f4i1lwjdktycd2oy5a6t, 1ekkj2b713kjnugsk4dz50q1h, 9c2i7ddl2uh7kuhwq62klkyui, baakmd4ndnulbl9npvmq90mvp, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, bp3apdb2ahzacq45k4mzj5jhl, 6hrp4zuxh40i3tccmk5s0j5xx, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, p7vw4thx5wzo49h6hfabcq5m, 7joybllup4h9oe6zfhcepjy6t, 47l204bkq2qqjhtazusr0019m, 2zkaf848fjcdhuii8783pkm7e, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3811186019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811186023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465839363,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-10-01T17:06:26.494Z,2022-10-01T17:58:43Z,3811186411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3811186417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811186409,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 6ydojoa3581jgszpjqj7i8zpx, 9d4lofwg9ooaoldw2vpt4h36y, 90vny1388bdhx8103lp9njac4, 7nfr8xuo637qma7ovxx4r9fmy, 5dbx86ca2t7dae8b3t69atii1, dtglxu78mwbkvog0jnusmdc5x, hxqybxg5578sgx0gx5qb834l, 7lpwkpwfw656re3pymntslv55, 7dkhv2l8y6jq20l1dc2ye17je, 2ekx0fvuf0dsat062oj430d05, 32pfghvfogjnpbgsj5mk2jhpm, 7sa0cx70w7dc0ahu5sm0ziz11, 4mroygq2ruxkml5c5j4awwted, 8qrsqp9qqvb0jdynpgsnifai1, 8j8encc4aqkh07ydce6hiaokp, 4cyftx5l62gw3ijl29y7t51pl, 5n65xhwbd6dm3uynl4h7k920a, aq8emkcjejbav0fys17iqv2ll, 94b7i139jyk6hs6ioqlztg1jp, 7uiun3ak4fveljpb3lsdypxx",3811481651,197,11977,3811186425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811186413,59,"1, 2, 5, 8, 25, 6, 18, 10, 9, 11, 23, 3, 4, 7, 15, 16, 17, 19, 21, 26, 27, 33",3811186415,130,2,3811186421,194,6ydojoa3581jgszpjqj7i8zpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894323,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-01T18:00:52.944Z,2022-10-03T06:16:22Z,3811489039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894321,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-10-01T18:00:52.944Z,2022-10-01T18:00:53Z,3811489037,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894351,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,49.9,50.1,2022-10-01T18:00:53.037Z,2022-10-03T09:10:32Z,3817092921,178,,3811489211,279,S,3811489207,212,1.6,3811489201,56,Back,3811489209,213,3.8,3811489205,141,48.7,3811489203,140,48.7,,,,hxqybxg5578sgx0gx5qb834l,I. Lidberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894379,4,1,1,0,1,b79uipsy57y1jqpy07h4i5ovk,1,48.7,48.7,2022-10-01T18:00:54.407Z,2022-10-03T09:11:54Z,3811489357,213,3.8,3811489351,140,44.6,3811489355,212,5.3,3817095675,178,,3811489353,141,44.2,3811489349,56,Back,,,,,,,5dbx86ca2t7dae8b3t69atii1,W. Willumsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894385,5,1,1,0,2,b79uipsy57y1jqpy07h4i5ovk,0,44.6,44.2,2022-10-01T18:00:55.530Z,2022-10-03T09:12:07Z,3817096021,178,,3811489391,141,69.3,3811489397,1,,3811489385,157,,3811489389,140,76.8,3811489393,212,37.9,3811489387,56,Center,3811489395,213,0.5,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894397,3,1,1,0,4,d0zdg647gvgc95xdtk1vpbkys,1,20.3,32.1,2022-10-01T18:00:57.850Z,2022-10-03T09:12:10Z,3811489467,141,20.7,3811489461,3,,3811489469,212,12.6,3811489471,213,5.6,3811489465,140,29.8,3817096155,388,,3811489463,56,Back,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894401,4,49,1,0,6,d0zdg647gvgc95xdtk1vpbkys,1,29.8,20.7,2022-10-01T18:00:59.556Z,2022-10-03T09:12:15Z,,,,,,,,,,,,,,,,,,,,,,,,,8ty68f4i1lwjdktycd2oy5a6t,L. Ocampos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465894423,5,1,1,0,6,d0zdg647gvgc95xdtk1vpbkys,0,29.8,20.7,2022-10-01T18:00:59.734Z,2022-10-03T09:12:26Z,3817096725,178,,3811489641,213,1.2,3811489639,212,15.9,3811489637,141,42.8,3811489633,56,Back,3811489635,140,34.7,,,,,,,8ty68f4i1lwjdktycd2oy5a6t,L. Ocampos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
