id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,assist,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2512848297,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-02-26T14:47:23.352Z,2023-02-26T16:07:39Z,4059267579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059267577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059267571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059555995,197,500,4059555993,194,4drquvq035kmr2smvzph82bx1,4059267573,59,"1, 29, 17, 23, 5, 22, 7, 6, 9, 27, 10, 3, 4, 15, 16, 18, 20, 24, 28, 30, 37",4059267575,130,4,4059267569,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, c6ip6gwp8yvchd1n3dv42go9, d4j19ipiaeuetyij08fofgs15, 62n3xzxpwe2j317q24rh5wjpx, 1ph4g125dfsijfjzjpcvpcmlm, exhxdmdq49xj4dnguq03qnlgq, 1abb1gcw7arw1nkbuxnccjca1, 4drquvq035kmr2smvzph82bx1, bx6j2y1hnu63lawn3rdoep1m2, 7snt4uu7f2d0g7utjm2xfis8a, 2e0o5pwinz3zhg9pqg5vej9ih, 3ojwbw6v83g9b0u2wssnkzzzd, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, d92v6n4pf20eepvli92lqau39, 21k54i5a6d9bi4f6gplgzxiw9, d9wjrxhmo0dlczkg0fpnf3e1h, 9vf02r3geinhsy732oxyrcacq, 6yush35gfp1sgyyzicye73rp, 5yt3hbvzpaqv8lrjgt4ahb78q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512848385,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-02-26T14:47:28.697Z,2023-02-26T16:00:43Z,4059267967,30,"bzanwdo4ihqd6d7vr06bd3845, 6p4fs5rivwt0e45twlsf6ajth, dtcvzfse83ztj96kiizwp6jqi, dc119ejc7lls2rd3ywigl2smi, 69cvlhfo7ulmz4o5ztlj1wlm2, lduqoe45t2fnbn9s9rbvlnf9, ad9kukqx4xulbvelacgwgqvah, dxmulnxbs11kpi1goq5hl9cve, 36veg0wk1z3om89daf0clbl5h, c1yctqdku2vzho2azsgcy5dcl, 3c4l2e3gzgpqrc2ygkbmp0jpx, 3hu6e9wa0nt4ekubxye6l4pas, dc2wi76ipwc5qbq4eggqd1hp1, 2teefpvijsbzag4yi7fm1pyol, ahwtdhrerarmljk9bh0tcpk6i, e33libhll66jj5ksl319uh17u, 3940jh5ermawu3vbzbei6546i, 8fuul8znu2hzdqkxsotqt6u0a, 1rb3nj8hn58ynsadzive0h36y, bner5siqnwn1fqusfrgujt0fe, 5r47vtvu418kae5j2rpv6w2dw, 8ijea6poqnpomi075fowev7kk, 7qn6sfi7qryn4o1tu6lhzxslw",4059267973,130,4,4059267975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059626799,197,17193,4059267969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059627713,194,lduqoe45t2fnbn9s9rbvlnf9,4059267977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059267971,59,"1, 20, 5, 8, 2, 3, 18, 17, 9, 7, 10, 15, 4, 12, 14, 16, 26, 27, 30, 38, 39, 41, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907797,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-02-26T15:47:50.663Z,2023-02-28T11:51:37Z,4059578909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907823,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-02-26T15:47:50.663Z,2023-02-26T15:47:54Z,4059579003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907869,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50,50,2023-02-26T15:47:50.780Z,2023-02-28T14:00:40Z,4059579235,140,29.8,4063483683,178,,4059579247,213,3.6,4059579231,56,Back,4059579243,212,24.0,4059579251,279,S,4059579239,141,33.4,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907915,4,1,1,0,3,24fvcruwqrqvqa3aonf8c3zuy,1,31.3,33.1,2023-02-26T15:47:53.932Z,2023-02-28T14:00:44Z,4059579495,1,,4059579493,213,0.5,4059579483,155,,4059579485,56,Center,4059579489,141,66.9,4059579491,212,48.2,4059579487,140,71.7,4063483727,178,,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907935,5,1,1,0,6,24fvcruwqrqvqa3aonf8c3zuy,0,74.8,65.1,2023-02-26T15:47:57.081Z,2023-02-28T14:00:48Z,4059579595,212,15.7,4059579593,141,55.3,4063483785,388,,4059579585,3,,4059579591,140,88.3,4059579597,213,5.8,4059579589,56,Center,4059579587,168,,4drquvq035kmr2smvzph82bx1,L. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512907995,3,52,1,0,8,4tic29sox7m39fy1ztgv0jsiq,1,11.8,43.3,2023-02-26T15:47:59.541Z,2023-02-28T14:00:51Z,4060685269,377,,4063483899,178,,,,,,,,,,,,,,,,,,,,bzanwdo4ihqd6d7vr06bd3845,L. Unnerstall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512908141,4,1,1,0,13,4tic29sox7m39fy1ztgv0jsiq,1,12,38.5,2023-02-26T15:48:04.482Z,2023-02-28T14:00:54Z,4063483987,178,,4059580603,213,1.4,4059580595,56,Back,4059580593,123,,4059580599,141,62.0,4059580601,212,16.1,4059580597,140,14.0,,,,bzanwdo4ihqd6d7vr06bd3845,L. Unnerstall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512908157,5,1,1,0,17,4tic29sox7m39fy1ztgv0jsiq,1,12.9,59.6,2023-02-26T15:48:08.050Z,2023-02-28T14:01:03Z,4059580709,212,20.4,4059580711,213,4.5,4063484309,178,,4059580707,141,30.3,4059580705,140,8.8,4059580703,56,Back,,,,,,,lduqoe45t2fnbn9s9rbvlnf9,R. Pröpper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
