id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2471637165,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-10-14T17:05:32.239Z,2022-10-14T17:57:28Z,3842200989,130,8,3842200991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842200995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842200983,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, eytcfp4cu6qkar65kf0p5rm96, cqrk42u0s5w8yuq6mnckug02y, 6ciggfx8p0zkak8qxe1p7yzth, ew4kbwq27lxqocg0920amphw5, 55e0z1vhb48go6y2io7h80aqy, 49x98sk3wf7sjshrlou5vnvje, 1i3tivo0q0tbzui8egvdlhg45, ewbakrn2dqmy062scjnz0pecp, 7myeigeuggkj5ymjw6znedkut, 3kt58x082lj8650en2mt60xqt, 7wphtxp293kv4o3x1b6zusrmd, e605oixdrqumxkqm0y1bijbvt, 4l8n194otkmyc3op4u111l5n9, ekltvbrx114dg6b2wj3lpwy96, 5q2z4aezq94ob9qp37i302ns9, 2pjxqgyqgvalmyu8cnu5fst90, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp",3842200987,59,"32, 34, 24, 20, 2, 4, 77, 8, 10, 7, 23, 1, 9, 11, 13, 16, 17, 19, 27, 29",3842200985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842313701,197,2846,3842200993,194,ew4kbwq27lxqocg0920amphw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471638557,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-14T17:08:28.621Z,2022-10-14T17:59:50Z,3842317473,197,16727,3842209061,59,"1, 3, 5, 6, 31, 4, 2, 8, 21, 11, 34, 7, 9, 15, 20, 22, 24, 25, 28, 33, 36",3842209065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842209057,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, dbkr1w2xlwnyssid1tv0jlujt, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8822s8ns7oyvjqade4oaxzg0l, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 3dc82sro077by40u3qdmhw0r9, 10ijtddqmzbhx3qtlhbyn4rca, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, eayvrkzzkk0xu4c5rrxgzlroq, 792zq4joba1qgt0lusvrjantg, ca8qw8jztjxwxuc2foa6dfckq, 8oetnmi8kejwwy37rhlelw2ne, drbhndjayqwxzri7gfbd4zt3o",3842209069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842209063,130,4,3842209059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842209067,194,e3akocgpppdty3ayxty1gf6xh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657951,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-14T18:00:19.422Z,2022-10-14T18:00:19Z,3842318247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657967,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-10-14T18:00:19.422Z,2022-10-14T18:00:22Z,3842318337,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657971,3,1,1,0,1,6g9qrm72224jrk6tkxxxi8a9n,1,50,50,2022-10-14T18:00:20.522Z,2022-10-14T18:01:13Z,3842318357,141,41.0,3842318353,56,Back,3842318359,212,14.5,3842318363,279,S,3842318355,140,37.5,3842318361,213,3.6,,,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657981,4,1,1,0,3,6g9qrm72224jrk6tkxxxi8a9n,0,37.5,41,2022-10-14T18:00:22.835Z,2022-10-14T18:00:27Z,3842318439,1,,3842318437,213,0.6,3842318433,141,76.3,3842318431,140,74.6,3842318427,155,,3842318435,212,45.8,3842318429,56,Center,,,,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657985,3,44,1,0,6,3t0vjqtxc8wpjzv82i3oi2ova,1,27.8,21.7,2022-10-14T18:00:25.857Z,2022-10-14T18:00:32Z,3842318451,56,Back,3842318501,233,5,3842318453,285,,,,,,,,,,,,,,,,,cqrk42u0s5w8yuq6mnckug02y,J. Vlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657989,5,44,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,0,72.2,78.3,2022-10-14T18:00:25.858Z,2022-10-14T18:01:12Z,3842318541,233,3,3842318463,56,Center,3842318465,286,,,,,,,,,,,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471657999,4,1,1,0,6,3t0vjqtxc8wpjzv82i3oi2ova,0,30.4,20.3,2022-10-14T18:00:26.200Z,2022-10-14T18:00:35Z,3842318521,140,46.9,3842318525,212,22.8,3842318519,56,Back,3842318527,213,5.6,3842318523,141,0.0,3842318517,3,,,,,,,,cqrk42u0s5w8yuq6mnckug02y,J. Vlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658009,5,5,1,0,8,3t0vjqtxc8wpjzv82i3oi2ova,0,43.8,-1.8,2022-10-14T18:00:28.312Z,2022-10-14T18:00:35Z,3842318583,56,Back,3842318743,233,6,3842318585,347,,,,,,,,,,,,,,,,,eytcfp4cu6qkar65kf0p5rm96,J. Dirksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658035,6,5,1,0,8,6g9qrm72224jrk6tkxxxi8a9n,1,56.2,101.8,2022-10-14T18:00:28.312Z,2022-10-14T18:06:59Z,3842318731,233,5,3842318719,56,Left,3842318721,347,,,,,,,,,,,,,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658039,7,1,1,0,15,6g9qrm72224jrk6tkxxxi8a9n,1,59.4,100,2022-10-14T18:00:34.947Z,2022-10-14T18:00:36Z,3842318761,212,12.6,3842318755,56,Left,3842318759,141,84.4,3842318763,213,4.4,3842318757,140,55.7,3842318753,107,,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658041,8,1,1,0,16,6g9qrm72224jrk6tkxxxi8a9n,1,55.7,84.4,2022-10-14T18:00:36.019Z,2022-10-14T18:00:38Z,3842318775,56,Left,3842318777,140,56.0,3842318783,213,1.5,3842318779,141,88.6,3842318781,212,2.9,,,,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658043,9,50,1,0,18,6g9qrm72224jrk6tkxxxi8a9n,1,55,93,2022-10-14T18:00:38.083Z,2022-10-14T18:00:39Z,3842318867,233,6,3842318787,56,Left,3842318789,286,,,,,,,,,,,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471658045,6,7,1,0,18,3t0vjqtxc8wpjzv82i3oi2ova,0,45,7,2022-10-14T18:00:38.084Z,2022-10-14T18:00:40Z,3842318847,233,9,3842318791,56,Back,3842318793,285,,,,,,,,,,,,,,,,,49x98sk3wf7sjshrlou5vnvje,L. Bernadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
