id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500780521,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-26T19:10:29.839Z,2023-01-26T20:03:36Z,3995845119,197,457,3995812319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3995812323,130,4,3995812317,30,"1lgrnaje6y7un5dzzll84p91, 6sg2ot7z9kfyrlgjkmpqvejqi, 4jqgl7x5ewke1u0sy2cbkqfhl, 35qg0rrwtl00pycx468s62m3u, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, baakmd4ndnulbl9npvmq90mvp, 7joybllup4h9oe6zfhcepjy6t, 9c2i7ddl2uh7kuhwq62klkyui, 6m2pk6odyb3atayt6u8cifahh, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, dafbvyorudvujxw7zswicykmh, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, p7vw4thx5wzo49h6hfabcq5m, 7w5ivtmbqzi4hfte330r1a505, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 2x44f29a52v8kpkkjsuiiywdm, a7vlgirln231n3dqjhb72o0es, bgydmtsi0ngn9k56apo29v0no, egcs7b6ixb62ep08t7jznf9ih",3995812321,59,"12, 15, 3, 8, 4, 2, 6, 23, 9, 10, 7, 1, 5, 18, 19, 20, 22, 26, 28, 35, 43, 57, 58",3995812329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3995812327,194,6m2pk6odyb3atayt6u8cifahh,3995812325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500781495,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-26T19:15:53.755Z,2023-01-26T19:57:10Z,3995817345,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3995817347,59,"1, 3, 15, 28, 4, 31, 17, 12, 10, 8, 5, 2, 7, 9, 16, 20, 21, 22, 24, 25, 30, 33, 34",3995817343,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, bn8dwm2y9a8i9a10rba3dmm3u, ca8qw8jztjxwxuc2foa6dfckq, e3akocgpppdty3ayxty1gf6xh, c9epkro6fot3km9zak1kswfhm, 5shfqpd5fj05qrp1jlzd08ftg, f15kg1dhysflr9u8igyvhxkdm, 3kbhgmnf6bhfgut0jxf4m2sfe, a21sngx9u0boxf3n6u5qbkdlh, a02jtmvlc1tlstvt96pa1hisq, 8822s8ns7oyvjqade4oaxzg0l, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, 6jqn5grsuhuo5at81pzahr6xh, bdurpi6c2ipwtcuyndq0e6ve2, eayvrkzzkk0xu4c5rrxgzlroq, 792zq4joba1qgt0lusvrjantg, 266bhlksybsxaymm3ufiqlpg4, 8oetnmi8kejwwy37rhlelw2ne, 10ijtddqmzbhx3qtlhbyn4rca",3995817351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3995817349,130,11,3995817355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3995845487,197,16727,3995817353,194,a21sngx9u0boxf3n6u5qbkdlh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787029,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-01-26T20:00:37.977Z,2023-01-27T20:26:51Z,3995847499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787023,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-26T20:00:37.977Z,2023-01-26T20:00:38Z,3995847481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787039,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,49.8,50,2023-01-26T20:00:38.043Z,2023-01-27T20:33:54Z,3995847581,279,S,3997285601,178,,3995847571,56,Back,3995847579,213,3.5,3995847573,140,35.1,3995847577,212,16.2,3995847575,141,42.7,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787055,4,1,1,0,2,6g9qrm72224jrk6tkxxxi8a9n,1,35.1,42.7,2023-01-26T20:00:40.169Z,2023-01-27T20:33:59Z,3995847683,212,31.4,3995847677,56,Center,3995847675,155,,3995847685,213,0.7,3995847681,141,73.4,3997286013,178,,3995847679,140,57.4,,,,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787065,5,1,1,0,4,6g9qrm72224jrk6tkxxxi8a9n,0,57.4,73.4,2023-01-26T20:00:42.611Z,2023-01-27T20:34:08Z,3995847731,213,5.9,3995847723,56,Center,3995847727,141,66.2,3995847725,140,69.2,3995847721,3,,3995847729,212,13.3,3997286651,388,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787067,6,44,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,1,68.8,67.2,2023-01-26T20:00:44.374Z,2023-01-28T11:44:18Z,3995847785,233,3,3995847735,56,Center,3995847737,286,,,,,,,,,,,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787061,3,44,1,0,6,d0zdg647gvgc95xdtk1vpbkys,0,31.2,32.8,2023-01-26T20:00:44.375Z,2023-01-27T20:34:14Z,3995847763,233,6,3995847705,56,Back,3995847707,285,,,,,,,,,,,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500787075,7,61,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,1,69.2,66.2,2023-01-26T20:00:44.428Z,2023-01-28T11:44:19Z,3995847773,56,Center,3997289187,178,,3997289185,15,,,,,,,,,,,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
