id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,assist,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2509365877,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-02-18T17:21:46.331Z,2023-02-18T17:51:45Z,4040910967,30,"dxcsuw39xzusjsj5e1jw53y6t, 6gj1r8dnoy17pemp9xtng6sbt, ar7ybu7dordgt2yfx5inux62, am0ea3bvmnin4gco2ndny2noq, 9wwud2tglhtdocmjgl2u5ib6c, 9zcr9l3mfbbstmesdlx298vhm, alxccjq2y6il5yjw108a0axnt, 4t85yj2ijymrz5vf457jcihre, emglxnqrlqskt8krglv7sziwa, ci5y030e6r9umgyjbupwske7d, 8zmxsixeoe1gmas31bzss7ljp, 8utfqkk9niq1xvdhsw0f4awut, 7j5xa2ti4qnvoh74h5twyi6s5, brqptr56zeku3bgqbixje0hxx, e5kpw4k4tyss5ch8ehfi7nk5x, 8hq0so8nzsuzmsffae5nwdwmi, 4k9shzwgauyy7w2911uev75yh, dk56pv43y8zo39ft9xtwyapnu, 44t0ew97eyl8ww00sgusx00a2, ei9h1loyggj8fnf1q4jfdm710",4040910977,194,dxcsuw39xzusjsj5e1jw53y6t,4040910973,130,4,4040910975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040910979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040910971,59,"20, 19, 18, 34, 42, 12, 8, 7, 9, 10, 28, 37, 1, 2, 4, 11, 23, 25, 31, 55",4040983829,197,477,4040910969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509366013,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-02-18T17:22:03.724Z,2023-02-18T18:30:09Z,4040911637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040986925,197,16383,4040911641,130,8,4040911645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040937145,194,ew4kbwq27lxqocg0920amphw5,4040911643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040911635,30,"627nw9ji9qfss33q8ce8042c5, ait187bpr8we72jvfxxt6ttjp, eytcfp4cu6qkar65kf0p5rm96, 6ciggfx8p0zkak8qxe1p7yzth, 9fkdgor4mv7f8eqz65ugnnydx, ew4kbwq27lxqocg0920amphw5, 2gonj4ylypwritcayysoqj3hm, 49x98sk3wf7sjshrlou5vnvje, 7wphtxp293kv4o3x1b6zusrmd, 7myeigeuggkj5ymjw6znedkut, 1i3tivo0q0tbzui8egvdlhg45, 3kt58x082lj8650en2mt60xqt, e605oixdrqumxkqm0y1bijbvt, 4l8n194otkmyc3op4u111l5n9, 4iurx3g3hajlatv5gcxsqwm7e, ekltvbrx114dg6b2wj3lpwy96, 2pjxqgyqgvalmyu8cnu5fst90, cqrk42u0s5w8yuq6mnckug02y, 7gdaohy19ev2f04kviok7t1p1, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp, ix6hcbfujuw3mgefzpsnp2zu, 55e0z1vhb48go6y2io7h80aqy",4040911639,59,"32, 17, 24, 2, 5, 4, 34, 8, 9, 23, 10, 1, 11, 13, 14, 16, 19, 20, 21, 27, 29, 57, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509382961,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-02-18T17:46:09.447Z,2023-02-20T11:08:38Z,4040997503,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509382945,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-02-18T17:46:09.447Z,2023-02-18T17:46:09Z,4040997429,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509382997,3,1,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,49.8,49.7,2023-02-18T17:46:09.477Z,2023-02-21T02:51:56Z,4040997699,140,27.1,4040997707,279,S,4047103505,178,,4040997705,213,3.3,4040997697,56,Back,4040997701,141,44.0,4040997703,212,24.1,,,,7myeigeuggkj5ymjw6znedkut,A. El Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509383027,4,1,1,0,3,3t0vjqtxc8wpjzv82i3oi2ova,1,28.9,42.7,2023-02-18T17:46:12.766Z,2023-02-21T02:52:03Z,4040997877,213,0.6,4040997867,155,,4040997869,56,Left,4040997871,140,70.1,4040997879,1,,4040997875,212,51.4,4047103509,178,,4040997873,141,83.6,9fkdgor4mv7f8eqz65ugnnydx,M. Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509383055,5,1,1,0,6,3t0vjqtxc8wpjzv82i3oi2ova,1,70.2,83.9,2023-02-18T17:46:16.226Z,2023-02-21T02:52:20Z,4047103525,178,,4040998033,140,68.9,4040998031,56,Left,4040998039,213,1.8,4040998035,141,94.7,4040998037,212,7.5,,,,,,,7wphtxp293kv4o3x1b6zusrmd,R. Živković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509383125,6,1,1,0,8,3t0vjqtxc8wpjzv82i3oi2ova,1,71.1,93,2023-02-18T17:46:17.714Z,2023-02-21T02:52:28Z,4040998229,56,Left,4040998245,212,8.3,4040998233,140,63.6,4040998237,141,89.3,4047103535,178,,4040998251,213,3.5,4041986323,155,,,,,1i3tivo0q0tbzui8egvdlhg45,M. Diemers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509383159,7,1,1,0,10,3t0vjqtxc8wpjzv82i3oi2ova,1,61.1,92.9,2023-02-18T17:46:19.881Z,2023-02-21T02:52:37Z,4040998369,56,Back,4040998373,141,83.0,4040998375,212,28.4,4040998371,140,34.8,4040998377,213,3.4,4047103565,178,,,,,,,,eytcfp4cu6qkar65kf0p5rm96,J. Dirksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509383223,8,1,1,0,12,3t0vjqtxc8wpjzv82i3oi2ova,1,34.8,83,2023-02-18T17:46:22.436Z,2023-02-21T02:52:44Z,4040998713,213,4.3,4047103591,178,,4040998707,140,21.5,4040998715,1,,4040998711,212,33.9,4040998705,56,Back,4040998709,141,37.6,,,,ew4kbwq27lxqocg0920amphw5,J. Veldmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
