id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2534785641,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-04-16T17:09:49.844Z,2023-04-16T18:01:55Z,4196378035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196378023,59,"1, 2, 5, 8, 31, 3, 7, 6, 9, 16, 19, 12, 14, 23, 25, 28, 32, 34, 35, 45, 46",4196378019,30,"7udphhcokm6vralyz5gkovxsl, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 7jgtmmk4b2bgn0syidj6ve7kl, 42cg746sa90jla5x4islj9pwq, ayqy2vql1oumokqly9ahfrnx1, 1t7nph4960rjzu7rgi47sf8ix, 2w7xspkzg7b9ghl20me202ove, 7sd87ylfbtgwgpb70hf68cel1, 7jpreaads35pnnfqbn7hmrmy, 1hmy5uxiyr8g915tngl9l8twq, 2p6h6ivyzp1fzsayw7r2xn2dx, b8vbhw29ucubzzmgv0nge1omh, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, ab17bik4y8ilv3ahe50a81ixg, 7wrulbqqdeecd5vegsbb1905w, 9lixevzo8exxiia17altfw8ic",4196378025,130,8,4196585329,197,13609,4196378031,194,7jgtmmk4b2bgn0syidj6ve7kl,4196378027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196378021,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534786231,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-04-16T17:10:38.220Z,2023-04-16T18:05:27Z,4196381509,59,"31, 12, 61, 14, 33, 2, 77, 8, 11, 15, 7, 1, 4, 6, 18, 19, 21, 22, 29, 34, 55, 74, 85",4196381511,130,11,4196381517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196583931,197,4030,4196381507,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4196381513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196381515,194,dp0q4f4gbj2buhcu1lb5dzxed,4196381505,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, 6o2tffdjtdueojbhahe3w66i2, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 51b7kbz09togoaueykwbm385, 71gwdg60saiwwwnnv6is52may, cnexf6pdh1piheuuqzrbb1t61, 3jkzywsfc2vjq3h1kqdhhl2hh, bznrsqachpfr9l2wnfjy8samt, 4tc5741xue1eigwcu4t7qtuc5, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 5fnmjp63t7m9fg3y2fcw6z015, 3momlsgsh0o7u40ydp2f2ocbu, 9trasqdd75zjxz4kzplb64xjp, cozhhgt0jbcuu4wdxf1pwjkyd, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 51x91drkirjxaclsm8iv6nm96, 8qqyo9093i0wtapxq219wjzzd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823323,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-04-16T18:02:48.066Z,2023-04-16T22:21:12Z,4196587685,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823319,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-04-16T18:02:48.066Z,2023-04-16T18:02:48Z,4196587673,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823351,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,50.2,49.9,2023-04-16T18:02:48.166Z,2023-04-16T18:02:52Z,4196587827,56,Back,4196587831,141,28.2,4196587829,140,30.1,4196587837,279,S,4196587833,212,25.8,4196587835,213,3.8,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823369,4,1,1,0,4,3kfktv64h7kg7zryax1wktr5r,1,27,28.3,2023-04-16T18:02:52.732Z,2023-04-16T18:02:53Z,4196587933,140,32.7,4196587935,141,31.9,4196587939,213,0.4,4196587937,212,6.5,4196587929,56,Back,,,,,,,,,,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823379,5,1,1,0,5,3kfktv64h7kg7zryax1wktr5r,1,32.7,31.9,2023-04-16T18:02:53.629Z,2023-04-16T18:02:55Z,4196587999,141,24.6,4196588001,212,9.9,4196588003,213,3.7,4196587997,140,24.5,4196587995,56,Back,,,,,,,,,,2w7xspkzg7b9ghl20me202ove,T. Reijnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823417,6,1,1,0,7,3kfktv64h7kg7zryax1wktr5r,0,28,21.6,2023-04-16T18:02:55.389Z,2023-04-16T18:02:59Z,4196588231,1,,4196588229,213,0.2,4196588223,140,86.6,4196588221,56,Center,4196588219,155,,4196588227,212,63.5,4196588225,141,44.5,,,,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823431,3,49,1,0,11,3ebril33e08ddzob4bhq8awsr,1,13.8,50,2023-04-16T18:02:59.935Z,2023-04-16T18:03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,5gnywqecwvt5yxied85hu4x2i,I. Pandur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534823595,4,1,1,0,24,3ebril33e08ddzob4bhq8awsr,1,15.1,47.2,2023-04-16T18:03:12.887Z,2023-04-16T18:03:17Z,4196589193,213,4.7,4196589185,56,Back,4196589189,141,25.3,4196589191,212,14.9,4196589187,140,14.6,,,,,,,,,,5gnywqecwvt5yxied85hu4x2i,I. Pandur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
