id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2521877543,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-03-18T18:49:09.613Z,2023-03-18T20:08:38Z,4107068137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107068143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107068121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4107068127,59,"1, 2, 5, 24, 4, 23, 33, 14, 20, 29, 6, 7, 8, 9, 10, 11, 13, 15, 17, 19, 21, 22, 35",4107068141,194,e8wfxueczkhrj92rytelw5vx1,4107068115,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, b23be312oxcbusvpjnnriukq2, dbg4ducw8j747foxiexle1iad, atbvv2os8m7nfs0p128w5a6l1, e8wfxueczkhrj92rytelw5vx1, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, aoucm7e5muqfucbv1g4e8hh49, btfanvej91yogqzfml4vmsmei, b1o6ctqy1mhjg4iiec8aedat, 93cf9npj6wl6vrxw7hetf6ok5, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, 5cvstzkb7l1zxapx0dt4zjkoa",4107394565,197,534,4107068133,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521896419,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-03-18T19:10:52.103Z,2023-03-18T19:58:26Z,4107165293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107165281,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, a76yp8gkkg6frtuhh3d6l46i, 570htztcvfsu947xw6fvtzmc5, 61a5bh5xw947nv4mxx62gqaqx, cudl1cjc8kxshfbhatms7aooa, 9p6nlczeycd0ai4dahjxnf8ph, 76n4eg1xu5qvf9bkwy4p8jsut, 6rfm7p5go1lgv6ccdjqgpallh, 8inyievyp1az6q3dtlkpynf56, uru1h5pzgwy9cvbele1piei, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, brij3tiox17hyfm63ulhg5sr9, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 4fiks6jvfxzbs9k0s050vmfbo, bqqq27wy9bk31ssgapksci4t1, 6oynq4ickyxictf2e0ilemqne",4107165287,130,8,4107165285,59,"22, 28, 16, 71, 4, 5, 7, 20, 19, 14, 11, 31, 1, 2, 6, 8, 9, 21, 34, 77",4107165289,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107395659,197,493,4107165283,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4107165291,194,9p6nlczeycd0ai4dahjxnf8ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939233,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-03-18T20:00:48.958Z,2023-03-20T04:13:54Z,4107401035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939243,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-03-18T20:00:48.958Z,2023-03-18T20:00:49Z,4107401079,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939313,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,50,50,2023-03-18T20:00:49.058Z,2023-03-20T05:00:53Z,4107401433,140,31.1,4112259329,178,,4107401441,279,S,4107401427,56,Back,4107401435,141,50.8,4107401439,213,3.1,4107401437,212,19.9,,,,atbvv2os8m7nfs0p128w5a6l1,M. Seuntjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939351,4,1,1,0,3,ed5nwjz5za3oyi20nxzgqivmx,1,31.1,50.8,2023-03-18T20:00:52.488Z,2023-03-20T05:00:58Z,4107401637,140,68.9,4107401643,213,5.8,4107401639,141,20.2,4107401635,56,Right,4107401641,212,44.8,4107401645,1,,4112259399,178,,4107401633,155,,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939355,5,1,1,0,6,ed5nwjz5za3oyi20nxzgqivmx,0,68.9,20.2,2023-03-18T20:00:55.298Z,2023-03-20T05:01:04Z,4107401681,140,75.9,4107401687,212,8.3,4107401685,141,25.9,4112259543,388,,4107401689,213,0.5,4107401675,3,,4107401677,56,Center,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939345,3,49,1,0,7,8iawijq7s9s6d85mjz8wdslki,1,22.1,72,2023-03-18T20:00:56.259Z,2023-03-20T05:01:08Z,,,,,,,,,,,,,,,,,,,,,,,,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939369,4,1,1,0,8,8iawijq7s9s6d85mjz8wdslki,0,22.1,72,2023-03-18T20:00:57.289Z,2023-03-20T05:01:14Z,4107401763,157,,4107401773,213,0.2,4107401771,212,24.2,4107401765,56,Back,4112259673,178,,4107401769,141,79.7,4107401767,140,44.6,4107401775,1,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521939377,6,1,1,0,11,ed5nwjz5za3oyi20nxzgqivmx,0,54.6,20,2023-03-18T20:01:00.901Z,2023-03-20T05:01:23Z,4107401819,212,16.4,4107401815,140,67.1,4107401817,141,34.5,4107401811,3,,4107401821,213,0.6,4107401813,56,Center,4112259771,388,,,,,9787nemt11c372uird332d13p,J. Gaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
