id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value
2455233269,3,1,1,0,15,89w5c6pw7vn0dxypi61tt0g4k,1,46.7,53.4,2022-09-03T18:00:41.533Z,2022-09-05T03:59:42Z,3754877061,56,Center,3754877067,141,63.2,3754877075,213,0.6,3754877071,212,11.6,3754877059,3,,3760092005,388,,3754877063,140,55.7,,,,6w59kdfilru1152bjutstu2fp,J. de Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233281,4,1,1,0,15,89w5c6pw7vn0dxypi61tt0g4k,0,55.7,63.2,2022-09-03T18:00:42.342Z,2022-09-05T03:59:51Z,3754877117,168,,3754877125,212,9.4,3754877119,56,Center,3754877121,140,64.7,3754877127,213,0,3754877115,3,,3754877123,141,63.2,3760092129,388,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456244597,827,67,1,0,16,6g9qrm72224jrk6tkxxxi8a9n,1,37.3,37.3,2022-09-03T18:00:43.205Z,2022-09-05T19:47:59Z,3760265913,233,915,,,,,,,,,,,,,,,,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456244593,915,67,1,0,16,89w5c6pw7vn0dxypi61tt0g4k,0,62.7,62.7,2022-09-03T18:00:43.206Z,2022-09-05T08:05:58Z,3760265917,233,827,,,,,,,,,,,,,,,,,,,,,,dficbkp6sp4kw7xihaxneozpx,Y. Namli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233323,9,1,1,0,16,6g9qrm72224jrk6tkxxxi8a9n,0,35.6,30.7,2022-09-03T18:00:43.216Z,2022-09-05T19:48:00Z,3754877381,1,,3754877375,141,35.8,3754877373,140,71.6,3760092321,178,,3754877379,213,0.1,3754877377,212,38.0,3754877371,56,Center,3754877369,157,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233363,5,1,1,0,20,89w5c6pw7vn0dxypi61tt0g4k,0,29.9,68.9,2022-09-03T18:00:46.907Z,2022-09-05T04:00:18Z,3754877565,212,18.5,3760092485,388,,3754877561,140,47.4,3754877567,213,0.1,3754877557,3,,3754877563,141,72.4,3754877559,56,Back,,,,ubuh5wgnl0o5bn3wirdmectm,M. Eerdhuijzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233389,10,1,1,0,22,6g9qrm72224jrk6tkxxxi8a9n,0,54.2,25.6,2022-09-03T18:00:49.219Z,2022-09-05T04:00:22Z,3760092591,388,,3754877723,141,25.5,3754877721,140,68.3,3754877719,56,Center,3754877717,3,,3754877725,212,14.8,3754877729,213,6.3,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233435,6,1,1,0,24,89w5c6pw7vn0dxypi61tt0g4k,0,34.8,71.2,2022-09-03T18:00:50.834Z,2022-09-05T04:00:30Z,3754877893,140,39.1,3760092713,388,,3754877895,141,86.0,3754877899,213,1.1,3754877889,3,,3754877897,212,11.0,3754877891,56,Back,,,,6w59kdfilru1152bjutstu2fp,J. de Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233443,11,1,1,0,26,6g9qrm72224jrk6tkxxxi8a9n,0,58.2,23.9,2022-09-03T18:00:52.845Z,2022-09-05T04:00:37Z,3754877933,140,65.0,3754877939,213,5.3,3754877935,141,8.3,3760092785,388,,3754877931,56,Right,3754877937,212,12.8,3754877929,3,,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233467,7,49,1,0,27,89w5c6pw7vn0dxypi61tt0g4k,1,33.4,90.1,2022-09-03T18:00:53.896Z,2022-09-05T04:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,5el82g04yvl9ai8ws8pxbvaad,M. Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
