id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,qualifier/11/value
2518586337,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-03-11T18:02:00.234Z,2023-03-11T19:00:08Z,4089642593,30,"7udphhcokm6vralyz5gkovxsl, 9v7zwguzazofzafwg3qevdo4q, a2zavv31d2aadyddk0kjttdgq, 7jgtmmk4b2bgn0syidj6ve7kl, 9lixevzo8exxiia17altfw8ic, ayqy2vql1oumokqly9ahfrnx1, 1t7nph4960rjzu7rgi47sf8ix, 2w7xspkzg7b9ghl20me202ove, 7sd87ylfbtgwgpb70hf68cel1, 7jpreaads35pnnfqbn7hmrmy, 33yauarx84sam5u05vgyqxfxl, 2p6h6ivyzp1fzsayw7r2xn2dx, b8vbhw29ucubzzmgv0nge1omh, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 42cg746sa90jla5x4islj9pwq, 3uq3lrjyj4mnvq6162b0jyhnt, ab17bik4y8ilv3ahe50a81ixg, cs49ec8y6cubrlo5nmu3j3jtg, 7wrulbqqdeecd5vegsbb1905w",4089642601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089642597,59,"1, 32, 5, 8, 46, 3, 7, 6, 9, 16, 11, 12, 14, 17, 19, 23, 28, 31, 34, 35, 43, 45",4089642599,130,8,4089642595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089642603,194,7jgtmmk4b2bgn0syidj6ve7kl,4089642605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089931763,197,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518589509,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-03-11T18:05:26.373Z,2023-03-11T19:02:02Z,4089929525,197,477,4089660061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089660051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089660037,30,"dxcsuw39xzusjsj5e1jw53y6t, 6gj1r8dnoy17pemp9xtng6sbt, b2a5syitl1nb5ky04j7pdq09h, ebrua3sixxfvycsty8z956ga1, 9wwud2tglhtdocmjgl2u5ib6c, 9zcr9l3mfbbstmesdlx298vhm, 4t85yj2ijymrz5vf457jcihre, alxccjq2y6il5yjw108a0axnt, emglxnqrlqskt8krglv7sziwa, ei9h1loyggj8fnf1q4jfdm710, 8zmxsixeoe1gmas31bzss7ljp, 7j5xa2ti4qnvoh74h5twyi6s5, brqptr56zeku3bgqbixje0hxx, e5kpw4k4tyss5ch8ehfi7nk5x, 4k9shzwgauyy7w2911uev75yh, dk56pv43y8zo39ft9xtwyapnu, 44t0ew97eyl8ww00sgusx00a2, am0ea3bvmnin4gco2ndny2noq, 8utfqkk9niq1xvdhsw0f4awut, 29fr98or3mqippn84z3p9ihhw",4089660043,59,"20, 19, 15, 6, 42, 12, 7, 8, 9, 55, 28, 1, 2, 4, 23, 25, 31, 34, 37, 40",4089660047,130,4,4089660057,194,dxcsuw39xzusjsj5e1jw53y6t,4089660039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639277,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-03-11T19:01:50.060Z,2023-03-11T19:01:50Z,4089937681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639281,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-03-11T19:01:50.060Z,2023-03-12T11:24:00Z,4089937695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639313,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,50,50,2023-03-11T19:01:50.096Z,2023-03-12T12:26:27Z,4092305235,178,,4089937921,141,64.7,4089937919,140,28.5,4089937925,213,2.7,4089937923,212,24.7,4089937917,56,Back,4089937927,279,S,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639331,4,1,1,0,3,3kfktv64h7kg7zryax1wktr5r,1,28.3,65.4,2023-03-11T19:01:53.155Z,2023-03-12T12:26:31Z,4089938033,140,40.6,4089938037,212,13.2,4089938039,213,6.1,4089938035,141,61.5,4092305653,178,,4089938031,56,Back,,,,,,,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639363,5,1,1,0,5,3kfktv64h7kg7zryax1wktr5r,1,40.4,61.2,2023-03-11T19:01:55.286Z,2023-03-12T12:26:35Z,4089938201,56,Back,4089938211,212,14.8,4089938203,140,34.7,4092305917,178,,4089938215,213,4.3,4089938207,141,41.3,,,,,,,7jgtmmk4b2bgn0syidj6ve7kl,J. Clasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639397,6,1,1,0,7,3kfktv64h7kg7zryax1wktr5r,1,30.8,39.5,2023-03-11T19:01:57.302Z,2023-03-12T12:26:38Z,4089938403,140,31.0,4089938415,213,1.6,4089938407,141,73.8,4092306121,178,,4089938401,56,Back,4089938411,212,23.3,,,,,,,2w7xspkzg7b9ghl20me202ove,T. Reijnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639415,7,1,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,30.7,74.1,2023-03-11T19:01:59.719Z,2023-03-12T12:26:42Z,4089938519,141,95.7,4089938515,56,Back,4092306343,178,,4089938523,213,1.1,4089938517,140,38.7,4089938521,212,16.9,,,,,,,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518639453,8,1,1,0,12,3kfktv64h7kg7zryax1wktr5r,1,37.9,92.4,2023-03-11T19:02:02.670Z,2023-03-12T12:26:51Z,4089938715,213,3.5,4089938707,56,Back,4089938713,212,17.4,4089938709,140,22.1,4092306869,178,,4089938711,141,84.6,,,,,,,a2zavv31d2aadyddk0kjttdgq,M. Kerkez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
