id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2508715125,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-17T17:56:27.767Z,2023-02-17T19:41:32Z,4037515709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037515697,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, 93cf9npj6wl6vrxw7hetf6ok5, dbg4ducw8j747foxiexle1iad, atbvv2os8m7nfs0p128w5a6l1, e8wfxueczkhrj92rytelw5vx1, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, aoucm7e5muqfucbv1g4e8hh49, b1o6ctqy1mhjg4iiec8aedat, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, b23be312oxcbusvpjnnriukq2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",4037628749,197,14613,4037515703,130,12,4037515699,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037515707,194,e8wfxueczkhrj92rytelw5vx1,4037515705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037515701,59,"1, 2, 5, 24, 4, 23, 11, 14, 20, 29, 6, 7, 8, 10, 13, 15, 19, 21, 22, 26, 33, 34, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508716199,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-17T18:00:20.581Z,2023-02-17T18:55:31Z,4037521351,59,"31, 21, 61, 6, 14, 33, 7, 8, 17, 15, 85, 1, 2, 4, 11, 18, 19, 22, 29, 34, 55, 74, 77",4037521357,194,8rqula41yqtbwycgemsw9ixud,4037521353,130,8,4037521355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037521347,30,"5gnywqecwvt5yxied85hu4x2i, cozhhgt0jbcuu4wdxf1pwjkyd, 6o2tffdjtdueojbhahe3w66i2, 5fnmjp63t7m9fg3y2fcw6z015, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, cnexf6pdh1piheuuqzrbb1t61, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, 8qqyo9093i0wtapxq219wjzzd, 67v3pc4c8yomh3hg3w0257oid, 51b7kbz09togoaueykwbm385, 1kbmdrn8cmlf591w70v9bpo0l, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 9trasqdd75zjxz4kzplb64xjp, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 51x91drkirjxaclsm8iv6nm96, 71gwdg60saiwwwnnv6is52may",4037521359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037521349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037626553,197,17197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737395,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-02-17T19:00:35.685Z,2023-02-17T19:00:35Z,4037632817,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737399,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-17T19:00:35.685Z,2023-02-19T18:01:16Z,4037632839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737407,3,1,1,0,0,3ebril33e08ddzob4bhq8awsr,1,49.8,50,2023-02-17T19:00:35.773Z,2023-02-20T10:08:24Z,4037632879,279,S,4037632871,140,40.3,4037632869,56,Back,4046029933,178,,4037632875,212,10.6,4037632877,213,3.5,4037632873,141,44.8,,,,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737415,4,1,1,0,1,3ebril33e08ddzob4bhq8awsr,1,40.1,44.8,2023-02-17T19:00:37.611Z,2023-02-20T10:08:29Z,4046030133,178,,4037632907,140,33.4,4037632905,56,Back,4037632909,141,1.6,4037632913,213,4.5,4037632911,212,30.2,,,,,,,cnexf6pdh1piheuuqzrbb1t61,K. Bistrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737431,5,1,1,0,4,3ebril33e08ddzob4bhq8awsr,1,33.4,1.6,2023-02-17T19:00:40.446Z,2023-02-20T10:08:32Z,4037632989,56,Back,4046030203,178,,4037632995,212,11.3,4037632993,141,15.9,4037632997,213,1.0,4037632991,140,38.8,,,,,,,cozhhgt0jbcuu4wdxf1pwjkyd,D. Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737455,6,1,1,0,6,3ebril33e08ddzob4bhq8awsr,0,38.8,14.9,2023-02-17T19:00:42.182Z,2023-02-20T10:08:35Z,4037633089,213,6.2,4037633087,212,52.4,4037633083,140,88.4,4037633085,141,5.9,4037633091,1,,4037633081,56,Right,4046030295,178,,4037633079,155,,cnexf6pdh1piheuuqzrbb1t61,K. Bistrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737449,3,49,1,0,10,ed5nwjz5za3oyi20nxzgqivmx,1,18.3,91.2,2023-02-17T19:00:45.785Z,2023-02-20T10:53:48Z,,,,,,,,,,,,,,,,,,,,,,,,,181us5vol7crxrmejhkqau3t,T. Lutonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737495,4,1,1,0,14,ed5nwjz5za3oyi20nxzgqivmx,0,19.2,91.7,2023-02-17T19:00:49.814Z,2023-02-20T10:08:48Z,4046030553,178,,4037633249,56,Back,4037633251,140,36.0,4037633257,213,6.1,4037633253,141,87.7,4037633255,212,17.8,,,,,,,181us5vol7crxrmejhkqau3t,T. Lutonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
