id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/14/value,qualifier/12/value,qualifier/16/value
2506441971,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-02-11T16:25:37.240Z,2023-02-11T17:46:47Z,4025477207,194,9p6nlczeycd0ai4dahjxnf8ph,4025477197,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, a76yp8gkkg6frtuhh3d6l46i, 570htztcvfsu947xw6fvtzmc5, 913pg8qqcjp99h5fjybbenob9, cudl1cjc8kxshfbhatms7aooa, 9p6nlczeycd0ai4dahjxnf8ph, 76n4eg1xu5qvf9bkwy4p8jsut, 6rfm7p5go1lgv6ccdjqgpallh, 4fiks6jvfxzbs9k0s050vmfbo, uru1h5pzgwy9cvbele1piei, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 61a5bh5xw947nv4mxx62gqaqx, brij3tiox17hyfm63ulhg5sr9, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 8inyievyp1az6q3dtlkpynf56, 6dd248q0adq6su677bw2kk2c5, bqqq27wy9bk31ssgapksci4t1, 6oynq4ickyxictf2e0ilemqne",4025944425,197,493,4025477199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4025477209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025477203,130,8,4025477201,59,"22, 28, 16, 71, 4, 3, 7, 20, 19, 14, 21, 31, 1, 2, 5, 6, 8, 9, 11, 24, 34, 77",4025477205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506447965,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-11T16:28:46.559Z,2023-02-11T17:41:53Z,4025510211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025510207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025925805,197,465,4025510203,59,"12, 5, 16, 10, 15, 33, 14, 21, 9, 11, 19, 1, 3, 4, 6, 17, 24, 25, 27, 28, 30, 31, 38",4025510201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4025510209,194,3u2783a9ukglf8yg3dere8wve,4025510199,30,"ail0unvzd0b9ur7j0l8hk0y51, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 426st78oi43eortpbfkuxw72t, 8ylvnl689iweg2r9d0ioj771m, blzp9qbpturqntnisbkg0ddlg, ae7ij4u0xy9iru6qvdw2i9fu2, 7pz3qz589b7v3pkb9h0hv73l5, lfp411vh3vtjbvd6xra4jpp1, 4utb2o5c0e57kf0iwdavpzg15, 4qyx713hq3c6d5lwdfp98jd1x, 7rvlba00jv66w7wtdmk178a95, 4736oz9r0evpmkd3qumivl239, 7r2ifipuieqiar5n00o2j5uj9, 8o13oyr0lqkr5sw7j9ekdan6x, aifho67q5citg1vdjyts477bp, ca5n8516u8m6c41u61bbjjbop, 9gsuha7f2ldpqo091yrlykvyt, eyx1wga1fue6lb5a0ak5f32i2, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w",4025510205,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530687,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-02-11T17:47:35.361Z,2023-02-12T04:02:08Z,4025946759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530695,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-11T17:47:35.361Z,2023-02-11T17:47:37Z,4025946783,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530731,3,1,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,50,50,2023-02-11T17:47:35.419Z,2023-02-14T06:10:08Z,4025946931,141,45.7,4025946933,212,3.9,4025946929,140,52.5,4031175363,178,,4025946935,213,5.4,4025946927,56,Center,4025946937,279,S,,,,76n4eg1xu5qvf9bkwy4p8jsut,L. Dimata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530761,4,1,1,0,1,8iawijq7s9s6d85mjz8wdslki,1,52.5,45.7,2023-02-11T17:47:36.401Z,2023-02-13T18:25:53Z,4025947107,212,29.5,4031175609,178,,4025947103,140,61.7,4025947101,56,Right,4025947109,213,5.0,4025947105,141,4.7,,,,,,,6rfm7p5go1lgv6ccdjqgpallh,O. Tannane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530753,3,45,1,0,4,ears40cp6opsgvhsy0dgyszpd,0,37.2,94.4,2023-02-11T17:47:39.487Z,2023-02-13T18:25:59Z,4025947369,233,5,4025947057,56,Back,4025947059,285,,,,,,,,,,,,,,,,,4qyx713hq3c6d5lwdfp98jd1x,N. Foor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530811,5,3,1,0,4,8iawijq7s9s6d85mjz8wdslki,1,62.8,5.6,2023-02-11T17:47:39.487Z,2023-02-13T18:25:59Z,4025947357,286,,4025947355,56,Right,4031175753,178,,4025947359,233,3,4027400713,465,,,,,,,,,,,cudl1cjc8kxshfbhatms7aooa,E. Tavşan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530907,6,1,1,0,8,8iawijq7s9s6d85mjz8wdslki,1,64.2,31.1,2023-02-11T17:47:43.612Z,2023-02-13T18:26:04Z,4031175817,178,,4025947789,140,66.8,4025947795,213,1.5,4025947787,56,Left,4025947791,141,84.9,4025947793,212,36.7,4025947797,1,,,,,cudl1cjc8kxshfbhatms7aooa,E. Tavşan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506530927,7,1,1,0,11,8iawijq7s9s6d85mjz8wdslki,1,65.8,87.9,2023-02-11T17:47:46.804Z,2023-02-13T18:26:09Z,4025947907,212,9.0,4025947897,56,Left,4031175881,178,,4025947909,213,0.7,4025947903,141,96.9,4025947899,140,72.1,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
