id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,keyPass,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2522320081,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-03-19T12:25:45.179Z,2023-03-19T13:34:35Z,4109426179,194,6m2pk6odyb3atayt6u8cifahh,4109426173,130,4,4109426171,59,"12, 19, 5, 4, 2, 3, 23, 8, 10, 20, 7, 1, 6, 9, 18, 21, 22, 25, 26, 28, 35, 38, 57",4109426169,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109426175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109426181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109426167,30,"1lgrnaje6y7un5dzzll84p91, 29m8py8czo6w0zf2arwolirjd, dafbvyorudvujxw7zswicykmh, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, 7joybllup4h9oe6zfhcepjy6t, 35qg0rrwtl00pycx468s62m3u, 6m2pk6odyb3atayt6u8cifahh, p7vw4thx5wzo49h6hfabcq5m, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, baakmd4ndnulbl9npvmq90mvp, 9c2i7ddl2uh7kuhwq62klkyui, 6w6ewzxircqxk6dsrs1rvc8ru, 1ekkj2b713kjnugsk4dz50q1h, 7w5ivtmbqzi4hfte330r1a505, 47l204bkq2qqjhtazusr0019m, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 2x44f29a52v8kpkkjsuiiywdm, 9nix5y8xcj34ps62r34udtqwa, bgydmtsi0ngn9k56apo29v0no",4109707397,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522320631,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-03-19T12:26:36.608Z,2023-03-19T13:34:58Z,4109429343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109429329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4109429341,194,djbw3afgcgkbq22soig0xsjfu,4109429337,130,4,4109709079,197,470,4109429327,30,"11ceernyer8po8soj8dmygatx, 4yyekuopwb7otz18rqfgwjht5, 4fcjml5xkrwp4jykruzrzub1m, 504o2odlvra056ouwcgreopgp, 5bjdj7hrhuxjbsa8wc1kw42c5, 1vyh50nfaq2kq5pmivpkc1psl, 672cwl9zj2d6lce6jda350vvu, djbw3afgcgkbq22soig0xsjfu, aboxil79ulfa73pckzsdnwp62, a8cgbwioykhqztfjgztfn7dud, a89554tzfy4nfxrycpr2z0xjp, e6xexn53yyoxmdt5naduyx8bu, bnar4f48vnx4oaz2lzch48es5, 4j5hfebi948ggjwexpndrub1m, dy8wa8cciiae72q2ynm80rlcl, e0cy0gwf04lohf0xjef0af8fe, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 1qjf9el1a3ct17cb9epxz8xgq, 2fbolmn7pyvn5oto4zoeqguwa, 5vsr5aylntbln91iqj7vh5duy, 961rxtkdbimo36qyjsjuwmj56",4109429339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4109429333,59,"22, 4, 5, 17, 18, 33, 20, 10, 29, 7, 26, 2, 6, 9, 11, 14, 15, 21, 25, 28, 30, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374077,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-03-19T13:31:43.606Z,2023-03-21T11:05:53Z,4109696129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374067,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-03-19T13:31:43.606Z,2023-03-19T13:31:43Z,4109696089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374095,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50.1,49.7,2023-03-19T13:31:43.645Z,2023-03-21T12:13:05Z,4109696201,279,S,4109696197,212,10.4,4114250965,178,,4109696191,56,Back,4109696193,140,41.5,4109696199,213,2.6,4109696195,141,57.3,,,,6m2pk6odyb3atayt6u8cifahh,D. Tadić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374113,4,1,1,0,1,d0zdg647gvgc95xdtk1vpbkys,1,34.6,57.8,2023-03-19T13:31:45.078Z,2023-03-21T12:13:25Z,4109696293,212,5.4,4109696289,140,32.0,4109696291,141,50.9,4114250997,178,,4109696295,213,4.2,4109696287,56,Back,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374123,5,1,1,0,3,d0zdg647gvgc95xdtk1vpbkys,1,31.7,54.3,2023-03-19T13:31:47.073Z,2023-03-21T12:13:33Z,4109696355,141,66.4,4109696351,56,Back,4109696353,140,24.2,4109696359,213,2.3,4114251147,178,,4109696357,212,11.4,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374167,6,1,1,0,5,d0zdg647gvgc95xdtk1vpbkys,1,24.2,66.4,2023-03-19T13:31:49.307Z,2023-03-21T12:13:37Z,4114252097,178,,4109696587,212,21.7,4109696583,140,5.1,4109696589,213,3.5,4109696585,141,54.2,4109696579,56,Back,,,,,,,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374223,7,1,1,0,8,d0zdg647gvgc95xdtk1vpbkys,1,5.8,54,2023-03-19T13:31:52.057Z,2023-03-21T12:13:40Z,4109696903,213,1.3,4109696897,140,9.7,4109696901,212,17.0,4109696899,141,78.2,4114252257,178,,4109696895,56,Back,,,,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522374271,8,1,1,0,11,d0zdg647gvgc95xdtk1vpbkys,1,10.9,82,2023-03-19T13:31:54.950Z,2023-03-21T12:13:43Z,4109697187,155,,4109697197,213,0.6,4109697191,140,21.8,4109697193,141,94.1,4109697189,56,Back,4109697195,212,14.1,4114252345,178,,,,,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
