id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value
2469140541,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-08T17:47:44.321Z,2022-10-08T18:57:21Z,3828829471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3828829469,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, 9p6nlczeycd0ai4dahjxnf8ph, 570htztcvfsu947xw6fvtzmc5, 6dd248q0adq6su677bw2kk2c5, cudl1cjc8kxshfbhatms7aooa, a76yp8gkkg6frtuhh3d6l46i, 76n4eg1xu5qvf9bkwy4p8jsut, 6rfm7p5go1lgv6ccdjqgpallh, 8inyievyp1az6q3dtlkpynf56, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 55njsqpc4izy2wogf188whtrd, 5qvy65ckiigykkowpyco05zv9, 4fiks6jvfxzbs9k0s050vmfbo, 6h0fuh0aamz86pf25qebm0fvu, cp866ucakmwqiwxrstkaxwgt0, bqqq27wy9bk31ssgapksci4t1",3828829479,194,9p6nlczeycd0ai4dahjxnf8ph,3828829475,130,8,3828829473,59,"22, 28, 16, 20, 4, 24, 7, 71, 19, 14, 11, 1, 2, 9, 10, 21, 31, 32, 34",3829146065,197,493,3828829481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828829477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469141159,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-10-08T17:48:26.026Z,2022-10-08T18:57:32Z,3828832967,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3828832977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828832975,194,934ldgpefo90za10cq49k0o6i,3828832965,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 6db1q8hud1d8u2q3lxzfixzze, 11iegkg0xuow3r11hx5t1o1xx, 934ldgpefo90za10cq49k0o6i, 8znaym62oghri26gdn8o6fz84, 36q7nfs7t68aeg3z54rnr31pm, f07qmqesi1rpw7eapoz9rb0gk, 7y0acvcg9km8dz51t5ndy23md, a46irqckxabod18j2c0qfixre, 6jhavdnaitqn6ydme8a526aui, 1wf757j0e3v3bdpbc9z2tav3d, 9aj2e1c30c8i3h6iff0k4dmac, 5zwa237gtyf2mlrmo7tlkqnoq, 4w7a5n358oifbqkyftop0rtka, 2r0rasrm8fxczvujua8a8r1m1, 89dofd1p8ftdgy1u8jlyi58lx, 51tih9z7sxlb4vj3j7tm1ewgl, cvw6enlkjfnrtysck783raf6y",3828832973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3828832969,59,"1, 2, 28, 21, 4, 34, 10, 33, 29, 8, 14, 5, 6, 9, 11, 17, 18, 22, 24",3829146485,197,13551,3828832971,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197731,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-10-08T19:00:50.607Z,2022-10-08T19:00:50Z,3829153781,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197741,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-10-08T19:00:50.607Z,2022-10-10T11:06:13Z,3829153839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197785,3,1,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,50,50,2022-10-08T19:00:50.636Z,2022-10-10T11:19:29Z,3834899069,178,,3829154045,140,29.6,3829154043,56,Back,3829154053,279,S,3829154047,141,50.1,3829154051,213,3.1,3829154049,212,21.4,,,,a46irqckxabod18j2c0qfixre,K. Goudmijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197801,4,1,1,0,3,dqk062lu0vm8epvytbm6r4mmf,1,26.4,44.3,2022-10-08T19:00:54.261Z,2022-10-10T11:19:39Z,3829154129,213,4.7,3829154121,56,Back,3829154127,212,23.7,3834899823,178,,3829154125,141,9.4,3829154123,140,26.3,,,,,,,934ldgpefo90za10cq49k0o6i,R. El Yaakoubi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197815,5,1,1,0,5,dqk062lu0vm8epvytbm6r4mmf,1,27,8.8,2022-10-08T19:00:56.303Z,2022-10-10T11:19:47Z,3829154193,141,9.1,3829154195,212,9.9,3834900017,178,,3829154197,213,0.0,3829154187,56,Back,3829154191,140,36.4,,,,,,,3r6elcuru7no13hrfczmwbmy1,S. Horemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197843,6,1,1,0,7,dqk062lu0vm8epvytbm6r4mmf,1,38.4,7.4,2022-10-08T19:00:58.086Z,2022-10-10T11:19:50Z,3829154351,140,41.2,3829154359,212,4.0,3829154363,213,5.5,3829154349,56,Back,3834900103,178,,3829154355,141,3.5,,,,,,,f07qmqesi1rpw7eapoz9rb0gk,J. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197853,7,1,1,0,8,dqk062lu0vm8epvytbm6r4mmf,0,42,3.2,2022-10-08T19:00:58.709Z,2022-10-10T11:19:55Z,3829265947,286,,3829154397,56,Back,3834900243,178,,3829154401,141,3.4,3829265943,233,3,3829265797,168,,3829154399,140,42.9,3829265941,236,,36q7nfs7t68aeg3z54rnr31pm,M. Azarkan,3829154403,212,1.0,3829154405,213,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197863,3,74,1,0,8,8iawijq7s9s6d85mjz8wdslki,1,55.7,95.7,2022-10-08T19:00:58.827Z,2022-10-10T11:20:00Z,3829154437,285,,3834900375,178,,3829154477,233,7,3829154435,56,Left,,,,,,,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469197875,4,5,1,0,9,8iawijq7s9s6d85mjz8wdslki,0,47.8,101.8,2022-10-08T19:00:59.845Z,2022-10-10T11:20:04Z,3829155303,233,8,3829154511,347,,3829154509,56,Back,,,,,,,,,,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198023,8,5,1,0,9,dqk062lu0vm8epvytbm6r4mmf,1,52.2,-1.8,2022-10-08T19:00:59.845Z,2022-10-10T11:20:04Z,3829155271,347,,3829155269,56,Right,3829155285,233,4,,,,,,,,,,,,,,,,36q7nfs7t68aeg3z54rnr31pm,M. Azarkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198037,9,1,1,0,25,dqk062lu0vm8epvytbm6r4mmf,1,57.8,0,2022-10-08T19:01:16.044Z,2022-10-10T11:20:10Z,3829155349,141,2.5,3829155351,212,7.0,3829155353,213,0.4,3829155347,140,64.0,3829155345,56,Right,3829155343,107,,,,,,,,3r6elcuru7no13hrfczmwbmy1,S. Horemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198057,10,1,1,0,26,dqk062lu0vm8epvytbm6r4mmf,1,64,2.5,2022-10-08T19:01:16.725Z,2022-10-10T11:20:14Z,3829155433,213,3.2,3829155429,141,2.3,3834900779,178,,3829155425,56,Right,3829155431,212,7.9,3829155427,140,56.5,,,,,,,a46irqckxabod18j2c0qfixre,K. Goudmijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198093,11,1,1,0,28,dqk062lu0vm8epvytbm6r4mmf,1,52.5,6.5,2022-10-08T19:01:18.736Z,2022-10-10T11:20:18Z,3829155673,56,Back,3834900927,178,,3829155675,140,37.1,3829155677,141,55.7,3829155681,213,2.0,3829155683,1,,3829155679,212,37.2,,,,3r6elcuru7no13hrfczmwbmy1,S. Horemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198111,12,1,1,0,32,dqk062lu0vm8epvytbm6r4mmf,0,41,65.4,2022-10-08T19:01:23.082Z,2022-10-10T11:20:33Z,3834901295,178,,3829155789,212,14.5,3829155783,56,Center,3829155791,213,0.3,3829155785,140,54.3,3829155787,141,71.4,,,,,,,8znaym62oghri26gdn8o6fz84,S. Seymor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198103,5,49,1,0,33,8iawijq7s9s6d85mjz8wdslki,1,47.8,24.1,2022-10-08T19:01:23.894Z,2022-10-10T11:20:40Z,,,,,,,,,,,,,,,,,,,,,,,,,6rfm7p5go1lgv6ccdjqgpallh,O. Tannane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198151,6,1,1,0,35,8iawijq7s9s6d85mjz8wdslki,0,52.9,18.5,2022-10-08T19:01:26.198Z,2022-10-10T11:20:49Z,3829155997,56,Right,3829156001,141,11.9,3829156003,212,25.3,3834901711,178,,3829156005,213,6.1,3829155999,140,76.6,,,,,,,6rfm7p5go1lgv6ccdjqgpallh,O. Tannane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198163,14,49,1,0,37,dqk062lu0vm8epvytbm6r4mmf,1,19.1,95.4,2022-10-08T19:01:28.235Z,2022-10-10T11:21:09Z,,,,,,,,,,,,,,,,,,,,,,,,,8znaym62oghri26gdn8o6fz84,S. Seymor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198145,13,43,1,0,38,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-10-08T19:01:29.259Z,2022-10-08T19:01:47Z,3829155967,56,Back,3829156875,144,8,,,,,,,,,,,,,,,,,,,8znaym62oghri26gdn8o6fz84,S. Seymor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198187,15,61,1,0,40,dqk062lu0vm8epvytbm6r4mmf,0,27.7,98.9,2022-10-08T19:01:30.972Z,2022-10-10T11:21:21Z,3834902421,178,,3829156179,56,Back,,,,,,,,,,,,,,,,,,,8znaym62oghri26gdn8o6fz84,S. Seymor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469198211,7,5,1,0,41,8iawijq7s9s6d85mjz8wdslki,1,71.3,-1.4,2022-10-08T19:01:31.662Z,2022-10-10T11:21:25Z,3829156265,56,Right,3829156271,233,16,3829156267,347,,,,,,,,,,,,,,,,,76n4eg1xu5qvf9bkwy4p8jsut,L. Dimata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
