id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2534447707,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-04-16T11:25:07.341Z,2023-04-16T12:29:51Z,4194648635,59,"16, 17, 2, 8, 33, 24, 18, 22, 9, 7, 26, 5, 6, 19, 20, 25, 27, 28, 31, 38, 61",4194648631,30,"c1krps0yssh477m8umrruiqjt, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, eu6pfkiah7otafyryg6ll7y09, aafz6q5ggn9e6m5hprc71lgph, c2an5ksdu6jbap3x3jp3z9c5x, ely6vpyueden4b6ozfmspwgk5, 4rp5snknt88bf4lws5t0o9gph, 1p0xp2onnys7jlru55vfgf1pm, egcs7b6ixb62ep08t7jznf9ih, 3mp92d5s002hi523kl4zmgrft, 6gabdz53gxhyp8dv6x5the4t1, b33sm106xc7g3h4bcqtawja7e, d7ml58kwwpetvnw46qja9ru5m, bymhffiw7brsfpjzsfqq7bvth, 9wo8twcbs1jnqzdy0c6y8adey, 8p47d0e54hgl7d86vur1m5nmx, 395y7yj6o1xwr6uaxs4sjnjdh, ebqj8v33xv3otev2pycc6xomh, 1s6yn52hlqtmmz4lerscf457u, deb7ysp5fwiouttlarstuxgyc",4194648643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194938295,197,540,4194648637,130,4,4194648641,194,c2an5ksdu6jbap3x3jp3z9c5x,4194648639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194648633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534448189,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-04-16T11:26:14.848Z,2023-04-16T12:29:50Z,4194651011,30,"bzanwdo4ihqd6d7vr06bd3845, 6p4fs5rivwt0e45twlsf6ajth, dtcvzfse83ztj96kiizwp6jqi, dc119ejc7lls2rd3ywigl2smi, dc2wi76ipwc5qbq4eggqd1hp1, lduqoe45t2fnbn9s9rbvlnf9, ahwtdhrerarmljk9bh0tcpk6i, ad9kukqx4xulbvelacgwgqvah, 36veg0wk1z3om89daf0clbl5h, c1yctqdku2vzho2azsgcy5dcl, 3c4l2e3gzgpqrc2ygkbmp0jpx, 5whhr8oy7lf0z9s7yb8ygkset, 5m8pflpgynidzk7d9507oujje, 2teefpvijsbzag4yi7fm1pyol, e33libhll66jj5ksl319uh17u, dxmulnxbs11kpi1goq5hl9cve, c7n2b2gq381k0o0jizqueii5m, 5g0q7azk54eryl8vcgyb2oj4l, 9qoc020keotb4s72a09zm5pzp, 3940jh5ermawu3vbzbei6546i, 8fuul8znu2hzdqkxsotqt6u0a, 10rii5jnu060z4qzyn0a36n84",4194938271,197,17193,4194651025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194651017,59,"1, 20, 5, 8, 4, 3, 14, 18, 9, 7, 10, 6, 11, 12, 16, 17, 21, 22, 23, 26, 27, 36",4194651019,130,4,4194651015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194651023,194,lduqoe45t2fnbn9s9rbvlnf9,4194651021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507121,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2023-04-16T12:32:46.297Z,2023-04-16T12:32:48Z,4194949403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507113,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-04-16T12:32:46.297Z,2023-04-16T12:32:46Z,4194949375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507167,3,1,1,0,0,ccpscwdcm65czscrun048ecn5,1,50,50,2023-04-16T12:32:46.864Z,2023-04-16T12:33:18Z,4194949635,212,21.1,4194949629,56,Back,4194949631,140,30.1,4194949633,141,45.7,4194949639,279,S,4194949637,213,3.3,,,,,,,3mp92d5s002hi523kl4zmgrft,O. Boussaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507261,4,1,1,0,4,ccpscwdcm65czscrun048ecn5,0,30.5,45.7,2023-04-16T12:32:50.535Z,2023-04-16T12:32:56Z,4194950115,212,70.9,4194950117,213,0.6,4194950113,141,100.0,4194950119,1,,4194950109,56,Left,4194950103,155,,4194950111,140,87.8,,,,aafz6q5ggn9e6m5hprc71lgph,M. van der Hoorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507383,3,5,1,0,9,4tic29sox7m39fy1ztgv0jsiq,1,13.3,-1.5,2023-04-16T12:32:56.294Z,2023-04-16T13:32:03Z,4194950763,347,,4194950799,233,5,4194950761,56,Back,,,,,,,,,,,,,,,,6p4fs5rivwt0e45twlsf6ajth,J. Brenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507267,5,5,1,0,9,ccpscwdcm65czscrun048ecn5,0,86.7,101.5,2023-04-16T12:32:56.294Z,2023-04-16T12:33:08Z,4194950805,233,3,4194950147,56,Left,4194950149,347,,,,,,,,,,,,,,,,,aafz6q5ggn9e6m5hprc71lgph,M. van der Hoorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507397,4,1,1,0,20,4tic29sox7m39fy1ztgv0jsiq,1,17.1,0,2023-04-16T12:33:06.830Z,2023-04-16T12:33:08Z,4194950835,212,9.9,4194950827,107,,4194950829,56,Back,4194950833,141,12.4,4194950837,213,1.2,4194950831,140,20.5,,,,,,,6p4fs5rivwt0e45twlsf6ajth,J. Brenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507415,5,1,1,0,21,4tic29sox7m39fy1ztgv0jsiq,0,20.5,10.5,2023-04-16T12:33:08.142Z,2023-04-16T12:33:09Z,4194950963,140,39.8,4194950969,213,6.2,4194950967,212,20.4,4194950961,56,Back,4194950959,157,,4194950965,141,6.9,4194950971,1,,,,,dc119ejc7lls2rd3ywigl2smi,R. Zerrouki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507429,6,49,1,0,24,ccpscwdcm65czscrun048ecn5,1,63.8,93.9,2023-04-16T12:33:10.951Z,2023-04-16T12:33:11Z,,,,,,,,,,,,,,,,,,,,,,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534507479,7,1,1,0,25,ccpscwdcm65czscrun048ecn5,0,64.4,94.4,2023-04-16T12:33:11.592Z,2023-04-16T12:33:14Z,4194951285,56,Left,4194951293,213,6.1,4194951295,1,,4194951291,212,38.7,4194951287,140,100.0,4194951283,155,,4194951289,141,86.0,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
