id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500545159,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-25T17:00:26.846Z,2023-01-25T17:51:50Z,3994586271,30,"7udphhcokm6vralyz5gkovxsl, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 7jgtmmk4b2bgn0syidj6ve7kl, ayqy2vql1oumokqly9ahfrnx1, 86vxgtv8m65pypbngqan36y21, 1t7nph4960rjzu7rgi47sf8ix, 2w7xspkzg7b9ghl20me202ove, 7sd87ylfbtgwgpb70hf68cel1, b8vbhw29ucubzzmgv0nge1omh, 33yauarx84sam5u05vgyqxfxl, 2p6h6ivyzp1fzsayw7r2xn2dx, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 6zzcoo9k4ebqtlux49rbb5fro, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, 7wrulbqqdeecd5vegsbb1905w, 9lixevzo8exxiia17altfw8ic",3994586281,194,7jgtmmk4b2bgn0syidj6ve7kl,3994586273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994586283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994636037,197,17703,3994586277,130,8,3994586275,59,"1, 2, 5, 8, 3, 27, 7, 6, 9, 14, 11, 12, 17, 19, 22, 23, 25, 28, 32, 34, 45, 46",3994586279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500545165,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-25T17:00:29.905Z,2023-01-25T17:52:24Z,3994586301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994586303,59,"1, 2, 4, 15, 25, 3, 11, 21, 9, 18, 23, 6, 7, 8, 17, 19, 20, 22, 24, 26, 27, 33, 40",3994586307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994629073,197,472,3994586311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994586305,130,15,3994586309,194,ciguyr553yqapqfudim9af46h,3994586299,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 32pfghvfogjnpbgsj5mk2jhpm, 4mroygq2ruxkml5c5j4awwted, 90vny1388bdhx8103lp9njac4, 2ekx0fvuf0dsat062oj430d05, 7lpwkpwfw656re3pymntslv55, 5n65xhwbd6dm3uynl4h7k920a, hxqybxg5578sgx0gx5qb834l, 5dbx86ca2t7dae8b3t69atii1, 7dkhv2l8y6jq20l1dc2ye17je, 7nfr8xuo637qma7ovxx4r9fmy, 7sa0cx70w7dc0ahu5sm0ziz11, 9d4lofwg9ooaoldw2vpt4h36y, 8j8encc4aqkh07ydce6hiaokp, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, bx2xcfe18epftsy5lrdf1fevo, aq8emkcjejbav0fys17iqv2ll, 94b7i139jyk6hs6ioqlztg1jp, 7uiun3ak4fveljpb3lsdypxx, 2f5hdor2uv8hfxnieyvivsesp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554603,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-25T17:49:05.203Z,2023-01-28T05:48:51Z,3994638091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554601,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-25T17:49:05.203Z,2023-01-25T17:49:05Z,3994638089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554625,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,50.2,50,2023-01-25T17:49:05.239Z,2023-01-28T06:44:34Z,3994638191,213,3.0,3994638179,56,Back,3994638189,212,20.6,3994638185,141,55.5,3994638195,279,S,3997784129,178,,3994638181,140,30.9,,,,7dkhv2l8y6jq20l1dc2ye17je,O. Edvardsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554641,4,1,1,0,3,b79uipsy57y1jqpy07h4i5ovk,1,31.7,54,2023-01-25T17:49:08.395Z,2023-01-28T06:44:44Z,3994638315,141,9.2,3994638319,213,5.6,3994638321,1,,3994638311,56,Right,3994638313,140,66.7,3997784265,178,,3994638309,155,,3994638317,212,47.7,2ekx0fvuf0dsat062oj430d05,G. Nauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554647,5,1,1,0,6,b79uipsy57y1jqpy07h4i5ovk,0,72.2,8.3,2023-01-25T17:49:11.894Z,2023-01-28T06:44:51Z,3994638357,141,23.9,3994638353,56,Center,3997784327,178,,3994638359,212,11.9,3994638361,213,2.0,3994638355,140,67.1,,,,,,,hxqybxg5578sgx0gx5qb834l,I. Lidberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554657,4,49,1,0,8,3kfktv64h7kg7zryax1wktr5r,1,39.3,66,2023-01-25T17:49:13.678Z,2023-01-28T06:45:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554653,3,50,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,37.4,71.4,2023-01-25T17:49:14.905Z,2023-01-28T06:45:27Z,3994638469,233,6,3994638403,286,,3994638401,56,Back,,,,,,,,,,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500554665,6,7,1,0,9,b79uipsy57y1jqpy07h4i5ovk,0,62.6,28.6,2023-01-25T17:49:14.982Z,2023-01-28T06:45:32Z,3994638435,56,Center,3995290865,383,,3994638453,233,3,3994638437,285,,3997785091,178,,,,,,,,,,,5n65xhwbd6dm3uynl4h7k920a,E. Llansana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
