id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/18/value
2453818991,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-31T15:46:14.782Z,2022-08-31T16:52:23Z,3747337547,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 5mbkc1nqmirbtfml9aklqr5xx, 1abb1gcw7arw1nkbuxnccjca1, 1ph4g125dfsijfjzjpcvpcmlm, 3ojwbw6v83g9b0u2wssnkzzzd, 21k54i5a6d9bi4f6gplgzxiw9, d4j19ipiaeuetyij08fofgs15, exhxdmdq49xj4dnguq03qnlgq, bx6j2y1hnu63lawn3rdoep1m2, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 62n3xzxpwe2j317q24rh5wjpx, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, d9wjrxhmo0dlczkg0fpnf3e1h, 94zmvxw7yw020w43dn0qiclbd, 9vf02r3geinhsy732oxyrcacq, 7c8ms7bw3fva4xeubax4ep8et, 81sfrpdzz1nymxg1b5noo67ai, 6nwn2522yescgrx57wkcxjhwq, 5yt3hbvzpaqv8lrjgt4ahb78q",3747395735,197,500,3747337549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747337555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747337557,194,9psfk94nduz6icnuwty5v9all,3747337559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747337551,59,"1, 3, 31, 6, 22, 4, 20, 23, 7, 27, 11, 2, 5, 15, 16, 24, 25, 28, 29, 32, 33, 37",3747337553,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453819455,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-08-31T15:57:27.822Z,2022-08-31T16:50:20Z,3747340299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747340287,30,"7dg8woqlx67ch0ji3ujhgb52i, 1sb4655mgzrdohlltyk9fqlzp, bn8dwm2y9a8i9a10rba3dmm3u, dbkr1w2xlwnyssid1tv0jlujt, e3akocgpppdty3ayxty1gf6xh, 8ozlo6qrdavr86guhclwvh84q, 3dc82sro077by40u3qdmhw0r9, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, c5jk0pvcvqddy0xiqv6qkesph, a02jtmvlc1tlstvt96pa1hisq, 3kbhgmnf6bhfgut0jxf4m2sfe, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, nw48ayorxrpxwcxbdhxy44k4, eayvrkzzkk0xu4c5rrxgzlroq, 792zq4joba1qgt0lusvrjantg, 8oetnmi8kejwwy37rhlelw2ne, 10ijtddqmzbhx3qtlhbyn4rca",3747340293,130,10,3747340291,59,"1, 7, 15, 6, 4, 3, 11, 8, 21, 9, 5, 10, 16, 20, 22, 23, 24, 25, 33, 34",3747340289,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747340295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747340297,194,e3akocgpppdty3ayxty1gf6xh,3747401429,197,16727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830573,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-31T16:47:09.812Z,2022-09-02T01:42:22Z,3747401951,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830571,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-08-31T16:47:09.812Z,2022-08-31T16:47:09Z,3747401945,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830577,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,50.1,2022-08-31T16:47:09.860Z,2022-09-02T09:31:16Z,3747401979,279,S,3747401973,141,51.3,3747401971,140,35.3,3747401975,212,15.4,3747401969,56,Back,3750211627,178,,3747401977,213,3.1,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830595,4,1,1,0,2,24fvcruwqrqvqa3aonf8c3zuy,1,33.6,50.3,2022-08-31T16:47:12.750Z,2022-09-02T09:31:19Z,3747402097,140,22.3,3750211695,178,,3747402095,56,Back,3747402099,141,75.3,3747402103,213,2.2,3747402101,212,20.7,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830609,5,1,1,0,5,24fvcruwqrqvqa3aonf8c3zuy,1,22.2,72.1,2022-08-31T16:47:15.710Z,2022-09-02T09:31:24Z,3747402173,140,20.2,3747402171,56,Back,3747402179,213,4.6,3747402175,141,34.2,3747402177,212,25.9,3750211817,178,,,,,,,,3ojwbw6v83g9b0u2wssnkzzzd,A. Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830617,6,1,1,0,8,24fvcruwqrqvqa3aonf8c3zuy,1,20.1,33.7,2022-08-31T16:47:17.965Z,2022-09-02T09:31:26Z,3747402217,213,4.9,3750211897,178,,3747402209,56,Back,3747402215,212,17.0,3747402213,141,9.4,3747402211,140,23.9,,,,,,,1ph4g125dfsijfjzjpcvpcmlm,J. Branthwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830639,7,1,1,0,9,24fvcruwqrqvqa3aonf8c3zuy,1,24.2,8.9,2022-08-31T16:47:19.390Z,2022-09-02T09:31:31Z,3747402311,212,7.8,3747402313,213,0.8,3750212067,178,,3747402305,56,Back,3747402309,141,16.8,3747402307,140,29.6,,,,,,,2e0o5pwinz3zhg9pqg5vej9ih,J. Teze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453830655,8,1,1,0,11,24fvcruwqrqvqa3aonf8c3zuy,1,32.2,16.1,2022-08-31T16:47:21.674Z,2022-09-02T09:31:38Z,3747402399,155,,3747402407,212,48.2,3750212187,178,,3747402411,1,,3747402405,141,15.1,3747402409,213,6.3,3747402401,56,Right,3747402403,140,78.1,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
