id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2482028907,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-11-05T18:58:04.728Z,2022-11-05T20:55:04Z,3897053463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897053459,59,"1, 2, 28, 21, 4, 34, 10, 33, 9, 8, 22, 5, 6, 7, 11, 14, 17, 18, 24, 29",3897053455,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 6db1q8hud1d8u2q3lxzfixzze, 11iegkg0xuow3r11hx5t1o1xx, 934ldgpefo90za10cq49k0o6i, 8znaym62oghri26gdn8o6fz84, 36q7nfs7t68aeg3z54rnr31pm, f07qmqesi1rpw7eapoz9rb0gk, 5zwa237gtyf2mlrmo7tlkqnoq, a46irqckxabod18j2c0qfixre, 51tih9z7sxlb4vj3j7tm1ewgl, 1wf757j0e3v3bdpbc9z2tav3d, 9aj2e1c30c8i3h6iff0k4dmac, bhkrpr3gxc5xx0b0dinla5muh, 4w7a5n358oifbqkyftop0rtka, 6jhavdnaitqn6ydme8a526aui, 2r0rasrm8fxczvujua8a8r1m1, 89dofd1p8ftdgy1u8jlyi58lx, cvw6enlkjfnrtysck783raf6y, 7y0acvcg9km8dz51t5ndy23md",3897055067,194,934ldgpefo90za10cq49k0o6i,3897053461,130,8,3897282573,197,1517,3897053465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897053457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482030473,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-11-05T19:01:13.214Z,2022-11-05T19:55:00Z,3897062295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897062281,130,4,3897062273,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, ejv587h08dn1hgxhfgib3reqy, 9hvw1v4douz0kst032a9l853p, 1tj9gmnm02s8f12zwzvuwnoph, aie09n600h7ozeg6zl6anithx, 7m3uhmmzizwmpk64dw750pn11, dc4n5ylytswddlvd82snkb90q, 60fbyywnjiz6l8n7gmi2mjld5, amvonu36at4dg7ksi1ioczi3u, bpvq84v7wwz759mgykvsy3pat, axgbibg0wdlir6tsrru6rpwph, 34258m1cvslz8r6d17nv4b90q, aqjwz3wm0it916o2vb5tz9vxl, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, 73k8ok0kpb9xb6yhpmfhzir55, 3hpv677ua2y88yx55iujzqpgq, 3o6woe2uh6754hw803v86l1t6",3897062277,59,"44, 27, 7, 22, 4, 5, 10, 26, 17, 19, 9, 1, 3, 6, 8, 13, 15, 23, 29, 34",3897062285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897062291,194,9hvw1v4douz0kst032a9l853p,3897062275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3897281871,197,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073129,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-11-05T19:59:07.063Z,2022-11-05T19:59:07Z,3897289423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073141,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-11-05T19:59:07.063Z,2022-11-07T07:26:45Z,3897289509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073153,3,1,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,50,50,2022-11-05T19:59:07.075Z,2022-11-07T08:58:42Z,3897289563,213,3.0,3897289559,141,56.6,3897289555,56,Back,3897289565,279,S,3897289557,140,22.8,3901910213,178,,3897289561,212,28.9,,,,dc4n5ylytswddlvd82snkb90q,S. van Hooijdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073175,4,1,1,0,3,4vd2t5schmvvufrfib7f2vjdf,1,28.4,53,2022-11-05T19:59:10.902Z,2022-11-07T08:58:45Z,3897289699,140,27.6,3897289701,141,32.4,3897289705,213,4.7,3897289703,212,14.0,3901910305,178,,3897289697,56,Back,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073183,5,1,1,0,9,4vd2t5schmvvufrfib7f2vjdf,1,38.2,35.7,2022-11-05T19:59:16.739Z,2022-11-07T08:58:51Z,3897289743,141,32.4,3897289747,213,6.0,3897289739,56,Back,3901910433,178,,3897289745,212,6.9,3897289741,140,44.4,,,,,,,9hvw1v4douz0kst032a9l853p,S. van Beek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073235,6,1,1,0,11,4vd2t5schmvvufrfib7f2vjdf,1,41.5,34.9,2022-11-05T19:59:19.007Z,2022-11-07T08:58:55Z,3897289985,212,21.0,3901910541,178,,3897289977,56,Back,3897289981,141,65.4,3897289987,213,1.7,3897289979,140,38.1,,,,,,,aie09n600h7ozeg6zl6anithx,T. Halilović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073247,7,1,1,0,18,4vd2t5schmvvufrfib7f2vjdf,1,46.1,53.4,2022-11-05T19:59:25.576Z,2022-11-07T08:58:57Z,3897290041,140,43.7,3897290045,212,24.7,3897290039,56,Back,3901910609,178,,3897290047,213,4.6,3897290043,141,17.3,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073255,8,1,1,0,21,4vd2t5schmvvufrfib7f2vjdf,1,43.6,17.4,2022-11-05T19:59:28.258Z,2022-11-07T08:59:01Z,3897290095,141,37.9,3897290099,213,2.6,3897290091,56,Back,3901910737,178,,3897290093,140,21.1,3897290097,212,27.4,,,,,,,aie09n600h7ozeg6zl6anithx,T. Halilović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
